EXT1,AGR1,CSN1,EST1,OPN1,EXT2,AGR2,CSN2,EST2,OPN2,EXT3,AGR3,CSN3,EST3,OPN3,EXT4,AGR4,CSN4,EST4,OPN4,EXT5,AGR5,CSN5,EST5,OPN5,EXT6,AGR6,CSN6,EST6,OPN6,EXT7,AGR7,CSN7,EST7,OPN7,EXT8,AGR8,CSN8,EST8,OPN8,EXT9,AGR9,CSN9,EST9,OPN9,EXT10,AGR10,CSN10,EST10,OPN10,EXT_Score,EST_Score,AGR_Score,CSN_Score,OPN_Score,EXT_position,EST_position,AGR_position,CSN_position,OPN_position,EXT_high_or_low,EST_high_or_low,AGR_high_or_low,CSN_high_or_low,OPN_high_or_low
1,2,4,2,4,5,2,2,4,4,2,2,4,3,5,4,2,1,5,5,2,2,4,5,4,4,2,4,5,5,1,2,4,2,4,4,2,1,5,4,1,2,4,2,5,5,2,4,2,4,15,31,28,40,34,68.10647851313007,57.26086112941366,16.684345456354073,70.57756950620531,47.69983680359604,high,high,low,high,low
1,2,4,5,5,4,2,1,5,3,2,2,4,3,5,4,2,1,5,4,2,2,4,5,4,2,2,4,5,5,1,2,4,2,4,4,2,1,5,4,1,2,4,2,4,5,2,4,2,5,18,29,28,41,37,13.51772458710916,57.0615192334398,16.684345456354073,91.30045964853188,79.89197717811061,low,high,low,high,high
1,2,4,5,4,5,2,1,4,3,2,2,5,3,5,4,2,1,5,4,2,2,4,5,4,2,2,4,5,5,1,2,4,2,4,4,2,1,5,4,1,2,4,2,5,4,2,4,2,5,18,28,28,42,37,13.51772458710916,96.961119466268,16.684345456354073,10.086562051566911,79.89197717811061,low,high,low,low,high
1,2,4,5,4,5,2,2,5,5,2,2,4,3,5,5,2,1,5,5,2,2,4,5,4,4,2,4,5,5,1,2,4,3,4,4,2,1,5,4,2,2,4,2,5,5,2,4,2,5,15,28,28,40,34,68.10647851313007,96.961119466268,16.684345456354073,70.57756950620531,47.69983680359604,high,high,low,high,low
1,2,4,2,5,5,2,5,4,4,2,2,4,3,5,5,2,1,5,5,2,2,4,5,5,4,2,4,5,5,1,2,4,2,4,4,2,1,5,4,1,2,4,2,5,4,2,4,2,5,15,31,28,37,37,68.10647851313007,57.26086112941366,16.684345456354073,38.44590142622035,79.89197717811061,high,high,low,low,high
1,2,4,5,4,5,2,4,4,4,2,2,4,3,5,5,2,1,5,4,2,2,4,4,4,2,2,4,5,5,1,2,4,2,4,4,2,1,5,4,1,2,4,2,5,4,2,4,2,5,17,29,28,38,36,56.8825645768269,57.0615192334398,16.684345456354073,11.2864545014926,47.73568682836604,high,high,low,low,low
1,2,4,5,5,5,2,2,4,4,2,2,4,3,5,5,2,1,5,5,2,2,4,5,4,4,2,4,5,5,1,2,4,2,4,4,2,1,5,4,1,2,4,2,5,4,2,4,2,5,15,28,28,40,36,68.10647851313007,96.961119466268,16.684345456354073,70.57756950620531,47.73568682836604,high,high,low,high,low
1,2,4,5,4,2,2,2,5,3,2,2,4,3,5,4,2,1,5,4,2,2,4,5,4,4,2,4,5,5,2,2,4,2,4,4,2,1,5,4,1,2,4,2,5,4,2,4,1,4,20,30,28,40,36,10.625592781144464,26.384928807169217,16.684345456354073,70.57756950620531,47.73568682836604,low,low,low,high,low
1,2,4,5,4,4,2,2,4,4,2,2,5,3,5,4,2,1,5,4,2,2,4,5,4,4,2,4,5,5,1,2,4,3,4,4,2,1,5,4,1,2,4,2,5,5,2,4,2,5,16,27,28,41,36,49.78357024881296,98.45903986936408,16.684345456354073,91.30045964853188,47.73568682836604,low,high,low,high,low
1,2,4,5,4,5,2,4,5,5,2,1,5,3,5,4,2,1,5,4,2,2,4,5,5,3,2,4,5,5,1,2,4,3,4,4,2,1,5,4,1,2,4,2,4,4,2,4,2,4,17,28,29,39,34,56.8825645768269,96.961119466268,84.55011666031412,39.95918612564645,47.69983680359604,high,high,high,low,low
1,2,4,5,5,4,2,2,4,4,2,2,4,3,5,4,2,1,5,4,2,2,4,5,4,2,2,4,5,5,2,2,4,2,4,4,2,1,5,4,1,2,4,5,5,4,2,4,2,5,20,25,28,40,37,10.625592781144464,35.775960982566446,16.684345456354073,70.57756950620531,79.89197717811061,low,low,low,high,high
1,2,4,5,4,5,2,2,4,4,2,2,5,3,5,5,2,1,5,4,2,2,4,5,4,4,2,4,5,5,1,2,4,2,4,4,2,1,5,4,1,2,4,2,5,4,2,4,2,5,15,28,28,41,36,68.10647851313007,96.961119466268,16.684345456354073,91.30045964853188,47.73568682836604,high,high,low,high,low
1,2,4,5,5,4,2,4,4,4,2,2,4,3,5,4,2,1,5,5,2,2,4,5,4,4,2,4,5,5,1,2,4,3,4,2,2,1,5,4,1,2,4,2,5,4,2,4,2,4,19,27,28,38,35,96.9716577977251,98.45903986936408,16.684345456354073,11.2864545014926,84.2564222266214,high,high,low,low,high
1,2,4,4,5,4,2,1,5,3,2,2,4,3,5,4,2,1,5,5,2,2,4,5,5,2,2,4,5,5,2,2,4,2,4,4,2,1,5,4,1,2,4,3,5,4,2,4,1,5,20,30,28,41,38,10.625592781144464,26.384928807169217,16.684345456354073,91.30045964853188,30.8161494512681,low,low,low,high,low
1,2,4,5,5,5,2,1,4,3,2,2,4,3,5,4,2,1,5,4,2,2,4,5,4,4,2,4,5,5,1,2,4,2,4,4,2,1,5,4,1,2,4,2,5,4,2,4,1,4,16,29,28,41,37,49.78357024881296,57.0615192334398,16.684345456354073,91.30045964853188,79.89197717811061,low,high,low,high,high
1,2,4,5,4,4,2,2,4,4,2,1,4,3,5,5,2,1,5,4,2,2,4,5,5,2,2,4,5,5,1,2,4,2,4,4,2,1,5,4,1,2,4,2,5,4,2,4,2,5,18,28,29,40,37,13.51772458710916,96.961119466268,84.55011666031412,70.57756950620531,79.89197717811061,low,high,high,high,high
1,2,4,5,4,4,2,2,4,4,2,2,5,3,5,4,2,1,5,5,2,2,4,5,5,2,2,4,5,5,1,2,4,3,4,4,2,1,5,4,1,2,4,2,5,4,2,4,2,5,19,27,28,41,36,96.9716577977251,98.45903986936408,16.684345456354073,91.30045964853188,47.73568682836604,high,high,low,high,low
1,2,4,5,4,4,2,1,5,3,2,2,4,3,5,5,2,1,5,5,2,2,4,5,4,4,2,4,5,5,1,2,4,2,4,4,2,1,5,4,1,2,4,2,5,5,2,4,2,5,15,29,28,41,36,68.10647851313007,57.0615192334398,16.684345456354073,91.30045964853188,47.73568682836604,high,high,low,high,low
1,2,4,4,4,4,2,2,5,4,2,2,4,3,5,4,2,1,5,4,2,2,4,5,4,4,2,4,5,5,2,2,4,3,4,4,2,1,5,4,2,2,4,2,5,4,2,4,2,4,19,29,28,40,35,96.9716577977251,57.0615192334398,16.684345456354073,70.57756950620531,84.2564222266214,high,high,low,high,high
1,2,4,5,4,4,2,2,4,4,2,1,4,3,5,5,2,1,5,5,2,2,4,5,4,4,2,4,5,5,1,2,4,3,4,4,2,1,5,4,1,2,4,2,4,4,2,4,2,5,16,27,29,40,34,49.78357024881296,98.45903986936408,84.55011666031412,70.57756950620531,47.69983680359604,low,high,high,high,low
