EXT1,AGR1,CSN1,EST1,OPN1,EXT2,AGR2,CSN2,EST2,OPN2,EXT3,AGR3,CSN3,EST3,OPN3,EXT4,AGR4,CSN4,EST4,OPN4,EXT5,AGR5,CSN5,EST5,OPN5,EXT6,AGR6,CSN6,EST6,OPN6,EXT7,AGR7,CSN7,EST7,OPN7,EXT8,AGR8,CSN8,EST8,OPN8,EXT9,AGR9,CSN9,EST9,OPN9,EXT10,AGR10,CSN10,EST10,OPN10,EXT_Score,EST_Score,AGR_Score,CSN_Score,OPN_Score,EXT_position,EST_position,AGR_position,CSN_position,OPN_position,EXT_high_or_low,EST_high_or_low,AGR_high_or_low,CSN_high_or_low,OPN_high_or_low
1,4,2,5,2,4,4,2,2,3,2,1,2,2,2,4,4,2,2,2,2,4,2,2,2,4,4,2,5,3,1,4,2,2,2,4,4,2,2,2,1,4,2,4,4,4,4,2,5,2,17,25,35,28,26,56.8825645768269,35.775960982566446,69.95048953996736,55.48786072856311,99.19879134202203,high,low,high,high,high
1,4,2,5,2,4,4,2,2,2,2,2,2,5,2,5,4,2,2,2,2,4,2,4,2,4,4,2,5,3,2,4,2,2,2,4,4,2,2,2,1,4,2,4,4,4,4,2,4,2,17,21,34,28,27,56.8825645768269,30.98663404708369,63.54239610140829,55.48786072856311,23.922307874891292,high,low,high,high,low
1,4,2,5,2,4,4,2,2,3,2,2,2,4,3,4,4,2,2,2,2,4,2,2,2,2,4,2,5,3,1,4,2,4,2,4,4,2,2,2,1,4,2,5,4,4,4,2,5,2,19,20,34,28,27,96.9716577977251,71.25704566249172,63.54239610140829,55.48786072856311,23.922307874891292,high,high,high,high,low
1,4,2,5,2,4,4,2,2,2,2,1,2,4,2,4,4,2,2,2,2,4,2,2,2,4,4,2,5,3,2,4,2,2,2,4,4,2,2,2,1,4,2,5,4,4,4,2,4,2,18,23,35,28,27,13.51772458710916,26.6900479740304,69.95048953996736,55.48786072856311,23.922307874891292,low,low,high,high,low
1,4,2,5,2,4,4,2,2,2,2,1,2,4,2,4,4,2,2,2,2,4,2,2,2,4,4,2,5,2,1,4,2,2,2,4,4,2,2,2,1,4,2,5,4,4,4,2,4,2,17,23,35,28,28,56.8825645768269,26.6900479740304,69.95048953996736,55.48786072856311,76.34765069075316,high,low,high,high,high
1,4,2,5,2,4,4,2,2,3,2,1,2,5,2,4,4,2,2,2,2,4,2,2,2,2,4,2,5,2,2,4,2,2,2,4,4,2,2,2,1,4,2,5,4,4,4,2,5,2,20,21,35,28,27,10.625592781144464,30.98663404708369,69.95048953996736,55.48786072856311,23.922307874891292,low,low,high,high,low
1,4,2,5,2,4,4,2,2,3,2,2,2,5,3,4,4,2,2,2,2,4,2,4,2,2,4,2,5,2,1,4,2,2,2,4,4,2,2,2,1,4,2,5,3,4,4,2,4,2,19,20,34,28,27,96.9716577977251,71.25704566249172,63.54239610140829,55.48786072856311,23.922307874891292,high,high,high,high,low
1,4,2,5,2,4,4,2,2,2,2,1,2,5,2,4,4,2,2,2,2,4,2,5,2,4,4,2,5,3,1,4,2,2,2,4,4,2,2,2,1,4,2,5,4,4,4,2,4,2,17,19,35,28,27,56.8825645768269,8.820583429606408,69.95048953996736,55.48786072856311,23.922307874891292,high,low,high,high,low
1,4,2,5,2,4,4,2,2,3,2,2,2,5,2,4,4,2,2,2,2,4,2,5,2,2,4,2,5,3,1,4,2,2,2,4,4,2,2,2,1,4,2,4,4,4,4,2,4,2,19,20,34,28,26,96.9716577977251,71.25704566249172,63.54239610140829,55.48786072856311,99.19879134202203,high,high,high,high,high
1,4,2,5,2,4,4,2,2,3,2,2,2,5,2,4,4,2,2,2,2,4,2,4,2,2,4,2,5,3,1,4,2,2,2,4,4,2,2,2,1,4,2,5,4,4,4,2,4,2,19,20,34,28,26,96.9716577977251,71.25704566249172,63.54239610140829,55.48786072856311,99.19879134202203,high,high,high,high,high
1,4,2,5,2,4,4,2,2,3,2,1,2,4,3,4,4,2,2,2,2,4,2,5,2,4,4,2,5,2,1,4,2,2,2,4,4,2,2,2,1,4,2,5,4,4,4,2,4,2,17,20,35,28,28,56.8825645768269,71.25704566249172,69.95048953996736,55.48786072856311,76.34765069075316,high,high,high,high,high
