EXT1,AGR1,CSN1,EST1,OPN1,EXT2,AGR2,CSN2,EST2,OPN2,EXT3,AGR3,CSN3,EST3,OPN3,EXT4,AGR4,CSN4,EST4,OPN4,EXT5,AGR5,CSN5,EST5,OPN5,EXT6,AGR6,CSN6,EST6,OPN6,EXT7,AGR7,CSN7,EST7,OPN7,EXT8,AGR8,CSN8,EST8,OPN8,EXT9,AGR9,CSN9,EST9,OPN9,EXT10,AGR10,CSN10,EST10,OPN10,EXT_Score,EST_Score,AGR_Score,CSN_Score,OPN_Score,EXT_position,EST_position,AGR_position,CSN_position,OPN_position,EXT_high_or_low,EST_high_or_low,AGR_high_or_low,CSN_high_or_low,OPN_high_or_low
1,2,4,5,4,5,2,2,2,4,2,2,4,5,5,4,2,2,2,4,2,2,4,2,5,2,2,4,5,5,1,2,4,2,3,4,2,1,2,4,1,2,4,5,4,4,2,4,4,5,18,22,28,39,35,13.51772458710916,41.11702373882272,16.684345456354073,39.95918612564645,84.2564222266214,low,low,low,low,high
1,2,4,5,4,4,2,2,2,3,2,2,4,5,5,4,2,2,2,5,2,2,4,2,5,4,2,4,2,5,1,2,4,2,3,4,2,1,2,4,1,2,4,2,4,5,2,4,2,5,16,30,28,39,35,49.78357024881296,26.384928807169217,16.684345456354073,39.95918612564645,84.2564222266214,low,low,low,low,high
1,2,4,5,5,5,2,5,2,3,2,2,4,5,5,4,2,2,2,4,2,2,4,2,4,4,2,4,2,5,1,2,4,2,4,4,2,1,2,4,1,2,4,5,5,4,2,4,2,5,16,27,28,36,38,49.78357024881296,98.45903986936408,16.684345456354073,84.74601143852163,30.8161494512681,low,high,low,high,low
1,2,4,2,5,5,2,2,2,4,2,2,4,5,5,4,2,2,2,5,2,2,4,2,5,2,2,4,2,5,1,2,4,2,3,4,2,1,2,4,1,2,4,5,5,4,2,4,2,5,18,30,28,39,36,13.51772458710916,26.384928807169217,16.684345456354073,39.95918612564645,47.73568682836604,low,low,low,low,low
1,2,4,2,5,4,2,2,2,3,2,2,4,5,5,4,2,2,2,4,2,2,4,2,5,2,2,2,2,5,1,2,4,2,3,4,2,1,2,4,1,2,4,5,5,4,2,4,2,4,19,30,28,41,37,96.9716577977251,26.384928807169217,16.684345456354073,91.30045964853188,79.89197717811061,high,low,low,high,high
1,2,4,5,5,4,2,4,2,3,2,2,4,5,5,4,2,2,2,5,2,2,4,2,5,2,2,4,2,5,1,2,4,2,4,4,2,1,2,4,1,2,4,2,5,4,2,4,2,5,19,30,28,37,38,96.9716577977251,26.384928807169217,16.684345456354073,38.44590142622035,30.8161494512681,high,low,low,low,low
1,2,4,4,4,5,2,2,2,3,2,2,4,5,5,5,2,2,2,5,2,2,4,2,5,4,2,4,5,4,1,2,4,2,3,4,2,1,2,4,1,2,4,5,5,4,2,4,2,5,15,25,28,39,37,68.10647851313007,35.775960982566446,16.684345456354073,39.95918612564645,79.89197717811061,high,low,low,low,high
1,2,4,5,5,5,2,4,2,4,2,2,4,4,5,4,2,2,2,4,2,2,4,2,4,4,2,4,2,5,1,2,4,2,4,4,2,1,2,4,1,2,4,2,4,4,2,4,2,5,16,31,28,37,36,49.78357024881296,57.26086112941366,16.684345456354073,38.44590142622035,47.73568682836604,low,high,low,low,low
1,2,4,5,5,4,2,2,2,4,2,2,4,4,5,5,2,2,2,4,2,2,4,2,4,4,2,4,2,5,1,2,4,2,4,4,2,1,2,4,1,2,4,5,4,5,2,4,5,5,15,25,28,39,36,68.10647851313007,35.775960982566446,16.684345456354073,39.95918612564645,47.73568682836604,high,low,low,low,low
1,2,4,4,4,5,2,1,2,3,2,2,4,5,5,4,2,2,2,4,2,2,4,2,5,4,2,2,5,4,1,2,4,2,3,4,2,1,2,4,1,2,4,5,5,4,2,4,5,5,16,22,28,42,38,49.78357024881296,41.11702373882272,16.684345456354073,10.086562051566911,30.8161494512681,low,low,low,low,low
1,2,4,5,4,5,2,2,2,3,2,2,4,4,5,4,2,2,2,4,2,2,4,2,4,2,2,4,5,5,1,2,4,2,3,4,2,1,2,4,1,2,4,4,5,5,2,4,5,5,17,23,28,39,36,56.8825645768269,26.6900479740304,16.684345456354073,39.95918612564645,47.73568682836604,high,low,low,low,low
1,2,4,5,5,4,2,2,2,3,2,2,4,5,5,5,2,2,2,5,2,2,4,2,4,4,2,4,5,5,1,2,4,2,4,4,2,1,2,4,1,2,4,5,5,5,2,4,2,5,15,24,28,39,37,68.10647851313007,55.88683998774796,16.684345456354073,39.95918612564645,79.89197717811061,high,high,low,low,high
1,2,4,2,4,4,2,4,2,3,2,2,4,5,5,5,2,2,2,4,2,2,4,2,4,4,2,4,5,5,1,2,4,2,3,4,2,1,2,4,1,2,4,5,5,4,2,4,2,5,16,27,28,37,36,49.78357024881296,98.45903986936408,16.684345456354073,38.44590142622035,47.73568682836604,low,high,low,low,low
1,2,4,2,5,4,2,2,2,3,2,2,4,5,5,4,2,2,2,5,2,2,4,2,5,2,2,4,5,5,1,2,4,2,4,4,2,1,2,4,1,2,4,5,5,5,2,4,4,5,18,25,28,39,38,13.51772458710916,35.775960982566446,16.684345456354073,39.95918612564645,30.8161494512681,low,low,low,low,low
