EXT1,AGR1,CSN1,EST1,OPN1,EXT2,AGR2,CSN2,EST2,OPN2,EXT3,AGR3,CSN3,EST3,OPN3,EXT4,AGR4,CSN4,EST4,OPN4,EXT5,AGR5,CSN5,EST5,OPN5,EXT6,AGR6,CSN6,EST6,OPN6,EXT7,AGR7,CSN7,EST7,OPN7,EXT8,AGR8,CSN8,EST8,OPN8,EXT9,AGR9,CSN9,EST9,OPN9,EXT10,AGR10,CSN10,EST10,OPN10,EXT_Score,EST_Score,AGR_Score,CSN_Score,OPN_Score,EXT_position,EST_position,AGR_position,CSN_position,OPN_position,EXT_high_or_low,EST_high_or_low,AGR_high_or_low,CSN_high_or_low,OPN_high_or_low
5,2,4,2,2,2,4,2,4,2,5,1,3,2,2,2,4,1,4,2,5,4,4,5,3,2,4,5,3,3,5,5,4,3,3,2,4,1,5,2,5,4,4,2,2,2,5,2,2,2,45,32,37,36,27,18.86341633008024,94.62417059884316,67.33806671847192,84.74601143852163,23.922307874891292,low,high,high,high,low
5,1,4,2,2,2,5,2,5,2,5,1,3,2,2,2,4,1,4,2,5,2,2,2,3,2,5,2,5,1,5,5,4,3,3,2,4,1,2,2,5,4,4,2,2,2,5,2,1,2,45,38,42,37,29,18.86341633008024,3.351090914283969,16.87236110823851,38.44590142622035,74.38180867314527,low,low,low,low,high
5,2,4,2,3,2,4,2,4,2,4,1,4,3,2,2,4,1,4,2,5,4,4,2,2,2,4,2,5,5,5,5,4,3,3,2,4,1,5,2,5,4,4,2,3,2,4,4,2,3,44,32,36,42,27,89.69705744178556,94.62417059884316,42.497643648784006,10.086562051566911,23.922307874891292,high,high,low,low,low
5,2,4,2,2,2,5,2,4,2,5,1,2,2,2,2,4,1,4,2,5,2,2,2,2,2,4,2,5,2,5,5,4,2,3,2,4,1,2,2,5,4,4,2,3,2,5,2,2,2,45,37,40,36,28,18.86341633008024,72.51416026733875,58.82614806257208,84.74601143852163,76.34765069075316,low,high,high,high,high
5,2,4,2,2,2,5,2,4,2,5,1,2,2,2,2,4,1,4,2,5,2,4,2,3,2,4,2,3,2,5,5,4,2,3,2,4,1,2,2,5,3,4,3,2,2,5,2,2,2,45,38,39,38,28,18.86341633008024,3.351090914283969,61.20948528622405,11.2864545014926,76.34765069075316,low,low,high,low,high
5,1,4,2,2,2,5,2,4,2,5,1,3,3,2,2,4,1,4,2,5,4,4,2,3,2,5,4,5,1,5,5,4,2,3,2,4,1,3,2,5,4,4,2,2,2,5,2,2,2,45,35,40,37,29,18.86341633008024,53.631637055925054,58.82614806257208,38.44590142622035,74.38180867314527,low,high,high,low,high
5,1,4,2,3,2,5,2,4,2,5,1,4,3,2,2,4,1,4,2,5,4,4,2,3,2,5,2,2,2,5,5,4,3,3,2,4,1,3,2,5,3,4,2,2,2,5,4,2,2,45,37,39,42,29,18.86341633008024,72.51416026733875,61.20948528622405,10.086562051566911,74.38180867314527,low,high,high,low,high
5,1,4,2,2,2,5,2,4,2,5,1,3,3,2,2,4,1,4,2,5,4,2,5,3,2,4,2,2,1,5,5,4,3,4,2,4,1,3,2,5,4,4,2,3,2,5,2,2,3,45,34,39,37,32,18.86341633008024,27.09730031585448,61.20948528622405,38.44590142622035,34.399379124845744,low,low,high,low,low
5,1,4,3,2,2,5,2,4,2,5,1,4,2,2,2,5,1,4,2,5,2,2,3,2,2,5,2,3,2,5,5,4,5,3,2,4,1,3,2,5,4,4,5,2,2,5,2,2,2,45,30,43,38,27,18.86341633008024,26.384928807169217,78.72458612426762,11.2864545014926,23.922307874891292,low,low,high,low,low
5,2,4,2,2,2,5,2,4,2,5,1,4,2,2,2,4,1,4,2,5,4,4,3,2,2,5,2,5,1,5,5,4,3,4,2,4,1,2,2,5,2,4,2,2,2,5,2,2,2,45,35,37,40,29,18.86341633008024,53.631637055925054,67.33806671847192,70.57756950620531,74.38180867314527,low,high,high,high,high
