EXT1,AGR1,CSN1,EST1,OPN1,EXT2,AGR2,CSN2,EST2,OPN2,EXT3,AGR3,CSN3,EST3,OPN3,EXT4,AGR4,CSN4,EST4,OPN4,EXT5,AGR5,CSN5,EST5,OPN5,EXT6,AGR6,CSN6,EST6,OPN6,EXT7,AGR7,CSN7,EST7,OPN7,EXT8,AGR8,CSN8,EST8,OPN8,EXT9,AGR9,CSN9,EST9,OPN9,EXT10,AGR10,CSN10,EST10,OPN10,EXT_Score,EST_Score,AGR_Score,CSN_Score,OPN_Score,EXT_position,EST_position,AGR_position,CSN_position,OPN_position,EXT_high_or_low,EST_high_or_low,AGR_high_or_low,CSN_high_or_low,OPN_high_or_low
5,2,2,2,2,2,2,2,2,3,5,2,2,2,2,1,2,2,5,2,5,2,2,2,2,2,2,2,2,2,5,2,2,4,2,1,2,2,2,2,5,2,2,2,2,1,2,2,1,2,48,38,28,28,25,43.423933437140825,3.351090914283969,16.684345456354073,55.48786072856311,15.370796609217988,low,low,low,high,low
5,2,2,2,2,2,2,2,2,4,5,2,2,2,2,1,2,2,5,5,5,2,2,2,2,2,2,2,2,5,5,2,2,5,2,2,2,4,2,2,5,2,2,2,2,1,5,2,1,2,47,37,31,26,18,85.17207519444206,72.51416026733875,72.65224195615069,16.971441121751216,24.09899728268631,high,high,high,low,low
5,2,2,2,2,2,2,2,2,2,5,2,2,2,2,1,2,2,2,2,5,2,2,2,2,2,2,2,2,5,5,2,2,3,2,2,2,2,2,2,5,2,2,2,2,2,4,2,1,2,46,36,30,28,23,14.795226431317165,99.6997067980117,29.734837852504725,55.48786072856311,47.45568237665967,low,high,low,high,low
5,2,2,5,2,2,5,2,5,3,5,2,2,2,2,1,2,2,5,2,5,2,2,5,2,2,2,2,3,5,5,2,2,5,2,2,2,2,3,2,5,2,2,2,2,2,5,2,5,2,46,28,34,28,22,14.795226431317165,96.961119466268,63.54239610140829,55.48786072856311,57.77605750186391,low,high,high,high,high
5,2,2,2,2,2,5,2,5,3,5,2,2,2,3,2,2,2,5,2,5,2,2,2,2,2,2,2,2,5,5,2,2,2,2,2,2,2,3,2,5,2,2,2,2,2,5,2,2,2,45,41,34,28,23,18.86341633008024,80.03094526863389,63.54239610140829,55.48786072856311,47.45568237665967,low,high,high,high,low
5,2,2,2,2,2,2,2,4,4,5,2,2,2,3,1,2,2,2,2,5,2,2,2,2,2,2,2,5,2,5,2,2,5,3,2,2,4,2,2,5,2,2,2,2,2,5,2,2,3,46,32,31,26,27,14.795226431317165,94.62417059884316,72.65224195615069,16.971441121751216,23.922307874891292,low,high,high,low,low
5,4,2,3,2,2,5,2,5,4,5,2,2,2,2,1,2,2,5,2,5,2,2,5,2,2,2,2,5,2,5,2,2,3,2,1,2,2,3,2,5,2,2,3,2,2,4,2,1,2,47,33,31,28,24,85.17207519444206,43.820548958428745,72.65224195615069,55.48786072856311,96.41095947075908,high,low,high,high,high
5,4,2,2,2,2,5,2,2,3,5,2,2,2,3,1,2,2,2,2,5,2,2,2,2,2,2,4,2,5,5,2,2,5,2,1,2,2,4,2,5,2,2,2,2,2,5,2,2,2,47,31,32,26,23,85.17207519444206,57.26086112941366,70.24063836681471,16.971441121751216,47.45568237665967,high,high,high,low,low
5,2,2,2,3,2,5,2,4,3,5,2,2,2,2,1,2,2,5,5,5,2,2,2,3,2,2,2,2,5,5,2,2,3,3,1,2,2,2,2,5,2,2,2,2,1,4,2,2,2,48,40,33,28,22,43.423933437140825,78.62373330733222,64.5474771529959,55.48786072856311,57.77605750186391,low,high,high,high,high
5,5,2,2,2,2,5,2,2,3,5,2,2,2,3,1,2,2,4,3,5,2,2,1,3,2,2,2,2,3,5,2,2,5,2,2,2,2,2,2,5,2,2,2,2,2,4,2,1,2,46,37,30,28,25,14.795226431317165,72.51416026733875,29.734837852504725,55.48786072856311,15.370796609217988,low,high,low,high,low
5,4,2,2,4,2,5,2,2,3,5,2,2,2,3,1,2,2,2,2,5,2,2,2,2,2,2,2,2,5,5,2,2,5,2,2,2,2,5,2,5,2,2,2,2,2,5,2,2,2,46,30,32,28,25,14.795226431317165,26.384928807169217,70.24063836681471,55.48786072856311,15.370796609217988,low,low,high,high,low
5,4,2,2,2,2,5,2,4,3,5,2,2,2,2,1,2,2,4,3,5,2,2,2,2,2,2,2,5,5,5,2,2,3,3,2,2,2,3,3,5,2,2,2,2,2,4,2,2,2,46,35,31,28,23,14.795226431317165,53.631637055925054,72.65224195615069,55.48786072856311,47.45568237665967,low,high,high,high,low
5,2,2,2,3,2,2,2,5,3,5,2,2,2,3,2,2,2,5,3,5,2,2,2,3,2,2,2,2,5,5,2,2,3,3,1,2,2,2,2,5,2,2,2,2,2,4,2,2,3,46,41,30,28,26,14.795226431317165,80.03094526863389,29.734837852504725,55.48786072856311,99.19879134202203,low,high,low,high,high
5,4,2,2,2,2,2,2,5,3,5,2,2,2,2,1,2,2,5,3,5,2,2,2,2,2,2,2,2,2,5,2,2,2,2,1,2,2,2,2,5,2,2,2,2,2,5,2,1,2,47,43,29,28,24,85.17207519444206,82.91913751143704,84.55011666031412,55.48786072856311,96.41095947075908,high,high,high,high,high
5,2,2,2,2,2,5,2,2,4,5,2,2,2,3,1,2,2,2,2,5,2,2,2,3,2,2,2,2,3,5,2,2,5,2,2,2,4,5,2,5,2,2,4,2,1,4,2,2,2,47,28,33,26,25,85.17207519444206,96.961119466268,64.5474771529959,16.971441121751216,15.370796609217988,high,high,high,low,low
5,2,2,5,3,2,5,2,2,4,5,2,2,2,2,1,2,2,2,2,5,2,2,2,2,2,2,2,2,5,5,2,2,5,2,1,2,2,5,2,5,2,2,2,2,1,5,2,2,2,48,27,34,28,22,43.423933437140825,98.45903986936408,63.54239610140829,55.48786072856311,57.77605750186391,low,high,high,high,high
5,2,2,2,2,2,2,2,4,3,5,2,2,2,2,2,2,2,4,2,5,2,2,5,2,2,2,2,3,5,5,2,2,3,3,1,2,2,3,2,5,2,2,2,2,2,5,2,2,4,46,34,31,28,25,14.795226431317165,27.09730031585448,72.65224195615069,55.48786072856311,15.370796609217988,low,low,high,high,low
5,5,2,2,2,2,5,2,4,4,5,1,2,2,2,2,2,2,2,2,5,2,2,3,2,2,2,2,2,5,5,2,2,2,3,2,2,4,2,2,5,2,2,2,2,2,5,2,2,2,45,37,32,26,22,18.86341633008024,72.51416026733875,70.24063836681471,16.971441121751216,57.77605750186391,low,high,high,low,high
5,4,2,2,2,2,2,2,4,5,5,2,2,2,2,1,2,2,2,5,5,2,2,2,2,2,2,2,2,3,5,2,2,2,2,1,2,2,3,2,5,2,2,2,2,1,5,2,1,3,48,38,29,28,20,43.423933437140825,3.351090914283969,84.55011666031412,55.48786072856311,45.26282303186811,low,low,high,high,low
5,2,2,2,2,2,5,2,5,3,5,2,2,2,2,2,2,2,4,4,5,2,2,2,2,2,2,2,2,2,5,2,2,3,2,1,2,2,3,2,5,2,2,2,2,2,5,2,2,2,46,39,34,28,23,14.795226431317165,58.10382915690394,63.54239610140829,55.48786072856311,47.45568237665967,low,high,high,high,low
