EXT1,AGR1,CSN1,EST1,OPN1,EXT2,AGR2,CSN2,EST2,OPN2,EXT3,AGR3,CSN3,EST3,OPN3,EXT4,AGR4,CSN4,EST4,OPN4,EXT5,AGR5,CSN5,EST5,OPN5,EXT6,AGR6,CSN6,EST6,OPN6,EXT7,AGR7,CSN7,EST7,OPN7,EXT8,AGR8,CSN8,EST8,OPN8,EXT9,AGR9,CSN9,EST9,OPN9,EXT10,AGR10,CSN10,EST10,OPN10,EXT_Score,EST_Score,AGR_Score,CSN_Score,OPN_Score,EXT_position,EST_position,AGR_position,CSN_position,OPN_position,EXT_high_or_low,EST_high_or_low,AGR_high_or_low,CSN_high_or_low,OPN_high_or_low
5,1,2,2,3,2,5,2,2,3,5,1,2,2,5,2,5,2,2,2,5,4,2,2,4,2,4,2,2,5,5,5,2,5,3,1,4,2,5,2,5,4,2,2,2,2,4,2,2,5,46,30,39,28,32,14.795226431317165,26.384928807169217,61.20948528622405,55.48786072856311,34.399379124845744,low,low,high,high,low
5,2,2,2,2,2,5,2,2,3,4,1,2,2,4,2,4,2,2,2,5,4,2,2,4,2,4,2,2,5,5,5,2,4,3,2,4,2,5,2,5,2,2,2,2,2,4,2,2,5,44,31,35,28,30,89.69705744178556,57.26086112941366,69.95048953996736,55.48786072856311,23.34368453554028,high,high,high,high,low
5,2,2,2,4,2,5,2,2,2,5,1,2,2,5,1,4,2,2,4,5,2,2,2,5,2,4,2,2,5,5,2,2,5,2,2,2,2,4,2,5,4,2,2,2,1,4,2,2,5,47,31,40,28,32,85.17207519444206,57.26086112941366,58.82614806257208,55.48786072856311,34.399379124845744,high,high,high,high,low
5,2,2,2,3,2,5,2,2,3,5,1,2,2,5,1,4,2,2,5,5,4,2,2,4,2,4,2,2,5,5,2,2,5,3,2,4,2,4,2,5,4,2,2,2,1,4,2,2,5,47,31,40,28,29,85.17207519444206,57.26086112941366,58.82614806257208,55.48786072856311,74.38180867314527,high,high,high,high,high
5,2,2,2,3,2,4,2,2,3,5,2,2,2,4,1,4,2,2,2,5,2,2,2,2,2,2,2,2,5,5,2,2,5,2,2,4,2,4,2,5,2,2,2,2,2,4,2,2,4,46,31,36,28,27,14.795226431317165,57.26086112941366,42.497643648784006,55.48786072856311,23.922307874891292,low,high,low,high,low
5,2,2,4,2,2,5,2,2,2,5,1,2,2,5,2,4,2,2,2,5,4,2,2,4,2,4,2,4,5,5,5,2,4,2,2,4,2,4,2,5,4,2,2,2,2,5,2,2,5,45,28,38,28,31,18.86341633008024,96.961119466268,31.89952932069128,55.48786072856311,32.83113751931617,low,high,low,high,low
5,2,2,2,4,2,5,2,2,3,5,1,2,2,5,2,4,2,2,4,5,2,2,2,4,2,4,2,2,5,5,5,2,4,4,1,4,2,5,3,5,4,2,2,2,1,4,2,2,5,47,31,39,28,33,85.17207519444206,57.26086112941366,61.20948528622405,55.48786072856311,5.180525557423565,high,high,high,high,low
5,2,2,2,2,2,5,2,2,3,5,1,2,2,5,1,4,2,2,4,5,4,2,2,4,2,4,2,2,5,5,5,2,5,3,2,4,2,5,2,5,2,2,2,2,2,5,2,2,5,46,30,36,28,29,14.795226431317165,26.384928807169217,42.497643648784006,55.48786072856311,74.38180867314527,low,low,low,high,high
5,2,2,2,2,2,5,2,2,3,5,1,2,2,5,2,4,2,2,2,5,4,2,2,5,2,4,2,2,5,5,4,2,4,3,1,4,2,5,3,5,2,2,2,2,2,4,2,2,5,46,31,36,28,33,14.795226431317165,57.26086112941366,42.497643648784006,55.48786072856311,5.180525557423565,low,high,low,high,low
5,2,2,2,2,2,5,2,2,3,5,1,2,2,4,2,4,2,2,2,5,2,2,2,4,2,4,2,2,5,5,5,2,2,3,2,4,2,5,2,5,2,2,2,2,2,4,2,2,5,45,33,37,28,30,18.86341633008024,43.820548958428745,67.33806671847192,55.48786072856311,23.34368453554028,low,low,high,high,low
