EXT1,AGR1,CSN1,EST1,OPN1,EXT2,AGR2,CSN2,EST2,OPN2,EXT3,AGR3,CSN3,EST3,OPN3,EXT4,AGR4,CSN4,EST4,OPN4,EXT5,AGR5,CSN5,EST5,OPN5,EXT6,AGR6,CSN6,EST6,OPN6,EXT7,AGR7,CSN7,EST7,OPN7,EXT8,AGR8,CSN8,EST8,OPN8,EXT9,AGR9,CSN9,EST9,OPN9,EXT10,AGR10,CSN10,EST10,OPN10,EXT_Score,EST_Score,AGR_Score,CSN_Score,OPN_Score,EXT_position,EST_position,AGR_position,CSN_position,OPN_position,EXT_high_or_low,EST_high_or_low,AGR_high_or_low,CSN_high_or_low,OPN_high_or_low
1,1,4,2,4,4,4,2,4,3,2,1,4,3,4,2,4,1,4,4,2,4,2,5,3,2,4,4,5,5,2,5,4,2,3,3,4,1,5,3,2,4,4,5,5,4,4,4,3,4,24,26,37,38,32,90.69622914863086,65.1757389881823,67.33806671847192,11.2864545014926,34.399379124845744,high,high,high,low,low
1,2,4,5,4,2,4,2,4,4,2,1,4,3,5,2,4,1,3,5,2,4,2,5,4,2,5,5,5,5,1,4,4,3,3,4,4,1,5,2,2,4,3,3,5,4,4,4,2,4,24,24,38,36,31,90.69622914863086,55.88683998774796,31.89952932069128,84.74601143852163,32.83113751931617,high,high,low,high,low
1,5,4,5,4,2,4,2,4,3,2,1,4,3,5,4,4,1,4,5,2,4,2,5,3,2,5,2,5,5,2,4,4,3,3,4,4,1,5,2,1,4,4,5,5,4,4,4,3,4,22,22,35,40,31,89.78559912384115,41.11702373882272,69.95048953996736,70.57756950620531,32.83113751931617,high,low,high,high,low
2,1,4,5,4,2,4,5,5,4,4,1,4,3,4,4,5,1,4,4,2,4,2,5,3,2,5,5,5,5,2,5,4,3,3,4,4,1,5,3,2,4,3,5,5,4,5,4,3,4,26,23,40,33,31,37.74308335820182,26.6900479740304,58.82614806257208,73.79648807641964,32.83113751931617,low,low,high,high,low
1,2,4,5,4,2,4,2,4,5,2,1,4,3,5,2,4,1,4,5,2,4,4,5,4,2,4,2,5,5,2,5,4,2,4,5,4,1,5,3,1,4,4,5,5,4,4,4,3,5,23,23,36,42,33,82.11605756095736,26.6900479740304,42.497643648784006,10.086562051566911,5.180525557423565,high,low,low,low,low
1,2,4,5,3,5,4,2,5,3,2,1,4,3,3,4,4,1,4,4,2,4,2,5,3,2,4,5,5,5,2,4,4,2,3,4,4,1,1,3,2,4,3,5,5,4,4,4,3,4,20,28,37,36,30,10.625592781144464,96.961119466268,67.33806671847192,84.74601143852163,23.34368453554028,low,high,high,high,low
1,2,4,5,4,5,4,2,4,5,2,1,4,3,5,4,4,1,5,5,2,4,2,5,4,2,4,4,5,5,1,4,4,2,3,4,4,1,5,3,1,4,4,5,5,4,4,4,2,4,18,25,37,38,31,13.51772458710916,35.775960982566446,67.33806671847192,11.2864545014926,32.83113751931617,low,low,high,low,low
1,2,4,5,3,2,3,2,4,5,2,1,4,3,4,4,4,1,5,5,2,4,4,5,4,2,4,5,5,5,2,4,4,3,3,4,4,1,5,3,1,4,4,5,5,4,4,4,3,4,22,23,36,39,29,89.78559912384115,26.6900479740304,42.497643648784006,39.95918612564645,74.38180867314527,high,low,low,low,high
1,1,4,5,3,2,4,2,4,5,2,1,4,3,3,5,5,1,5,4,2,4,4,5,3,2,5,5,5,5,1,5,4,3,3,4,4,1,5,3,1,4,4,5,4,4,4,4,2,4,20,24,39,39,27,10.625592781144464,55.88683998774796,61.20948528622405,39.95918612564645,23.922307874891292,low,high,high,low,low
1,1,4,1,4,4,4,2,4,3,2,1,4,3,3,4,4,1,4,5,2,4,2,5,4,2,4,5,1,5,2,5,4,2,3,5,4,1,1,3,1,4,4,1,5,4,4,4,3,4,19,39,37,37,31,96.9716577977251,58.10382915690394,67.33806671847192,38.44590142622035,32.83113751931617,high,high,high,low,low
1,2,4,2,4,4,4,2,5,5,2,1,4,3,4,4,4,1,4,4,2,4,2,5,4,2,4,4,5,5,1,4,4,2,3,5,4,1,3,3,1,4,4,3,5,4,4,3,2,4,18,32,37,37,31,13.51772458710916,94.62417059884316,67.33806671847192,38.44590142622035,32.83113751931617,low,high,high,low,low
1,2,4,2,4,2,4,2,5,5,2,1,4,2,5,2,5,1,3,5,2,4,2,3,4,2,5,5,2,5,2,5,4,3,3,4,4,1,2,3,2,4,4,5,5,4,4,3,3,5,25,34,38,36,32,39.38105523169063,27.09730031585448,31.89952932069128,84.74601143852163,34.399379124845744,low,low,low,high,low
1,1,4,5,4,2,4,2,4,4,2,1,4,2,4,4,5,1,4,4,2,4,2,5,3,2,5,2,2,5,2,5,4,2,3,5,4,1,5,4,1,4,4,5,5,4,5,4,2,4,21,28,40,40,32,70.36759078969529,96.961119466268,58.82614806257208,70.57756950620531,34.399379124845744,high,high,high,high,low
1,2,4,2,4,2,2,2,4,3,2,1,4,3,5,2,4,1,3,4,2,4,2,3,4,2,4,5,3,5,2,4,4,2,3,2,4,1,3,2,2,4,4,2,5,4,4,4,2,4,27,35,35,37,33,19.23934914477008,53.631637055925054,69.95048953996736,38.44590142622035,5.180525557423565,low,high,high,low,low
1,1,4,2,4,4,4,2,4,3,2,1,4,3,4,4,5,1,3,4,2,4,2,5,3,2,5,5,5,5,1,5,4,3,3,5,4,1,5,3,1,4,3,5,5,4,4,4,3,4,18,24,39,36,32,13.51772458710916,55.88683998774796,61.20948528622405,84.74601143852163,34.399379124845744,low,high,high,high,low
1,2,4,5,4,2,4,2,4,3,2,1,4,2,4,4,4,1,4,4,2,4,4,5,3,2,4,4,5,5,2,4,4,2,3,4,4,1,5,3,1,4,4,5,5,4,4,3,2,4,22,25,37,39,32,89.78559912384115,35.775960982566446,67.33806671847192,39.95918612564645,34.399379124845744,high,low,high,low,low
1,5,4,2,4,2,4,2,2,3,2,1,4,4,4,2,5,1,2,4,2,4,2,3,3,2,5,5,5,5,2,5,4,3,3,4,4,1,3,3,2,4,4,1,5,4,4,4,2,4,25,29,35,37,32,39.38105523169063,57.0615192334398,69.95048953996736,38.44590142622035,34.399379124845744,low,high,high,low,low
1,2,4,5,4,4,2,2,5,4,2,1,4,3,5,4,4,1,5,4,2,4,2,5,4,2,4,4,5,5,1,4,4,2,3,5,4,1,5,4,2,4,4,5,5,4,4,4,2,4,19,26,35,38,34,96.9716577977251,65.1757389881823,69.95048953996736,11.2864545014926,47.69983680359604,high,high,high,low,low
1,2,4,5,5,2,2,2,4,5,2,1,4,3,4,5,4,1,4,4,2,4,2,3,3,2,5,5,5,5,1,4,4,3,3,5,4,5,5,3,1,4,3,5,5,4,4,3,3,4,19,24,36,31,31,96.9716577977251,55.88683998774796,42.497643648784006,85.8815905198352,32.83113751931617,high,high,low,high,low
2,1,4,1,3,2,5,2,5,4,4,1,4,3,3,2,5,1,5,4,2,4,2,5,3,2,5,5,1,5,2,5,4,2,3,3,4,1,1,2,2,4,4,1,5,3,5,4,2,4,30,42,41,37,28,0.3554470862498411,60.86211430445535,17.451969338379914,38.44590142622035,76.34765069075316,low,high,low,low,high
