EXT1,AGR1,CSN1,EST1,OPN1,EXT2,AGR2,CSN2,EST2,OPN2,EXT3,AGR3,CSN3,EST3,OPN3,EXT4,AGR4,CSN4,EST4,OPN4,EXT5,AGR5,CSN5,EST5,OPN5,EXT6,AGR6,CSN6,EST6,OPN6,EXT7,AGR7,CSN7,EST7,OPN7,EXT8,AGR8,CSN8,EST8,OPN8,EXT9,AGR9,CSN9,EST9,OPN9,EXT10,AGR10,CSN10,EST10,OPN10,EXT_Score,EST_Score,AGR_Score,CSN_Score,OPN_Score,EXT_position,EST_position,AGR_position,CSN_position,OPN_position,EXT_high_or_low,EST_high_or_low,AGR_high_or_low,CSN_high_or_low,OPN_high_or_low
1,2,4,1,3,2,2,1,5,3,2,1,5,2,4,4,2,1,3,4,2,2,4,3,4,2,2,1,5,5,1,2,4,2,3,2,2,1,1,3,2,2,4,1,5,5,2,4,1,5,23,40,29,45,33,82.11605756095736,78.62373330733222,84.55011666031412,37.194794655194656,5.180525557423565,high,high,high,low,low
1,4,4,3,4,5,2,2,4,3,2,1,5,3,4,5,2,1,4,4,2,4,2,5,4,3,2,5,5,5,1,3,4,3,3,4,2,1,3,3,1,2,4,3,5,5,2,4,3,4,15,28,24,38,33,68.10647851313007,96.961119466268,93.15569843037956,11.2864545014926,5.180525557423565,high,high,high,low,low
1,3,4,5,4,3,3,2,4,3,3,1,4,3,3,3,3,1,5,4,2,4,2,5,3,2,3,1,5,5,2,4,4,2,3,4,2,1,5,3,2,2,4,5,5,3,3,4,3,4,25,24,28,41,31,39.38105523169063,55.88683998774796,16.684345456354073,91.30045964853188,32.83113751931617,low,high,low,high,low
1,2,4,5,4,4,2,1,5,3,2,1,5,3,3,4,3,1,5,4,2,2,5,5,5,2,2,2,5,5,1,3,4,3,4,4,2,1,5,3,1,3,4,5,5,5,2,5,2,4,18,25,30,46,34,13.51772458710916,35.775960982566446,29.734837852504725,33.024077625152536,47.69983680359604,low,low,low,low,low
2,2,4,3,4,3,3,2,4,4,2,1,4,2,3,2,3,1,2,4,2,4,2,5,3,2,2,4,3,5,2,4,4,2,3,4,2,1,2,3,2,2,4,3,4,4,2,4,2,4,25,32,27,38,29,39.38105523169063,94.62417059884316,25.538415172833563,11.2864545014926,74.38180867314527,low,high,low,low,high
1,2,4,5,4,2,2,2,5,3,2,1,4,3,3,2,2,1,5,5,2,2,2,5,4,2,2,1,5,5,1,2,4,3,3,4,2,1,5,3,2,2,4,5,5,4,2,4,1,4,24,26,29,41,31,90.69622914863086,65.1757389881823,84.55011666031412,91.30045964853188,32.83113751931617,high,high,high,high,low
1,2,4,5,3,5,2,5,5,3,2,1,4,3,3,5,2,1,5,4,2,2,2,5,3,4,2,5,5,5,1,2,4,2,3,5,2,1,5,3,1,2,4,5,4,4,2,4,2,3,14,26,29,34,28,20.67768365504791,65.1757389881823,84.55011666031412,19.967478906101498,76.34765069075316,low,high,high,low,high
1,2,4,1,4,2,2,1,4,3,2,1,5,2,2,2,2,1,3,4,2,2,2,1,3,2,2,1,1,5,2,2,4,2,3,5,2,1,1,3,2,3,3,1,5,3,2,4,1,3,25,45,30,42,29,39.38105523169063,39.54553199368488,29.734837852504725,10.086562051566911,74.38180867314527,low,low,low,low,high
1,2,4,3,3,5,2,2,4,5,2,2,4,3,4,5,2,1,5,4,2,2,4,5,3,2,2,4,5,5,1,2,4,3,3,5,2,1,5,3,1,2,4,5,5,4,2,4,3,4,16,25,28,40,29,49.78357024881296,35.775960982566446,16.684345456354073,70.57756950620531,74.38180867314527,low,low,low,high,high
1,2,4,5,4,2,2,2,4,4,2,2,4,3,4,2,2,1,3,4,2,2,4,5,4,2,2,4,5,5,1,2,4,3,3,4,2,1,5,4,2,2,4,5,5,4,3,4,2,5,24,22,29,40,34,90.69622914863086,41.11702373882272,84.55011666031412,70.57756950620531,47.69983680359604,high,low,high,high,low
1,2,4,1,4,2,2,2,4,5,2,2,4,3,5,4,2,1,3,5,2,2,4,3,3,2,2,2,5,5,1,2,4,3,3,4,2,1,2,3,2,2,4,2,5,4,3,4,1,4,22,35,29,42,30,89.78559912384115,53.631637055925054,84.55011666031412,10.086562051566911,23.34368453554028,high,high,high,low,low
