EXT1,AGR1,CSN1,EST1,OPN1,EXT2,AGR2,CSN2,EST2,OPN2,EXT3,AGR3,CSN3,EST3,OPN3,EXT4,AGR4,CSN4,EST4,OPN4,EXT5,AGR5,CSN5,EST5,OPN5,EXT6,AGR6,CSN6,EST6,OPN6,EXT7,AGR7,CSN7,EST7,OPN7,EXT8,AGR8,CSN8,EST8,OPN8,EXT9,AGR9,CSN9,EST9,OPN9,EXT10,AGR10,CSN10,EST10,OPN10,EXT_Score,EST_Score,AGR_Score,CSN_Score,OPN_Score,EXT_position,EST_position,AGR_position,CSN_position,OPN_position,EXT_high_or_low,EST_high_or_low,AGR_high_or_low,CSN_high_or_low,OPN_high_or_low
1,2,2,5,3,4,2,2,5,3,2,1,3,3,2,4,3,2,3,3,2,2,2,5,3,5,2,2,3,3,1,2,2,3,2,5,2,2,3,3,1,2,2,5,5,5,2,2,3,2,14,26,30,29,29,20.67768365504791,65.1757389881823,29.734837852504725,17.22022453540239,74.38180867314527,low,high,low,low,high
1,5,2,3,2,5,2,2,5,3,2,1,3,2,2,4,2,1,5,5,2,4,2,3,2,4,2,2,1,5,1,4,5,3,2,5,1,2,3,3,1,2,2,3,5,4,2,2,2,2,15,38,21,33,23,68.10647851313007,3.351090914283969,6.37559204247637,73.79648807641964,47.45568237665967,high,low,low,high,low
1,5,2,3,3,5,2,2,5,3,2,1,3,3,1,5,2,2,5,2,2,2,2,3,3,5,2,2,3,3,1,4,2,3,2,5,2,4,3,3,1,2,2,3,5,5,2,2,2,2,12,35,24,27,29,85.53303766911806,53.631637055925054,93.15569843037956,26.729640583803864,74.38180867314527,high,high,high,low,high
1,2,2,2,3,5,2,2,4,3,2,1,3,2,3,5,2,1,5,2,2,2,2,2,2,2,2,2,3,3,1,4,2,3,2,5,2,4,3,2,1,2,2,3,5,4,2,2,2,2,16,37,27,28,29,49.78357024881296,72.51416026733875,25.538415172833563,55.48786072856311,74.38180867314527,low,high,low,high,high
1,2,2,5,3,4,2,2,5,3,2,1,3,3,3,4,3,1,5,3,2,2,2,5,2,4,3,2,5,3,1,2,4,3,2,5,2,2,5,2,1,3,2,5,5,5,3,2,2,2,15,25,33,32,28,68.10647851313007,35.775960982566446,64.5474771529959,75.56111690555193,76.34765069075316,high,low,high,high,high
1,5,2,1,2,5,2,2,5,3,2,2,2,3,2,5,2,2,3,3,2,2,2,3,2,4,2,2,5,3,1,5,2,3,3,5,1,4,2,3,1,2,2,2,5,5,2,2,2,2,13,35,21,26,28,90.09761252623504,53.631637055925054,6.37559204247637,16.971441121751216,76.34765069075316,high,high,low,low,high
1,2,2,3,2,4,2,2,5,3,2,1,2,3,2,4,2,2,3,2,2,2,2,3,3,5,2,2,4,3,1,2,3,2,2,4,2,2,3,3,1,2,3,2,4,5,3,2,2,2,15,34,30,30,28,68.10647851313007,27.09730031585448,29.734837852504725,96.12317438180868,76.34765069075316,high,low,low,high,high
1,4,2,5,2,4,2,2,4,3,2,1,2,3,2,4,2,2,5,3,2,4,2,5,2,5,2,2,3,3,1,4,2,2,3,4,2,2,3,3,1,2,3,5,4,4,2,3,3,2,16,28,23,30,27,49.78357024881296,96.961119466268,88.30895236181736,96.12317438180868,23.922307874891292,low,high,high,high,low
1,4,2,5,2,5,2,5,4,2,2,1,3,2,2,4,2,1,3,2,2,2,2,3,3,4,2,2,5,3,1,2,2,3,3,5,2,2,3,2,1,2,3,3,4,5,2,3,2,2,14,29,27,29,29,20.67768365504791,57.0615192334398,25.538415172833563,17.22022453540239,74.38180867314527,low,high,low,low,high
1,5,2,2,3,4,2,2,5,3,2,1,2,3,2,5,2,2,5,2,2,4,2,1,2,5,2,2,1,3,1,4,2,2,2,4,2,2,3,3,2,2,2,2,5,5,2,2,3,2,15,41,22,28,29,68.10647851313007,80.03094526863389,29.099681781785623,55.48786072856311,74.38180867314527,high,high,low,high,high
