EXT1,AGR1,CSN1,EST1,OPN1,EXT2,AGR2,CSN2,EST2,OPN2,EXT3,AGR3,CSN3,EST3,OPN3,EXT4,AGR4,CSN4,EST4,OPN4,EXT5,AGR5,CSN5,EST5,OPN5,EXT6,AGR6,CSN6,EST6,OPN6,EXT7,AGR7,CSN7,EST7,OPN7,EXT8,AGR8,CSN8,EST8,OPN8,EXT9,AGR9,CSN9,EST9,OPN9,EXT10,AGR10,CSN10,EST10,OPN10,EXT_Score,EST_Score,AGR_Score,CSN_Score,OPN_Score,EXT_position,EST_position,AGR_position,CSN_position,OPN_position,EXT_high_or_low,EST_high_or_low,AGR_high_or_low,CSN_high_or_low,OPN_high_or_low
1,1,4,2,2,2,4,2,2,3,3,1,4,2,4,2,5,1,2,4,2,4,2,2,3,2,4,1,2,5,2,5,4,2,3,4,4,1,2,2,1,4,4,2,5,4,4,4,2,4,25,36,38,41,29,39.38105523169063,99.6997067980117,31.89952932069128,91.30045964853188,74.38180867314527,low,high,low,high,high
2,1,4,2,3,4,4,2,2,4,2,1,4,4,4,4,4,1,2,4,2,4,2,2,4,2,5,4,2,5,2,5,4,2,3,4,4,1,2,2,2,4,4,2,5,4,4,4,2,4,22,34,38,38,30,89.78559912384115,27.09730031585448,31.89952932069128,11.2864545014926,23.34368453554028,high,low,low,low,low
1,1,4,2,3,2,4,2,2,3,2,1,4,2,5,2,5,1,2,5,2,4,2,2,4,2,5,2,2,5,2,5,4,2,3,4,5,1,2,2,2,5,4,2,5,4,4,4,2,5,25,36,41,40,32,39.38105523169063,99.6997067980117,17.451969338379914,70.57756950620531,34.399379124845744,low,high,low,high,low
1,5,4,2,4,4,5,2,2,3,2,1,4,2,5,4,5,1,2,4,2,4,2,2,4,2,5,2,2,5,1,5,4,2,2,4,4,1,2,4,1,4,4,2,5,4,4,4,2,4,19,36,36,40,34,96.9716577977251,99.6997067980117,42.497643648784006,70.57756950620531,47.69983680359604,high,high,low,high,low
1,5,4,4,3,4,4,2,2,3,2,1,4,4,5,4,5,1,2,4,2,4,2,4,4,2,5,4,2,5,2,5,4,4,3,5,4,1,4,2,2,4,4,2,5,5,4,4,2,4,19,26,35,38,32,96.9716577977251,65.1757389881823,69.95048953996736,11.2864545014926,34.399379124845744,high,high,high,low,low
1,1,4,2,4,2,3,2,2,3,2,1,4,2,5,2,4,1,2,5,2,4,2,2,4,2,4,4,2,5,2,4,4,2,3,4,4,1,2,3,2,4,4,2,5,4,4,4,2,5,25,36,37,38,34,39.38105523169063,99.6997067980117,67.33806671847192,11.2864545014926,47.69983680359604,low,high,high,low,low
1,5,4,4,3,2,2,2,2,3,2,1,4,4,5,4,5,1,2,4,2,4,2,2,4,2,5,4,2,5,1,5,4,2,3,4,4,1,2,2,2,4,4,2,5,4,3,4,2,4,22,32,32,38,32,89.78559912384115,94.62417059884316,70.24063836681471,11.2864545014926,34.399379124845744,high,high,high,low,low
1,1,4,4,3,4,2,2,2,3,2,1,4,4,5,4,5,1,2,4,2,4,2,2,4,2,5,4,2,5,2,4,4,2,3,4,4,1,2,2,1,4,4,2,5,4,4,4,2,4,20,32,38,38,32,10.625592781144464,94.62417059884316,31.89952932069128,11.2864545014926,34.399379124845744,low,high,low,low,low
1,5,4,2,4,2,4,1,2,4,2,1,4,2,4,4,5,1,2,4,2,4,2,2,4,2,5,4,2,5,1,5,4,4,3,4,5,1,2,3,2,5,4,2,5,4,4,4,2,4,22,34,37,39,32,89.78559912384115,27.09730031585448,67.33806671847192,39.95918612564645,34.399379124845744,high,low,high,low,low
1,5,4,4,3,2,4,2,2,3,2,1,4,4,4,4,5,1,2,4,2,4,2,2,4,2,5,5,2,5,1,5,4,4,3,4,5,1,2,3,2,4,4,2,5,4,4,2,2,4,22,30,36,35,32,89.78559912384115,26.384928807169217,42.497643648784006,63.65201444637811,34.399379124845744,high,low,low,high,low
1,1,2,2,4,2,5,2,2,3,2,1,4,4,5,2,5,1,2,4,2,4,2,2,4,2,5,2,2,5,1,5,4,2,3,4,4,1,2,2,2,5,3,2,4,4,4,2,2,4,24,34,41,35,32,90.69622914863086,27.09730031585448,17.451969338379914,63.65201444637811,34.399379124845744,high,low,low,high,low
1,1,4,2,3,2,3,2,2,3,2,1,4,4,4,4,4,1,2,4,2,4,4,2,4,2,4,2,2,5,2,4,4,2,3,4,4,1,2,2,2,4,4,2,5,4,4,4,2,4,23,34,37,42,31,82.11605756095736,27.09730031585448,67.33806671847192,10.086562051566911,32.83113751931617,high,low,high,low,low
1,1,4,4,3,4,4,2,2,3,2,1,4,4,4,4,5,1,2,4,2,4,2,2,3,2,5,4,2,5,2,4,4,4,3,4,4,1,2,3,2,4,4,2,4,4,4,4,2,4,21,30,40,38,30,70.36759078969529,26.384928807169217,58.82614806257208,11.2864545014926,23.34368453554028,high,low,high,low,low
1,1,4,2,4,4,4,2,2,3,2,1,4,4,5,4,5,1,2,4,2,4,2,2,4,2,4,5,2,5,1,4,4,2,3,5,4,1,2,3,1,4,4,2,5,4,4,3,2,4,18,34,39,36,34,13.51772458710916,27.09730031585448,61.20948528622405,84.74601143852163,47.69983680359604,low,low,high,high,low
1,1,2,2,3,2,4,2,2,3,2,1,4,2,4,2,5,1,2,4,2,4,2,2,3,2,4,2,2,5,2,5,4,5,3,4,4,1,2,3,1,5,3,2,4,4,4,2,2,4,24,33,39,35,30,90.69622914863086,43.820548958428745,61.20948528622405,63.65201444637811,23.34368453554028,high,low,high,high,low
1,1,4,4,4,2,4,2,2,3,2,1,4,4,5,2,4,1,2,4,2,4,4,2,4,2,5,4,4,5,2,4,4,4,3,4,4,1,2,3,2,4,4,2,5,4,4,2,2,5,25,28,39,38,35,39.38105523169063,96.961119466268,61.20948528622405,11.2864545014926,84.2564222266214,low,high,high,low,high
1,1,4,4,3,2,4,2,2,3,2,1,4,4,4,2,5,1,2,4,2,4,2,2,3,2,5,4,2,5,2,5,4,5,3,4,4,1,4,2,2,5,4,2,4,4,5,2,2,4,25,27,41,36,29,39.38105523169063,98.45903986936408,17.451969338379914,84.74601143852163,74.38180867314527,low,high,low,high,high
1,5,4,2,3,4,4,2,4,3,2,1,4,2,4,4,5,1,2,4,2,4,2,2,3,2,5,2,3,5,1,5,4,3,3,5,4,1,2,2,1,4,4,2,5,4,4,4,2,4,18,36,35,40,30,13.51772458710916,99.6997067980117,69.95048953996736,70.57756950620531,23.34368453554028,low,high,high,high,low
1,2,4,4,4,2,3,2,2,3,2,1,4,4,5,4,4,1,2,4,2,2,2,2,5,2,4,2,2,5,2,4,4,2,3,4,4,1,2,3,2,4,4,2,4,4,4,4,2,5,23,32,38,40,35,82.11605756095736,94.62417059884316,31.89952932069128,70.57756950620531,84.2564222266214,high,high,low,high,high
1,5,4,2,4,4,4,2,3,3,2,1,4,2,4,4,5,1,2,4,2,4,2,2,4,2,5,4,2,5,1,5,4,2,3,5,4,1,3,2,1,4,4,2,5,4,5,4,2,4,18,36,36,38,32,13.51772458710916,99.6997067980117,42.497643648784006,11.2864545014926,34.399379124845744,low,high,low,low,low
