EXT1,AGR1,CSN1,EST1,OPN1,EXT2,AGR2,CSN2,EST2,OPN2,EXT3,AGR3,CSN3,EST3,OPN3,EXT4,AGR4,CSN4,EST4,OPN4,EXT5,AGR5,CSN5,EST5,OPN5,EXT6,AGR6,CSN6,EST6,OPN6,EXT7,AGR7,CSN7,EST7,OPN7,EXT8,AGR8,CSN8,EST8,OPN8,EXT9,AGR9,CSN9,EST9,OPN9,EXT10,AGR10,CSN10,EST10,OPN10,EXT_Score,EST_Score,AGR_Score,CSN_Score,OPN_Score,EXT_position,EST_position,AGR_position,CSN_position,OPN_position,EXT_high_or_low,EST_high_or_low,AGR_high_or_low,CSN_high_or_low,OPN_high_or_low
2,1,2,2,3,2,4,2,2,3,2,1,2,4,5,2,4,2,2,4,2,4,2,2,4,2,4,4,2,5,2,5,2,4,2,4,4,2,4,3,2,4,2,2,5,4,4,2,4,4,26,28,37,26,32,37.74308335820182,96.961119466268,67.33806671847192,16.971441121751216,34.399379124845744,low,high,high,low,low
2,1,2,4,2,2,4,2,2,3,2,1,2,4,5,2,5,2,2,4,2,4,2,5,4,2,5,4,4,5,2,5,2,4,3,2,4,2,4,2,2,5,2,2,4,2,4,2,4,4,30,21,40,26,30,0.3554470862498411,30.98663404708369,58.82614806257208,16.971441121751216,23.34368453554028,low,low,high,low,low
2,1,2,4,2,2,4,2,2,3,2,1,3,4,5,2,5,2,2,4,2,4,2,4,3,2,5,2,4,5,2,5,2,4,2,2,4,2,5,3,2,5,2,2,5,4,5,2,4,4,28,21,41,29,30,17.408831121761065,30.98663404708369,17.451969338379914,17.22022453540239,23.34368453554028,low,low,low,low,low
1,2,2,4,4,2,4,2,2,3,2,1,2,4,5,2,5,2,2,5,2,4,2,2,4,2,4,2,4,5,2,4,2,4,2,4,4,2,2,3,2,4,2,2,5,4,4,2,2,5,25,28,38,28,33,39.38105523169063,96.961119466268,31.89952932069128,55.48786072856311,5.180525557423565,low,high,low,high,low
1,2,2,2,3,2,4,2,2,3,2,1,2,2,5,2,4,2,2,4,2,4,2,2,4,2,5,2,2,5,2,4,2,5,2,4,4,2,4,2,2,4,2,2,5,4,4,2,2,4,25,31,38,28,31,39.38105523169063,57.26086112941366,31.89952932069128,55.48786072856311,32.83113751931617,low,high,low,high,low
1,2,2,4,4,2,4,2,2,3,2,1,2,4,5,2,5,2,2,4,2,4,2,5,4,2,5,2,4,5,2,4,2,4,2,4,4,2,4,3,2,4,2,2,5,4,4,2,4,5,25,21,39,28,34,39.38105523169063,30.98663404708369,61.20948528622405,55.48786072856311,47.69983680359604,low,low,high,high,low
2,2,2,4,3,2,4,2,2,3,2,1,2,4,5,2,4,2,2,5,2,4,2,4,4,2,5,4,4,5,2,4,2,4,2,4,4,2,5,3,2,4,2,2,5,4,4,2,4,5,26,21,38,26,32,37.74308335820182,30.98663404708369,31.89952932069128,16.971441121751216,34.399379124845744,low,low,low,low,low
1,5,2,4,2,2,4,2,2,3,2,1,2,4,5,2,5,2,2,4,2,4,2,2,4,2,5,2,2,5,2,4,2,4,2,2,4,2,4,2,2,4,2,2,5,4,5,2,4,4,27,26,37,28,30,19.23934914477008,65.1757389881823,67.33806671847192,55.48786072856311,23.34368453554028,low,high,high,high,low
1,2,2,4,3,2,4,2,2,3,2,1,2,4,5,2,4,2,2,4,2,4,2,4,4,2,4,4,4,5,2,4,2,4,2,4,4,2,4,2,2,4,2,2,5,4,4,2,4,5,25,22,37,26,32,39.38105523169063,41.11702373882272,67.33806671847192,16.971441121751216,34.399379124845744,low,low,high,low,low
1,4,2,4,3,2,4,2,2,3,2,1,2,5,5,2,5,2,2,5,2,4,2,4,4,2,4,2,2,5,2,4,2,4,3,2,4,2,4,3,2,5,2,2,5,4,4,2,4,5,27,23,37,28,33,19.23934914477008,26.6900479740304,67.33806671847192,55.48786072856311,5.180525557423565,low,low,high,high,low
1,2,2,4,4,2,4,2,2,3,2,1,2,2,5,2,4,2,2,4,2,4,2,2,4,2,4,2,2,5,1,4,2,4,2,2,4,2,4,3,2,4,2,2,5,4,4,2,2,5,26,30,37,28,34,37.74308335820182,26.384928807169217,67.33806671847192,55.48786072856311,47.69983680359604,low,low,high,high,low
1,5,2,4,2,2,4,2,2,3,2,1,2,4,5,4,5,2,2,4,2,4,2,2,4,2,4,2,2,5,2,5,2,4,2,4,4,2,4,3,2,4,2,2,5,4,4,2,4,5,23,26,34,28,32,82.11605756095736,65.1757389881823,63.54239610140829,55.48786072856311,34.399379124845744,high,high,high,high,low
1,2,2,4,2,2,4,2,2,3,2,1,2,4,5,2,5,2,2,4,2,4,2,4,4,2,5,2,2,5,1,4,2,4,2,4,4,2,4,3,1,4,2,2,5,4,4,2,2,5,23,26,39,28,32,82.11605756095736,65.1757389881823,61.20948528622405,55.48786072856311,34.399379124845744,high,high,high,high,low
1,2,2,4,3,2,2,2,2,2,2,1,2,4,5,4,4,2,2,4,2,4,2,2,4,2,4,4,2,5,1,4,2,4,2,2,4,2,4,2,2,4,2,2,5,4,4,2,4,5,24,26,35,26,33,90.69622914863086,65.1757389881823,69.95048953996736,16.971441121751216,5.180525557423565,high,high,high,low,low
1,5,2,2,3,2,4,2,2,2,2,1,2,2,5,2,5,2,2,4,2,4,2,2,4,2,4,2,2,5,2,4,2,2,2,4,4,2,4,2,2,4,2,2,5,4,4,2,4,4,25,32,35,28,32,39.38105523169063,94.62417059884316,69.95048953996736,55.48786072856311,34.399379124845744,low,high,high,high,low
1,4,2,4,4,2,4,2,2,3,2,1,2,4,5,2,5,2,2,4,2,4,2,4,4,2,5,4,4,5,2,4,2,4,2,2,4,2,4,3,2,4,2,2,5,4,4,2,4,5,27,22,37,26,34,19.23934914477008,41.11702373882272,67.33806671847192,16.971441121751216,47.69983680359604,low,low,high,low,low
1,1,2,4,2,2,5,2,2,3,4,1,2,5,4,2,5,2,2,4,2,4,2,5,2,2,4,2,2,5,2,5,2,4,2,3,4,2,4,2,2,5,2,2,5,4,4,2,4,4,28,22,40,28,27,17.408831121761065,41.11702373882272,58.82614806257208,55.48786072856311,23.922307874891292,low,low,high,high,low
2,1,2,4,3,2,4,2,2,3,2,1,2,4,5,2,4,2,2,5,2,4,2,2,4,2,5,2,2,5,2,5,2,2,3,4,4,2,5,2,2,4,2,2,4,4,4,2,2,5,26,29,38,28,31,37.74308335820182,57.0615192334398,31.89952932069128,55.48786072856311,32.83113751931617,low,high,low,high,low
2,2,2,4,2,2,4,2,2,3,2,1,2,4,5,2,5,2,2,4,2,4,2,4,4,2,4,4,4,5,2,5,2,5,2,4,4,2,4,3,2,5,2,4,4,4,4,2,4,4,26,19,38,26,30,37.74308335820182,8.820583429606408,31.89952932069128,16.971441121751216,23.34368453554028,low,low,low,low,low
1,2,2,4,4,2,4,2,2,3,2,1,2,2,5,4,5,2,2,4,2,4,2,5,4,2,5,2,4,5,2,4,2,4,3,4,4,2,2,3,2,4,2,2,5,4,4,2,5,5,23,24,39,28,35,82.11605756095736,55.88683998774796,61.20948528622405,55.48786072856311,84.2564222266214,high,high,high,high,high
