EXT1,AGR1,CSN1,EST1,OPN1,EXT2,AGR2,CSN2,EST2,OPN2,EXT3,AGR3,CSN3,EST3,OPN3,EXT4,AGR4,CSN4,EST4,OPN4,EXT5,AGR5,CSN5,EST5,OPN5,EXT6,AGR6,CSN6,EST6,OPN6,EXT7,AGR7,CSN7,EST7,OPN7,EXT8,AGR8,CSN8,EST8,OPN8,EXT9,AGR9,CSN9,EST9,OPN9,EXT10,AGR10,CSN10,EST10,OPN10,EXT_Score,EST_Score,AGR_Score,CSN_Score,OPN_Score,EXT_position,EST_position,AGR_position,CSN_position,OPN_position,EXT_high_or_low,EST_high_or_low,AGR_high_or_low,CSN_high_or_low,OPN_high_or_low
1,2,2,4,2,4,4,2,2,3,2,1,2,4,2,4,5,2,2,2,2,4,2,4,2,2,4,2,4,4,1,4,2,4,2,4,4,2,4,2,1,4,2,4,4,4,4,2,4,2,19,20,38,28,25,96.9716577977251,71.25704566249172,31.89952932069128,55.48786072856311,15.370796609217988,high,high,low,high,low
1,1,2,4,2,2,4,2,2,3,2,1,2,4,2,4,5,2,2,2,2,4,2,2,2,2,5,2,4,3,2,5,2,4,3,4,5,2,4,2,2,5,2,2,4,4,4,2,4,2,23,24,41,28,27,82.11605756095736,55.88683998774796,17.451969338379914,55.48786072856311,23.922307874891292,high,high,low,high,low
1,2,2,4,2,4,4,2,2,3,2,1,2,4,2,4,5,2,2,2,2,4,2,2,2,4,5,2,4,3,1,4,2,4,2,5,4,2,4,2,2,4,2,2,5,4,4,2,4,2,17,24,39,28,27,56.8825645768269,55.88683998774796,61.20948528622405,55.48786072856311,23.922307874891292,high,high,high,high,low
1,1,2,2,2,2,4,2,2,3,2,1,2,4,3,5,5,2,2,3,2,4,2,2,2,2,5,2,2,5,1,4,2,2,2,4,5,2,2,2,1,5,2,2,5,4,4,2,2,2,20,34,42,28,25,10.625592781144464,27.09730031585448,16.87236110823851,55.48786072856311,15.370796609217988,low,low,low,high,low
1,5,2,4,2,2,5,2,2,3,2,1,2,4,2,4,5,4,2,3,2,5,2,2,2,2,5,4,4,3,1,5,2,5,2,4,4,2,5,2,1,5,2,4,5,4,4,2,4,2,21,20,36,24,26,70.36759078969529,71.25704566249172,42.497643648784006,75.94729258446176,99.19879134202203,high,high,low,high,high
1,2,2,4,2,4,4,2,2,3,4,1,2,4,3,4,5,2,2,3,2,4,2,4,2,2,5,2,4,3,1,4,2,2,3,4,4,2,2,2,2,4,2,2,3,3,5,2,2,3,23,28,40,28,27,82.11605756095736,96.961119466268,58.82614806257208,55.48786072856311,23.922307874891292,high,high,high,high,low
1,5,2,4,2,4,5,2,2,3,2,1,3,4,3,4,5,2,2,3,2,4,2,5,3,2,5,2,2,3,1,4,4,2,2,5,4,2,2,2,1,5,2,3,5,4,4,2,2,2,18,28,38,31,28,13.51772458710916,96.961119466268,31.89952932069128,85.8815905198352,76.34765069075316,low,high,low,high,high
1,5,2,4,2,4,4,2,2,2,2,1,2,4,3,4,5,2,2,2,2,4,2,4,2,2,5,4,4,3,1,4,2,4,2,4,4,2,4,2,2,4,2,2,4,4,4,2,4,2,20,22,36,26,28,10.625592781144464,41.11702373882272,42.497643648784006,16.971441121751216,76.34765069075316,low,low,low,low,high
1,1,2,4,2,2,5,2,2,3,5,1,2,4,2,4,5,2,2,2,2,4,2,4,2,2,5,2,2,3,2,5,2,5,2,4,4,2,4,2,2,5,2,2,5,4,5,2,4,2,26,23,42,28,27,37.74308335820182,26.6900479740304,16.87236110823851,55.48786072856311,23.922307874891292,low,low,low,high,low
2,1,2,2,2,2,5,2,2,2,4,1,2,2,2,2,5,2,2,2,4,4,2,2,2,2,5,2,2,4,2,5,2,4,2,5,4,2,4,2,2,4,2,2,5,3,5,2,2,2,30,32,41,28,27,0.3554470862498411,94.62417059884316,17.451969338379914,55.48786072856311,23.922307874891292,low,high,low,high,low
1,1,2,4,2,2,5,2,2,3,4,1,2,4,3,2,5,2,2,2,2,4,2,2,2,2,5,2,4,5,2,2,2,4,2,4,4,2,4,2,2,5,2,2,4,2,5,2,4,2,29,24,45,28,25,1.4695555483330232,55.88683998774796,22.080660585950927,55.48786072856311,15.370796609217988,low,high,low,high,low
1,2,2,4,2,2,4,2,2,3,2,1,2,4,3,4,5,2,2,3,2,4,2,2,2,2,5,2,2,3,2,5,2,4,2,4,4,2,4,2,2,4,2,2,4,4,4,2,4,2,23,26,38,28,26,82.11605756095736,65.1757389881823,31.89952932069128,55.48786072856311,99.19879134202203,high,high,low,high,high
1,4,2,4,2,4,4,2,2,3,2,1,2,4,2,4,5,2,2,2,2,4,2,4,2,2,5,2,4,5,1,5,2,4,2,4,4,2,4,3,1,4,2,2,4,4,4,2,4,2,19,22,36,28,25,96.9716577977251,41.11702373882272,42.497643648784006,55.48786072856311,15.370796609217988,high,low,low,high,low
1,5,2,4,2,4,4,2,2,3,2,1,3,4,3,4,5,2,2,3,2,4,2,4,2,4,5,2,4,3,1,4,4,2,2,4,4,2,4,3,1,4,2,4,4,4,4,2,4,2,17,22,36,31,27,56.8825645768269,41.11702373882272,42.497643648784006,85.8815905198352,23.922307874891292,high,low,low,high,low
1,5,2,5,2,4,4,2,2,3,2,1,3,5,3,4,5,2,2,2,2,4,2,4,2,3,5,2,5,5,2,4,4,5,2,5,4,2,4,2,1,4,4,2,5,4,4,2,5,2,18,17,36,33,26,13.51772458710916,86.45115286391469,42.497643648784006,73.79648807641964,99.19879134202203,low,high,low,high,high
