EXT1,AGR1,CSN1,EST1,OPN1,EXT2,AGR2,CSN2,EST2,OPN2,EXT3,AGR3,CSN3,EST3,OPN3,EXT4,AGR4,CSN4,EST4,OPN4,EXT5,AGR5,CSN5,EST5,OPN5,EXT6,AGR6,CSN6,EST6,OPN6,EXT7,AGR7,CSN7,EST7,OPN7,EXT8,AGR8,CSN8,EST8,OPN8,EXT9,AGR9,CSN9,EST9,OPN9,EXT10,AGR10,CSN10,EST10,OPN10,EXT_Score,EST_Score,AGR_Score,CSN_Score,OPN_Score,EXT_position,EST_position,AGR_position,CSN_position,OPN_position,EXT_high_or_low,EST_high_or_low,AGR_high_or_low,CSN_high_or_low,OPN_high_or_low
5,2,2,2,2,2,4,2,4,2,5,2,2,2,2,2,4,2,4,2,5,2,2,2,2,2,4,2,2,2,5,2,2,2,2,2,4,4,2,2,5,5,2,2,2,2,4,2,3,2,45,39,41,26,26,18.86341633008024,58.10382915690394,17.451969338379914,16.971441121751216,99.19879134202203,low,high,low,low,high
5,2,2,2,2,2,4,4,4,2,5,2,2,2,2,2,4,2,5,2,5,2,2,2,2,2,4,2,2,2,5,2,2,2,2,2,4,4,2,2,5,4,2,2,2,2,4,2,2,2,45,41,40,24,26,18.86341633008024,80.03094526863389,58.82614806257208,75.94729258446176,99.19879134202203,low,high,high,high,high
5,2,2,2,2,2,4,2,4,2,5,2,2,2,2,2,4,2,5,2,5,2,2,2,2,2,4,2,2,2,5,2,2,2,2,2,4,4,2,2,5,4,2,2,2,2,4,2,2,2,45,41,40,26,26,18.86341633008024,80.03094526863389,58.82614806257208,16.971441121751216,99.19879134202203,low,high,high,low,high
5,2,2,2,2,2,4,2,4,2,5,2,2,2,2,2,4,2,4,2,5,2,2,2,2,2,4,2,2,2,5,2,2,2,2,2,4,4,2,2,5,4,2,2,2,2,4,2,2,2,45,40,40,26,26,18.86341633008024,78.62373330733222,58.82614806257208,16.971441121751216,99.19879134202203,low,high,high,low,high
5,2,2,2,2,2,4,4,4,2,5,2,2,2,2,2,4,2,4,2,5,2,2,2,2,2,4,2,2,2,5,2,2,2,2,2,4,4,2,2,5,4,2,2,2,2,4,2,2,2,45,40,40,24,26,18.86341633008024,78.62373330733222,58.82614806257208,75.94729258446176,99.19879134202203,low,high,high,high,high
5,2,2,2,2,2,4,4,4,2,5,2,2,2,2,2,4,2,3,2,5,2,2,2,2,2,4,2,2,2,5,2,2,2,2,2,4,4,2,2,5,4,2,2,2,2,4,2,3,2,45,38,40,24,26,18.86341633008024,3.351090914283969,58.82614806257208,75.94729258446176,99.19879134202203,low,low,high,high,high
5,2,2,2,2,2,4,4,4,2,5,2,2,2,2,2,4,2,4,2,5,2,2,2,2,2,4,2,2,2,5,2,2,2,2,2,4,4,2,2,5,4,2,2,2,2,4,2,3,2,45,39,40,24,26,18.86341633008024,58.10382915690394,58.82614806257208,75.94729258446176,99.19879134202203,low,high,high,high,high
5,2,2,2,2,2,4,2,4,2,5,2,2,2,2,2,4,2,5,2,5,2,2,2,2,2,4,2,2,2,5,2,2,2,2,2,4,4,2,2,5,5,2,2,2,2,4,2,3,2,45,40,41,26,26,18.86341633008024,78.62373330733222,17.451969338379914,16.971441121751216,99.19879134202203,low,high,low,low,high
5,2,2,2,2,2,4,4,4,2,5,2,2,2,2,2,4,2,4,2,5,2,2,2,2,2,4,2,2,2,5,2,2,2,2,2,4,4,2,2,5,4,2,2,2,2,4,2,2,2,45,40,40,24,26,18.86341633008024,78.62373330733222,58.82614806257208,75.94729258446176,99.19879134202203,low,high,high,high,high
5,2,2,2,2,2,4,2,4,2,4,2,2,2,2,2,4,2,5,2,5,2,2,2,2,2,4,2,2,2,5,2,2,2,2,2,4,4,2,2,5,4,2,2,2,2,4,2,2,2,44,41,40,26,26,89.69705744178556,80.03094526863389,58.82614806257208,16.971441121751216,99.19879134202203,high,high,high,low,high
