EXT1,AGR1,CSN1,EST1,OPN1,EXT2,AGR2,CSN2,EST2,OPN2,EXT3,AGR3,CSN3,EST3,OPN3,EXT4,AGR4,CSN4,EST4,OPN4,EXT5,AGR5,CSN5,EST5,OPN5,EXT6,AGR6,CSN6,EST6,OPN6,EXT7,AGR7,CSN7,EST7,OPN7,EXT8,AGR8,CSN8,EST8,OPN8,EXT9,AGR9,CSN9,EST9,OPN9,EXT10,AGR10,CSN10,EST10,OPN10,EXT_Score,EST_Score,AGR_Score,CSN_Score,OPN_Score,EXT_position,EST_position,AGR_position,CSN_position,OPN_position,EXT_high_or_low,EST_high_or_low,AGR_high_or_low,CSN_high_or_low,OPN_high_or_low
5,2,4,2,2,2,4,2,2,2,4,2,2,2,2,2,4,2,2,2,5,2,4,2,2,2,4,2,2,5,5,4,4,2,2,2,4,1,2,2,5,5,4,5,2,2,4,4,2,2,44,33,39,39,23,89.69705744178556,43.820548958428745,61.20948528622405,39.95918612564645,47.45568237665967,high,low,high,low,low
5,2,4,2,2,2,4,2,2,2,5,2,3,2,2,2,4,2,2,2,5,2,4,2,2,2,4,4,2,2,5,4,4,2,3,2,4,2,5,2,5,4,4,5,2,2,4,4,2,2,45,30,38,37,27,18.86341633008024,26.384928807169217,31.89952932069128,38.44590142622035,23.922307874891292,low,low,low,low,low
5,2,4,2,2,2,4,2,2,2,5,2,2,2,2,2,4,2,2,2,5,2,4,2,2,2,4,2,2,2,5,4,4,2,2,2,4,2,5,2,5,4,4,2,2,2,4,4,2,2,45,33,38,38,26,18.86341633008024,43.820548958428745,31.89952932069128,11.2864545014926,99.19879134202203,low,low,low,low,high
5,2,4,2,2,2,4,2,2,2,4,2,2,2,2,2,4,2,2,2,5,2,4,2,2,2,4,2,2,2,5,4,4,2,2,2,4,2,2,2,5,5,4,2,2,2,4,4,2,2,44,36,39,38,26,89.69705744178556,99.6997067980117,61.20948528622405,11.2864545014926,99.19879134202203,high,high,high,low,high
5,2,4,2,2,2,4,2,2,2,4,2,2,2,2,2,4,2,2,2,5,2,4,2,2,2,4,4,2,2,5,4,4,2,2,2,4,1,2,2,5,5,4,5,2,2,4,4,2,2,44,33,39,37,26,89.69705744178556,43.820548958428745,61.20948528622405,38.44590142622035,99.19879134202203,high,low,high,low,high
5,2,4,2,2,2,4,2,2,2,5,2,3,2,2,2,4,2,2,2,5,2,4,2,2,2,4,4,2,2,5,4,4,2,2,2,4,2,2,2,5,4,4,5,2,2,4,4,2,2,45,33,38,37,26,18.86341633008024,43.820548958428745,31.89952932069128,38.44590142622035,99.19879134202203,low,low,low,low,high
5,2,4,2,2,2,4,2,2,2,4,2,3,2,2,2,4,2,2,2,5,2,4,2,2,2,4,4,2,2,5,4,4,2,4,2,4,1,2,2,5,4,4,5,2,2,4,4,2,2,44,33,38,38,28,89.69705744178556,43.820548958428745,31.89952932069128,11.2864545014926,76.34765069075316,high,low,low,low,high
5,2,4,2,2,2,4,2,2,2,5,2,2,2,2,2,4,2,2,2,5,2,4,2,2,2,4,4,2,2,5,4,4,2,2,2,4,2,2,2,5,5,4,5,2,2,4,4,2,2,45,33,39,36,26,18.86341633008024,43.820548958428745,61.20948528622405,84.74601143852163,99.19879134202203,low,low,high,high,high
5,2,4,2,2,2,4,2,2,2,5,2,3,2,2,2,4,2,2,2,5,2,4,2,2,2,4,4,2,2,5,4,4,2,2,2,4,2,2,2,5,4,4,2,2,2,4,4,2,2,45,36,38,37,26,18.86341633008024,99.6997067980117,31.89952932069128,38.44590142622035,99.19879134202203,low,high,low,low,high
5,2,4,2,2,2,4,2,2,2,4,2,2,2,2,2,4,2,2,2,5,2,4,2,2,2,4,4,2,2,5,4,4,2,2,2,4,2,2,2,5,5,4,5,2,2,4,4,2,2,44,33,39,36,26,89.69705744178556,43.820548958428745,61.20948528622405,84.74601143852163,99.19879134202203,high,low,high,high,high
5,2,4,2,2,2,4,2,2,2,5,2,2,2,2,2,4,2,2,2,5,2,4,2,2,2,4,2,2,2,5,4,4,2,4,2,4,1,2,2,5,4,4,5,2,2,4,4,2,2,45,33,38,39,28,18.86341633008024,43.820548958428745,31.89952932069128,39.95918612564645,76.34765069075316,low,low,low,low,high
5,2,4,2,2,2,4,2,2,2,4,2,3,2,2,2,4,2,2,2,5,2,4,2,2,2,4,4,2,2,5,4,4,2,2,2,4,2,2,2,5,5,4,5,2,2,4,4,2,2,44,33,39,37,26,89.69705744178556,43.820548958428745,61.20948528622405,38.44590142622035,99.19879134202203,high,low,high,low,high
5,2,4,2,2,2,4,2,2,2,5,2,3,2,2,2,4,2,2,2,5,2,4,2,2,2,4,4,2,3,5,4,4,2,2,2,4,2,5,2,5,4,4,2,2,2,4,4,2,2,45,33,38,37,25,18.86341633008024,43.820548958428745,31.89952932069128,38.44590142622035,15.370796609217988,low,low,low,low,low
5,2,4,2,2,2,4,2,2,2,4,2,2,2,2,2,4,2,2,2,5,2,4,2,2,2,4,4,2,2,5,4,4,2,2,2,4,2,2,2,5,5,4,5,2,2,4,4,2,2,44,33,39,36,26,89.69705744178556,43.820548958428745,61.20948528622405,84.74601143852163,99.19879134202203,high,low,high,high,high
5,2,4,2,2,2,4,2,2,2,5,2,2,2,2,2,4,2,2,2,5,2,4,2,2,2,4,4,2,2,5,2,4,2,3,2,4,2,5,2,5,4,4,5,2,2,4,4,2,2,45,30,40,36,27,18.86341633008024,26.384928807169217,58.82614806257208,84.74601143852163,23.922307874891292,low,low,high,high,low
5,2,4,2,2,2,4,2,2,2,5,2,2,2,2,2,4,2,2,2,5,2,4,2,2,2,4,2,2,2,5,2,4,2,2,2,4,1,5,2,5,4,4,2,2,2,4,4,2,2,45,33,40,39,26,18.86341633008024,43.820548958428745,58.82614806257208,39.95918612564645,99.19879134202203,low,low,high,low,high
5,2,4,2,2,2,4,2,2,2,5,2,2,2,2,2,4,2,2,2,5,2,4,2,2,2,4,2,2,5,5,4,4,2,2,2,4,1,5,2,5,4,4,5,2,2,4,4,2,2,45,30,38,39,23,18.86341633008024,26.384928807169217,31.89952932069128,39.95918612564645,47.45568237665967,low,low,low,low,low
5,2,4,2,2,2,4,2,2,2,5,2,2,2,2,2,4,2,2,2,5,2,4,2,2,2,4,2,2,2,5,4,4,2,2,2,4,2,2,2,5,4,4,5,2,2,4,4,2,2,45,33,38,38,26,18.86341633008024,43.820548958428745,31.89952932069128,11.2864545014926,99.19879134202203,low,low,low,low,high
5,2,4,2,2,2,4,2,2,2,4,2,2,2,2,2,4,2,2,2,5,2,4,2,2,2,4,4,2,3,5,4,4,2,2,2,4,2,2,2,5,4,4,2,2,2,4,4,2,2,44,36,38,36,25,89.69705744178556,99.6997067980117,31.89952932069128,84.74601143852163,15.370796609217988,high,high,low,high,low
5,2,4,2,2,2,4,2,2,2,5,2,2,2,2,2,4,2,2,2,5,2,4,2,2,2,4,2,2,2,5,4,4,2,2,2,4,2,2,2,5,4,4,5,2,2,4,4,2,2,45,33,38,38,26,18.86341633008024,43.820548958428745,31.89952932069128,11.2864545014926,99.19879134202203,low,low,low,low,high
