EXT1,AGR1,CSN1,EST1,OPN1,EXT2,AGR2,CSN2,EST2,OPN2,EXT3,AGR3,CSN3,EST3,OPN3,EXT4,AGR4,CSN4,EST4,OPN4,EXT5,AGR5,CSN5,EST5,OPN5,EXT6,AGR6,CSN6,EST6,OPN6,EXT7,AGR7,CSN7,EST7,OPN7,EXT8,AGR8,CSN8,EST8,OPN8,EXT9,AGR9,CSN9,EST9,OPN9,EXT10,AGR10,CSN10,EST10,OPN10,EXT_Score,EST_Score,AGR_Score,CSN_Score,OPN_Score,EXT_position,EST_position,AGR_position,CSN_position,OPN_position,EXT_high_or_low,EST_high_or_low,AGR_high_or_low,CSN_high_or_low,OPN_high_or_low
5,2,4,2,5,2,2,2,2,5,5,2,5,2,5,2,2,2,2,4,5,2,4,2,5,2,2,2,2,5,5,2,4,5,5,2,2,1,5,4,5,2,4,2,5,2,2,4,2,5,45,30,28,42,38,18.86341633008024,26.384928807169217,16.684345456354073,10.086562051566911,30.8161494512681,low,low,low,low,low
5,2,4,2,5,2,2,2,2,4,5,2,4,2,5,2,2,2,2,5,5,2,4,2,5,2,2,2,2,5,5,2,4,2,5,2,2,2,5,5,5,2,4,2,5,2,2,4,2,5,45,33,28,40,39,18.86341633008024,43.820548958428745,16.684345456354073,70.57756950620531,71.01555044068938,low,low,low,high,high
5,4,4,2,5,2,2,2,2,5,2,2,4,2,5,2,2,2,2,5,5,2,4,2,5,2,2,1,2,5,5,2,4,5,5,2,2,2,2,5,5,2,4,2,5,2,2,4,2,5,42,33,26,41,38,31.687186866284332,43.820548958428745,30.776359863336555,91.30045964853188,30.8161494512681,low,low,low,high,low
5,2,4,2,5,2,2,2,2,5,5,2,4,2,5,2,2,2,2,5,5,2,4,2,5,2,2,1,2,5,5,2,4,5,5,2,2,2,5,4,5,2,4,2,4,2,2,4,2,5,45,30,28,41,36,18.86341633008024,26.384928807169217,16.684345456354073,91.30045964853188,47.73568682836604,low,low,low,high,low
5,2,4,2,5,2,2,2,2,4,2,2,4,2,5,2,2,2,2,5,5,2,4,2,5,2,2,2,2,5,5,2,4,5,5,2,2,1,5,5,5,2,4,2,4,2,2,4,2,5,42,30,28,41,38,31.687186866284332,26.384928807169217,16.684345456354073,91.30045964853188,30.8161494512681,low,low,low,high,low
5,2,4,2,5,2,2,2,2,5,2,2,4,2,5,2,2,2,2,5,5,2,4,2,5,2,2,1,2,5,5,2,4,5,5,2,2,1,5,5,5,2,4,2,5,2,2,4,2,5,42,30,28,42,38,31.687186866284332,26.384928807169217,16.684345456354073,10.086562051566911,30.8161494512681,low,low,low,low,low
5,2,4,2,5,2,2,2,2,4,4,2,4,2,5,2,2,2,2,5,5,2,4,2,5,2,2,2,2,5,5,2,4,5,4,2,2,1,5,5,5,2,4,2,4,2,2,4,2,5,44,30,28,41,37,89.69705744178556,26.384928807169217,16.684345456354073,91.30045964853188,79.89197717811061,high,low,low,high,high
5,4,4,2,5,2,2,2,2,4,2,2,4,2,5,2,2,2,2,5,5,2,4,2,5,2,2,2,2,5,5,2,4,5,4,2,2,2,5,5,5,2,4,2,4,2,2,4,2,5,42,30,26,40,37,31.687186866284332,26.384928807169217,30.776359863336555,70.57756950620531,79.89197717811061,low,low,low,high,high
5,2,4,2,5,2,2,2,2,5,5,2,4,2,5,2,2,2,2,5,5,2,4,2,5,2,2,2,2,5,5,2,4,5,4,2,2,2,5,5,5,2,4,2,4,2,2,4,2,5,45,30,28,40,36,18.86341633008024,26.384928807169217,16.684345456354073,70.57756950620531,47.73568682836604,low,low,low,high,low
5,4,4,2,5,2,2,2,2,4,5,2,4,2,5,2,2,2,2,5,5,2,4,2,5,2,2,2,2,5,5,2,4,4,5,2,2,2,5,5,5,2,4,2,5,2,2,4,2,5,45,31,26,40,39,18.86341633008024,57.26086112941366,30.776359863336555,70.57756950620531,71.01555044068938,low,high,low,high,high
5,2,4,2,5,2,2,2,2,5,2,2,5,2,5,2,2,2,2,5,5,2,4,2,5,2,2,2,2,5,5,2,4,5,5,2,2,1,2,5,5,2,4,2,4,2,2,4,2,5,42,33,28,42,37,31.687186866284332,43.820548958428745,16.684345456354073,10.086562051566911,79.89197717811061,low,low,low,low,high
5,2,4,2,5,2,2,2,2,4,5,2,4,2,5,2,2,2,2,5,5,2,4,2,5,2,2,2,2,5,5,2,4,5,5,2,2,2,5,5,5,2,4,2,5,2,2,4,2,5,45,30,28,40,39,18.86341633008024,26.384928807169217,16.684345456354073,70.57756950620531,71.01555044068938,low,low,low,high,high
5,2,4,2,5,2,2,2,2,5,2,2,5,2,5,2,2,2,2,5,5,2,4,2,5,2,2,2,2,5,5,2,4,5,5,2,2,1,2,4,5,2,4,2,5,2,2,4,2,5,42,33,28,42,37,31.687186866284332,43.820548958428745,16.684345456354073,10.086562051566911,79.89197717811061,low,low,low,low,high
5,2,4,2,5,2,2,2,2,4,5,2,4,2,5,2,2,2,2,4,5,2,4,2,5,2,2,2,2,5,5,2,4,5,5,2,2,2,5,5,5,2,4,2,5,2,2,4,2,5,45,30,28,40,40,18.86341633008024,26.384928807169217,16.684345456354073,70.57756950620531,26.276393842068824,low,low,low,high,low
5,2,4,2,5,2,2,2,2,5,2,2,5,2,5,2,2,2,2,5,5,2,4,2,5,2,2,2,2,5,5,2,4,5,5,2,2,1,2,5,5,2,4,2,5,2,2,4,2,5,42,33,28,42,38,31.687186866284332,43.820548958428745,16.684345456354073,10.086562051566911,30.8161494512681,low,low,low,low,low
5,2,4,2,5,2,2,2,2,5,5,2,4,2,5,2,2,2,2,5,5,2,4,2,5,2,2,1,2,5,5,2,4,5,5,2,2,2,2,5,5,2,4,2,5,2,2,4,2,5,45,33,28,41,38,18.86341633008024,43.820548958428745,16.684345456354073,91.30045964853188,30.8161494512681,low,low,low,high,low
5,4,4,2,5,2,2,2,2,4,5,2,4,2,5,2,2,2,2,5,5,2,4,2,5,2,2,2,2,5,5,2,4,5,5,2,2,2,4,5,5,2,4,2,5,2,2,4,2,5,45,31,26,40,39,18.86341633008024,57.26086112941366,30.776359863336555,70.57756950620531,71.01555044068938,low,high,low,high,high
5,2,4,2,5,2,2,2,2,4,4,2,4,2,5,2,2,2,2,4,5,2,4,2,5,2,2,2,2,5,5,2,4,5,5,2,2,2,5,5,5,2,4,2,5,2,2,4,2,5,44,30,28,40,40,89.69705744178556,26.384928807169217,16.684345456354073,70.57756950620531,26.276393842068824,high,low,low,high,low
5,2,4,2,5,2,2,2,2,5,5,2,4,2,5,2,2,2,2,5,5,2,4,2,5,2,2,2,2,5,5,2,4,5,4,2,2,2,5,5,5,2,4,2,4,2,2,4,2,5,45,30,28,40,36,18.86341633008024,26.384928807169217,16.684345456354073,70.57756950620531,47.73568682836604,low,low,low,high,low
5,2,4,2,5,2,2,2,2,4,4,2,4,2,5,2,2,2,2,5,5,2,4,2,5,2,2,2,2,5,5,2,4,5,5,2,2,2,5,4,5,2,4,2,4,2,2,4,2,5,44,30,28,40,37,89.69705744178556,26.384928807169217,16.684345456354073,70.57756950620531,79.89197717811061,high,low,low,high,high
