EXT1,AGR1,CSN1,EST1,OPN1,EXT2,AGR2,CSN2,EST2,OPN2,EXT3,AGR3,CSN3,EST3,OPN3,EXT4,AGR4,CSN4,EST4,OPN4,EXT5,AGR5,CSN5,EST5,OPN5,EXT6,AGR6,CSN6,EST6,OPN6,EXT7,AGR7,CSN7,EST7,OPN7,EXT8,AGR8,CSN8,EST8,OPN8,EXT9,AGR9,CSN9,EST9,OPN9,EXT10,AGR10,CSN10,EST10,OPN10,EXT_Score,EST_Score,AGR_Score,CSN_Score,OPN_Score,EXT_position,EST_position,AGR_position,CSN_position,OPN_position,EXT_high_or_low,EST_high_or_low,AGR_high_or_low,CSN_high_or_low,OPN_high_or_low
1,2,4,2,2,2,4,2,2,5,2,2,4,2,2,4,4,2,2,2,2,2,4,2,2,2,4,4,2,3,2,4,4,2,2,4,4,2,2,2,1,4,4,2,2,4,4,4,2,2,22,36,38,38,22,89.78559912384115,99.6997067980117,31.89952932069128,11.2864545014926,57.77605750186391,high,high,low,low,high
1,2,4,2,2,2,4,2,2,5,2,2,4,2,2,4,4,2,2,2,2,2,4,2,2,2,4,4,2,2,2,4,4,2,2,4,4,2,2,2,1,4,4,2,2,4,4,4,2,2,22,36,38,38,23,89.78559912384115,99.6997067980117,31.89952932069128,11.2864545014926,47.45568237665967,high,high,low,low,low
1,2,4,2,2,2,4,2,2,2,2,1,4,2,2,4,4,2,2,2,2,2,4,2,2,2,4,4,2,2,2,4,4,2,2,4,4,2,2,2,1,4,4,2,2,2,4,4,2,2,24,36,39,38,26,90.69622914863086,99.6997067980117,61.20948528622405,11.2864545014926,99.19879134202203,high,high,high,low,high
1,2,4,2,2,2,4,2,2,4,2,2,4,2,2,4,4,2,2,2,2,2,4,2,2,2,4,4,2,2,2,4,4,2,2,4,4,2,2,2,2,4,4,2,2,4,4,4,2,2,23,36,38,38,24,82.11605756095736,99.6997067980117,31.89952932069128,11.2864545014926,96.41095947075908,high,high,low,low,high
1,2,4,2,2,2,4,2,2,4,2,1,4,2,2,4,4,2,2,2,2,2,4,2,2,2,4,4,2,2,2,4,4,2,2,4,4,2,2,2,2,4,4,2,2,4,4,4,2,2,23,36,39,38,24,82.11605756095736,99.6997067980117,61.20948528622405,11.2864545014926,96.41095947075908,high,high,high,low,high
1,2,4,2,2,2,4,2,2,2,2,2,4,2,2,4,4,2,2,2,2,2,4,2,2,2,4,4,2,2,2,4,4,2,2,4,4,2,2,2,1,4,4,2,2,4,4,4,2,2,22,36,38,38,26,89.78559912384115,99.6997067980117,31.89952932069128,11.2864545014926,99.19879134202203,high,high,low,low,high
1,2,4,2,2,2,4,2,2,2,2,2,4,2,2,4,4,2,2,2,2,2,4,2,2,2,4,4,2,5,2,4,4,2,2,4,4,2,2,2,2,4,4,2,2,4,4,4,2,2,23,36,38,38,23,82.11605756095736,99.6997067980117,31.89952932069128,11.2864545014926,47.45568237665967,high,high,low,low,low
1,2,4,2,2,2,4,2,2,2,2,1,4,2,2,4,4,2,2,2,2,2,4,2,2,2,4,4,2,2,2,4,4,2,2,4,4,2,2,2,1,4,4,2,2,2,4,4,2,2,24,36,39,38,26,90.69622914863086,99.6997067980117,61.20948528622405,11.2864545014926,99.19879134202203,high,high,high,low,high
1,2,4,2,2,2,4,2,2,2,2,2,4,2,2,4,4,2,2,2,2,2,4,2,2,2,4,4,2,2,2,4,4,2,2,4,4,2,2,2,1,4,4,2,2,4,4,4,2,2,22,36,38,38,26,89.78559912384115,99.6997067980117,31.89952932069128,11.2864545014926,99.19879134202203,high,high,low,low,high
1,2,4,2,2,2,4,2,2,5,2,2,4,2,2,4,4,2,2,2,2,2,4,2,2,2,4,4,2,2,2,4,4,2,2,4,4,2,2,2,2,4,4,2,2,4,4,4,2,2,23,36,38,38,23,82.11605756095736,99.6997067980117,31.89952932069128,11.2864545014926,47.45568237665967,high,high,low,low,low
1,2,4,2,2,2,4,2,2,2,2,2,4,2,2,4,4,2,2,2,2,2,4,2,2,2,4,4,2,5,2,4,4,2,2,4,4,2,2,2,1,4,4,2,2,4,4,4,2,2,22,36,38,38,23,89.78559912384115,99.6997067980117,31.89952932069128,11.2864545014926,47.45568237665967,high,high,low,low,low
1,2,4,2,2,2,4,2,2,4,2,2,4,2,2,4,4,2,2,2,2,2,4,2,2,2,4,4,2,3,2,4,4,2,2,4,4,2,2,2,1,4,4,2,2,2,4,4,2,2,24,36,38,38,23,90.69622914863086,99.6997067980117,31.89952932069128,11.2864545014926,47.45568237665967,high,high,low,low,low
1,2,4,2,2,2,4,2,2,5,2,1,4,2,2,4,4,2,2,2,2,2,4,2,2,2,4,4,2,2,2,2,4,2,2,4,4,2,2,2,2,4,4,2,2,4,4,4,2,2,23,36,41,38,23,82.11605756095736,99.6997067980117,17.451969338379914,11.2864545014926,47.45568237665967,high,high,low,low,low
1,2,4,2,2,2,4,2,2,2,2,1,4,2,2,4,4,2,2,2,2,2,4,2,2,2,4,4,2,3,2,4,4,2,2,4,4,2,2,2,2,4,4,2,2,4,4,4,2,2,23,36,39,38,25,82.11605756095736,99.6997067980117,61.20948528622405,11.2864545014926,15.370796609217988,high,high,high,low,low
1,2,4,2,2,2,4,2,2,5,2,2,4,2,2,4,4,2,2,2,2,2,4,2,2,2,4,4,2,2,2,4,4,2,2,4,4,2,2,2,1,4,4,2,2,4,4,4,2,2,22,36,38,38,23,89.78559912384115,99.6997067980117,31.89952932069128,11.2864545014926,47.45568237665967,high,high,low,low,low
1,2,4,2,2,2,4,2,2,2,2,1,4,2,2,4,4,2,2,2,2,2,4,2,2,2,4,4,2,2,2,4,4,2,2,4,4,2,2,2,1,4,4,2,2,4,4,4,2,2,22,36,39,38,26,89.78559912384115,99.6997067980117,61.20948528622405,11.2864545014926,99.19879134202203,high,high,high,low,high
1,2,4,2,2,2,4,2,2,5,2,2,4,2,2,4,4,2,2,2,2,2,4,2,2,2,4,4,2,2,2,4,4,2,2,4,4,2,2,2,1,4,4,2,2,4,4,4,2,2,22,36,38,38,23,89.78559912384115,99.6997067980117,31.89952932069128,11.2864545014926,47.45568237665967,high,high,low,low,low
1,2,4,2,2,2,4,2,2,2,2,2,4,2,2,4,4,2,2,2,2,2,4,2,2,2,4,4,2,2,2,4,4,2,2,4,4,2,2,2,1,4,4,2,2,2,4,4,2,2,24,36,38,38,26,90.69622914863086,99.6997067980117,31.89952932069128,11.2864545014926,99.19879134202203,high,high,low,low,high
1,2,4,2,2,2,4,2,2,5,2,2,4,2,2,4,4,2,2,2,2,2,4,2,2,2,4,4,2,2,2,4,4,2,2,4,4,2,2,2,1,4,4,2,2,2,4,4,2,2,24,36,38,38,23,90.69622914863086,99.6997067980117,31.89952932069128,11.2864545014926,47.45568237665967,high,high,low,low,low
1,2,4,2,2,2,4,2,2,5,2,2,4,2,2,4,4,2,2,2,2,2,4,2,2,2,4,4,2,2,2,4,4,2,2,4,4,2,2,2,1,4,4,2,2,4,4,4,2,2,22,36,38,38,23,89.78559912384115,99.6997067980117,31.89952932069128,11.2864545014926,47.45568237665967,high,high,low,low,low
