EXT1,AGR1,CSN1,EST1,OPN1,EXT2,AGR2,CSN2,EST2,OPN2,EXT3,AGR3,CSN3,EST3,OPN3,EXT4,AGR4,CSN4,EST4,OPN4,EXT5,AGR5,CSN5,EST5,OPN5,EXT6,AGR6,CSN6,EST6,OPN6,EXT7,AGR7,CSN7,EST7,OPN7,EXT8,AGR8,CSN8,EST8,OPN8,EXT9,AGR9,CSN9,EST9,OPN9,EXT10,AGR10,CSN10,EST10,OPN10,EXT_Score,EST_Score,AGR_Score,CSN_Score,OPN_Score,EXT_position,EST_position,AGR_position,CSN_position,OPN_position,EXT_high_or_low,EST_high_or_low,AGR_high_or_low,CSN_high_or_low,OPN_high_or_low
1,3,5,5,5,4,2,5,5,3,2,2,5,5,3,5,3,5,4,4,2,2,2,5,3,4,5,3,5,3,2,5,5,5,3,4,2,2,2,5,2,3,4,5,4,4,2,5,5,3,18,20,29,35,34,13.51772458710916,71.25704566249172,84.55011666031412,63.65201444637811,47.69983680359604,low,high,high,high,low
1,4,5,5,5,5,2,5,2,3,2,5,4,5,3,5,2,5,5,2,2,2,2,5,5,4,5,3,5,3,2,2,5,4,3,4,2,2,5,4,2,3,4,5,4,4,2,5,5,3,17,16,27,34,37,56.8825645768269,46.41711503819899,25.538415172833563,19.967478906101498,79.89197717811061,high,low,low,low,high
1,4,5,5,4,4,2,2,2,3,2,5,4,5,3,5,3,5,2,5,2,2,5,5,3,5,5,3,5,5,1,4,4,5,3,4,5,2,4,3,2,3,3,5,4,4,2,4,5,3,16,13,29,37,28,49.78357024881296,32.33366918109286,84.55011666031412,38.44590142622035,76.34765069075316,low,low,high,low,high
1,4,5,5,4,4,2,2,2,3,2,5,3,5,5,4,2,5,5,4,2,2,2,5,3,2,4,3,5,5,1,2,4,2,3,4,2,2,5,4,1,3,4,5,4,4,2,4,5,2,19,18,26,34,31,96.9716577977251,6.304876883726748,30.776359863336555,19.967478906101498,32.83113751931617,high,low,low,low,low
1,2,5,5,4,5,2,5,2,3,2,5,3,4,3,4,4,5,5,4,2,2,2,5,5,5,2,3,5,3,2,2,5,5,4,4,2,2,5,3,2,3,4,5,4,4,2,3,4,3,17,17,28,31,34,56.8825645768269,86.45115286391469,16.684345456354073,85.8815905198352,47.69983680359604,high,high,low,high,low
1,5,5,5,5,4,2,5,2,3,2,5,5,5,3,4,2,5,5,5,2,2,2,5,5,5,3,4,5,3,2,2,4,2,3,4,2,2,4,5,1,3,4,5,4,4,2,5,5,3,17,19,24,33,35,56.8825645768269,8.820583429606408,93.15569843037956,73.79648807641964,84.2564222266214,high,low,high,high,high
1,5,5,5,5,5,2,5,2,3,2,5,4,4,3,4,3,5,5,2,5,3,2,5,3,5,2,3,5,5,2,5,4,4,4,4,2,2,2,5,1,3,3,5,4,5,2,4,5,5,18,20,20,31,37,13.51772458710916,71.25704566249172,78.47127221298067,85.8815905198352,79.89197717811061,low,high,high,high,high
1,2,5,5,3,4,2,2,2,3,2,5,5,5,3,4,4,5,2,3,2,2,5,5,5,5,3,3,5,5,1,2,5,5,3,4,2,5,5,5,2,3,4,5,4,4,2,3,5,3,17,12,29,36,33,56.8825645768269,66.42861856263067,84.55011666031412,84.74601143852163,5.180525557423565,high,high,high,high,low
1,5,5,5,4,5,2,5,2,3,2,2,3,5,3,4,2,5,5,5,2,2,5,5,3,4,3,3,5,4,2,2,5,4,4,4,2,2,2,3,2,3,4,5,4,4,2,4,5,3,18,19,27,35,30,13.51772458710916,8.820583429606408,25.538415172833563,63.65201444637811,23.34368453554028,low,low,low,high,low
1,5,5,5,5,4,2,2,2,3,2,5,4,4,3,4,3,5,2,5,2,2,2,5,3,4,5,3,5,5,2,4,4,5,3,4,2,2,4,5,2,3,4,5,4,4,2,4,5,5,19,14,25,35,33,96.9716577977251,94.38897867809928,97.12618716273646,63.65201444637811,5.180525557423565,high,high,high,high,low
