EXT1,AGR1,CSN1,EST1,OPN1,EXT2,AGR2,CSN2,EST2,OPN2,EXT3,AGR3,CSN3,EST3,OPN3,EXT4,AGR4,CSN4,EST4,OPN4,EXT5,AGR5,CSN5,EST5,OPN5,EXT6,AGR6,CSN6,EST6,OPN6,EXT7,AGR7,CSN7,EST7,OPN7,EXT8,AGR8,CSN8,EST8,OPN8,EXT9,AGR9,CSN9,EST9,OPN9,EXT10,AGR10,CSN10,EST10,OPN10,EXT_Score,EST_Score,AGR_Score,CSN_Score,OPN_Score,EXT_position,EST_position,AGR_position,CSN_position,OPN_position,EXT_high_or_low,EST_high_or_low,AGR_high_or_low,CSN_high_or_low,OPN_high_or_low
5,5,2,2,4,5,5,2,5,4,5,1,2,2,5,1,4,2,5,4,5,5,2,2,5,5,5,2,2,5,5,5,2,3,4,1,4,2,2,4,5,4,2,2,2,1,4,2,1,5,42,42,34,28,34,31.687186866284332,60.86211430445535,63.54239610140829,55.48786072856311,47.69983680359604,low,high,high,high,low
5,4,2,4,5,5,5,2,5,4,5,1,2,2,5,1,5,5,5,4,5,4,2,1,5,5,4,2,2,5,5,5,2,2,4,1,4,2,2,5,5,4,2,2,2,1,4,2,2,5,42,41,36,25,36,31.687186866284332,80.03094526863389,42.497643648784006,62.72533070170514,47.73568682836604,low,high,low,high,low
5,4,2,2,4,5,5,2,5,4,5,1,2,2,5,1,4,5,5,4,5,4,2,2,5,5,4,2,2,5,5,5,2,2,4,1,4,2,2,5,5,4,2,2,2,1,5,2,2,5,42,42,36,25,35,31.687186866284332,60.86211430445535,42.497643648784006,62.72533070170514,84.2564222266214,low,high,low,high,high
5,4,2,4,4,5,5,2,4,4,5,1,2,2,5,1,5,2,5,5,5,4,2,2,5,5,4,2,2,5,5,5,2,3,4,2,4,2,2,4,5,4,2,2,2,1,5,2,2,5,41,38,37,28,33,23.179010795387956,3.351090914283969,67.33806671847192,55.48786072856311,5.180525557423565,low,low,high,high,low
5,5,2,2,4,5,5,2,5,4,5,1,2,2,5,1,4,2,5,4,5,5,2,2,5,5,5,2,4,5,5,5,2,2,4,1,4,2,2,4,5,4,2,2,2,1,5,2,1,5,42,41,35,28,34,31.687186866284332,80.03094526863389,69.95048953996736,55.48786072856311,47.69983680359604,low,high,high,high,low
5,4,2,4,4,5,5,2,5,4,5,1,2,2,5,1,5,2,5,5,5,4,2,2,5,5,4,2,2,5,5,5,2,2,3,1,4,2,2,4,5,4,2,2,2,1,4,2,2,5,42,40,36,28,32,31.687186866284332,78.62373330733222,42.497643648784006,55.48786072856311,34.399379124845744,low,high,low,high,low
5,4,2,4,4,5,5,2,4,4,5,1,2,2,5,1,5,2,5,4,5,2,2,2,5,5,4,2,1,5,5,5,2,2,3,2,4,2,2,5,5,4,2,2,2,1,5,2,2,5,41,40,39,28,34,23.179010795387956,78.62373330733222,61.20948528622405,55.48786072856311,47.69983680359604,low,high,high,high,low
5,4,2,2,5,5,5,2,5,4,5,1,2,1,5,1,4,5,5,5,5,4,2,2,4,5,5,2,1,5,5,5,2,3,3,2,4,2,2,4,5,4,2,2,3,1,5,2,2,5,41,43,37,25,33,23.179010795387956,82.91913751143704,67.33806671847192,62.72533070170514,5.180525557423565,low,high,high,high,low
5,4,2,2,5,5,5,2,4,4,5,1,2,2,5,1,5,5,5,4,5,4,2,2,5,5,5,2,2,5,5,5,2,2,5,1,4,2,2,4,5,4,2,1,3,2,5,2,2,5,41,42,38,25,37,23.179010795387956,60.86211430445535,31.89952932069128,62.72533070170514,79.89197717811061,low,high,low,high,high
5,4,2,2,5,5,5,2,5,4,5,1,2,2,5,1,4,2,5,4,5,4,2,4,4,5,4,2,2,5,5,5,2,2,4,2,4,2,2,4,5,4,2,2,3,1,5,2,1,5,41,41,36,28,35,23.179010795387956,80.03094526863389,42.497643648784006,55.48786072856311,84.2564222266214,low,high,low,high,high
