EXT1,AGR1,CSN1,EST1,OPN1,EXT2,AGR2,CSN2,EST2,OPN2,EXT3,AGR3,CSN3,EST3,OPN3,EXT4,AGR4,CSN4,EST4,OPN4,EXT5,AGR5,CSN5,EST5,OPN5,EXT6,AGR6,CSN6,EST6,OPN6,EXT7,AGR7,CSN7,EST7,OPN7,EXT8,AGR8,CSN8,EST8,OPN8,EXT9,AGR9,CSN9,EST9,OPN9,EXT10,AGR10,CSN10,EST10,OPN10,EXT_Score,EST_Score,AGR_Score,CSN_Score,OPN_Score,EXT_position,EST_position,AGR_position,CSN_position,OPN_position,EXT_high_or_low,EST_high_or_low,AGR_high_or_low,CSN_high_or_low,OPN_high_or_low
5,4,2,5,5,5,5,2,2,3,5,1,2,2,5,1,4,2,2,5,5,4,2,5,5,5,4,2,5,5,5,5,2,5,3,1,4,2,5,5,5,4,2,5,2,1,4,2,2,5,42,18,35,28,35,31.687186866284332,6.304876883726748,69.95048953996736,55.48786072856311,84.2564222266214,low,low,high,high,high
5,4,2,5,4,5,5,2,2,4,5,1,2,2,5,1,4,5,2,4,5,4,2,5,5,5,5,2,5,5,5,5,2,5,3,1,4,2,5,5,5,4,2,5,2,1,5,2,5,5,42,15,37,25,34,31.687186866284332,10.931204393400838,67.33806671847192,62.72533070170514,47.69983680359604,low,low,high,high,low
5,4,2,5,4,5,5,2,2,3,5,1,2,2,5,1,4,5,2,5,5,4,2,2,5,5,5,2,5,5,5,5,2,5,4,1,4,2,5,5,5,4,2,5,2,1,4,2,2,5,42,21,36,25,35,31.687186866284332,30.98663404708369,42.497643648784006,62.72533070170514,84.2564222266214,low,low,low,high,high
5,4,2,5,5,5,5,2,2,4,5,1,2,2,5,1,4,5,2,4,5,2,1,2,5,5,4,2,5,5,5,4,2,5,3,2,4,2,5,4,5,4,2,5,2,2,4,2,5,5,40,18,38,24,34,27.42970095760932,6.304876883726748,31.89952932069128,75.94729258446176,47.69983680359604,low,low,low,high,low
5,4,2,5,5,5,5,2,2,3,5,1,2,5,5,1,4,2,2,5,5,4,2,2,5,5,4,2,5,5,5,4,2,5,3,2,4,2,5,4,5,4,2,5,3,2,4,2,5,5,40,15,36,28,35,27.42970095760932,10.931204393400838,42.497643648784006,55.48786072856311,84.2564222266214,low,low,low,high,high
5,4,2,5,5,5,5,2,2,4,5,1,2,2,5,1,4,2,2,5,5,4,2,2,4,5,5,2,5,5,5,5,2,5,4,1,4,2,5,3,5,4,2,5,2,1,4,2,2,5,42,21,36,28,32,31.687186866284332,30.98663404708369,42.497643648784006,55.48786072856311,34.399379124845744,low,low,low,high,low
5,4,2,5,5,5,5,2,2,4,5,1,2,2,5,1,4,5,2,4,5,4,2,5,5,5,4,2,5,4,5,5,2,5,4,1,4,2,5,5,5,4,2,5,3,2,5,2,2,5,41,18,36,25,38,23.179010795387956,6.304876883726748,42.497643648784006,62.72533070170514,30.8161494512681,low,low,low,high,low
5,4,2,5,5,5,5,2,2,4,5,1,2,2,5,1,4,2,2,4,5,4,2,5,5,5,4,2,5,5,5,4,2,5,3,1,4,2,4,4,5,4,2,5,2,1,4,1,2,5,42,19,36,27,34,31.687186866284332,8.820583429606408,42.497643648784006,26.729640583803864,47.69983680359604,low,low,low,low,low
5,4,2,5,4,5,5,2,2,3,5,1,2,2,5,1,4,5,2,4,5,4,2,2,5,5,4,2,5,5,5,5,2,5,5,1,4,2,5,3,5,4,2,5,2,1,4,2,2,5,42,21,35,25,35,31.687186866284332,30.98663404708369,69.95048953996736,62.72533070170514,84.2564222266214,low,low,high,high,high
5,4,2,4,4,5,5,2,2,4,5,1,2,2,5,1,5,2,2,4,5,5,2,5,5,5,5,2,5,5,5,4,2,5,3,2,4,2,5,4,5,4,2,5,2,1,4,2,5,5,41,16,37,28,33,23.179010795387956,46.41711503819899,67.33806671847192,55.48786072856311,5.180525557423565,low,low,high,high,low
5,4,2,5,5,5,5,2,2,4,5,1,2,2,5,1,4,5,2,4,5,4,2,2,5,5,4,2,5,5,5,5,2,5,5,1,4,2,5,5,5,4,2,5,2,1,4,2,5,5,42,18,35,25,37,31.687186866284332,6.304876883726748,69.95048953996736,62.72533070170514,79.89197717811061,low,low,high,high,high
5,4,2,5,4,5,5,2,2,4,5,1,2,2,5,1,4,5,2,4,5,4,1,5,5,5,4,2,5,5,5,4,2,5,4,1,4,2,5,3,5,4,2,5,3,1,5,2,5,5,42,15,37,24,34,31.687186866284332,10.931204393400838,67.33806671847192,75.94729258446176,47.69983680359604,low,low,high,high,low
5,4,2,5,5,5,5,2,2,4,5,1,2,2,5,1,4,2,2,5,5,4,2,2,5,5,4,2,5,5,5,5,2,5,4,1,4,2,5,3,5,4,2,5,3,1,4,2,2,5,42,21,35,28,34,31.687186866284332,30.98663404708369,69.95048953996736,55.48786072856311,47.69983680359604,low,low,high,high,low
5,4,2,5,5,5,5,2,2,3,5,1,2,2,5,1,4,5,2,5,5,4,2,5,5,5,4,2,5,5,5,4,2,5,3,1,4,2,5,4,5,4,2,5,2,2,4,2,2,5,41,18,36,25,34,23.179010795387956,6.304876883726748,42.497643648784006,62.72533070170514,47.69983680359604,low,low,low,high,low
5,4,2,5,4,5,5,2,2,4,5,1,2,2,5,1,4,2,2,4,5,4,2,5,5,5,4,2,5,5,5,5,2,5,3,2,4,2,5,5,5,4,2,5,3,1,5,2,5,5,41,15,36,28,35,23.179010795387956,10.931204393400838,42.497643648784006,55.48786072856311,84.2564222266214,low,low,low,high,high
5,4,2,5,5,5,5,2,2,4,5,1,2,2,5,1,4,2,2,4,5,5,2,5,5,5,4,2,5,4,5,5,2,5,4,2,4,2,5,5,5,4,2,5,2,2,4,2,2,5,40,18,34,28,37,27.42970095760932,6.304876883726748,63.54239610140829,55.48786072856311,79.89197717811061,low,low,high,high,high
5,4,2,5,5,5,5,2,2,4,5,1,2,2,5,1,4,2,2,4,5,5,2,2,5,5,4,2,5,5,5,5,2,5,4,1,4,2,5,5,5,4,2,5,3,1,4,2,2,5,42,21,34,28,37,31.687186866284332,30.98663404708369,63.54239610140829,55.48786072856311,79.89197717811061,low,low,high,high,high
5,4,2,5,4,5,5,2,2,4,5,1,2,2,5,1,4,2,2,4,5,4,2,5,5,5,4,2,5,5,5,4,2,5,3,1,4,2,5,5,5,4,2,5,3,1,5,2,5,5,42,15,37,28,35,31.687186866284332,10.931204393400838,67.33806671847192,55.48786072856311,84.2564222266214,low,low,high,high,high
5,4,2,5,5,5,5,2,2,4,5,1,2,2,5,1,4,2,2,5,5,5,2,2,4,5,4,2,5,4,5,4,2,5,5,1,4,2,5,4,5,4,2,5,2,1,5,2,2,5,42,21,36,28,35,31.687186866284332,30.98663404708369,42.497643648784006,55.48786072856311,84.2564222266214,low,low,low,high,high
5,4,2,5,5,5,5,2,2,4,5,1,2,2,5,1,4,2,2,5,5,3,2,2,5,5,4,2,5,5,5,4,2,5,4,1,4,2,4,3,5,4,2,5,2,1,5,2,2,5,42,22,38,28,33,31.687186866284332,41.11702373882272,31.89952932069128,55.48786072856311,5.180525557423565,low,low,low,high,low
