EXT1,AGR1,CSN1,EST1,OPN1,EXT2,AGR2,CSN2,EST2,OPN2,EXT3,AGR3,CSN3,EST3,OPN3,EXT4,AGR4,CSN4,EST4,OPN4,EXT5,AGR5,CSN5,EST5,OPN5,EXT6,AGR6,CSN6,EST6,OPN6,EXT7,AGR7,CSN7,EST7,OPN7,EXT8,AGR8,CSN8,EST8,OPN8,EXT9,AGR9,CSN9,EST9,OPN9,EXT10,AGR10,CSN10,EST10,OPN10,EXT_Score,EST_Score,AGR_Score,CSN_Score,OPN_Score,EXT_position,EST_position,AGR_position,CSN_position,OPN_position,EXT_high_or_low,EST_high_or_low,AGR_high_or_low,CSN_high_or_low,OPN_high_or_low
5,1,5,5,2,5,5,5,2,4,5,2,4,2,2,1,2,1,2,2,5,2,5,2,2,5,1,1,5,2,5,5,4,5,4,2,2,1,5,2,5,1,4,5,2,1,4,4,2,4,41,21,29,42,28,23.179010795387956,30.98663404708369,84.55011666031412,10.086562051566911,76.34765069075316,low,low,high,low,high
5,2,4,5,5,5,5,1,1,2,5,2,4,2,2,1,2,1,2,4,5,2,4,5,3,5,1,4,5,2,5,5,4,5,5,1,2,1,5,4,5,2,5,5,2,1,2,5,2,3,42,17,27,43,34,31.687186866284332,86.45115286391469,25.538415172833563,91.02419778182896,47.69983680359604,low,high,low,high,low
5,2,5,5,2,5,5,4,2,4,5,2,4,2,2,1,2,1,2,4,5,2,5,2,2,5,1,4,5,2,5,5,4,5,5,1,2,1,5,4,5,1,4,5,2,1,4,4,2,3,42,21,28,40,28,31.687186866284332,30.98663404708369,16.684345456354073,70.57756950620531,76.34765069075316,low,low,low,high,high
5,2,5,5,4,5,5,4,2,4,5,2,4,5,2,1,2,2,2,4,5,2,5,2,3,5,1,4,5,2,5,5,4,5,3,1,2,1,4,4,5,2,4,5,2,1,4,5,2,3,42,19,29,40,29,31.687186866284332,8.820583429606408,84.55011666031412,70.57756950620531,74.38180867314527,low,low,high,high,high
5,2,5,5,3,5,5,1,2,4,5,5,4,2,2,1,2,5,2,4,5,2,5,2,4,5,1,1,5,3,5,5,4,5,4,2,2,1,5,2,5,2,4,5,2,1,4,5,5,3,41,18,26,43,27,23.179010795387956,6.304876883726748,30.776359863336555,91.02419778182896,23.922307874891292,low,low,low,high,low
5,2,5,5,3,5,5,1,2,4,5,5,5,2,2,1,2,2,2,4,5,2,5,5,3,5,1,4,5,3,5,5,4,5,3,1,2,1,5,4,5,1,4,5,2,1,2,4,5,3,42,15,23,43,27,31.687186866284332,10.931204393400838,88.30895236181736,91.02419778182896,23.922307874891292,low,low,high,high,low
5,2,5,5,3,5,5,5,2,4,5,2,5,2,2,1,2,1,2,2,5,2,4,5,4,5,1,4,5,2,5,5,5,5,5,2,2,1,5,4,5,1,5,5,2,2,2,4,2,3,40,18,26,41,33,27.42970095760932,6.304876883726748,30.776359863336555,91.30045964853188,5.180525557423565,low,low,low,high,low
5,2,5,5,3,5,5,2,2,4,5,2,4,2,2,1,2,5,2,2,5,2,5,5,3,5,1,4,5,2,5,4,5,5,3,1,2,1,5,4,5,2,4,5,2,1,5,5,2,4,42,18,31,40,31,31.687186866284332,6.304876883726748,72.65224195615069,70.57756950620531,32.83113751931617,low,low,high,high,low
5,2,5,5,2,5,5,1,2,4,5,2,4,2,2,1,2,2,2,2,5,2,5,2,2,5,2,4,5,2,5,5,4,5,3,1,2,1,5,4,5,2,5,5,2,1,2,4,5,3,42,18,28,43,28,31.687186866284332,6.304876883726748,16.684345456354073,91.02419778182896,76.34765069075316,low,low,low,high,high
5,2,5,5,4,5,5,1,2,4,5,5,4,2,2,1,2,1,2,2,5,2,5,2,3,5,2,5,5,3,5,5,4,5,4,1,2,1,5,3,5,2,5,5,4,2,4,4,2,4,41,21,27,43,33,23.179010795387956,30.98663404708369,25.538415172833563,91.02419778182896,5.180525557423565,low,low,low,high,low
5,2,5,5,2,5,5,1,2,4,5,4,4,2,2,1,2,1,2,2,5,2,5,5,2,5,1,4,5,2,5,5,4,5,3,2,2,4,4,4,5,1,4,5,2,1,5,4,5,3,41,16,27,40,28,23.179010795387956,46.41711503819899,25.538415172833563,70.57756950620531,76.34765069075316,low,low,low,high,high
5,3,4,5,3,5,5,5,2,4,5,4,4,2,2,1,2,1,2,4,5,2,5,2,2,5,1,1,5,2,5,5,5,5,3,1,2,4,5,4,5,1,4,5,2,1,5,4,5,3,42,18,26,39,27,31.687186866284332,6.304876883726748,30.776359863336555,39.95918612564645,23.922307874891292,low,low,low,low,low
5,2,5,5,4,5,5,1,2,4,5,2,4,2,4,1,2,2,2,4,5,2,5,2,2,5,2,5,5,2,5,5,4,5,3,2,2,1,5,2,5,2,4,5,2,1,4,5,5,3,41,18,30,42,28,23.179010795387956,6.304876883726748,29.734837852504725,10.086562051566911,76.34765069075316,low,low,low,low,high
5,2,5,5,4,5,5,5,1,4,5,5,4,2,4,1,2,2,2,4,5,2,5,2,3,5,1,4,5,2,5,5,4,5,2,1,2,1,5,4,5,1,4,5,2,1,2,4,5,3,42,17,23,38,30,31.687186866284332,86.45115286391469,88.30895236181736,11.2864545014926,23.34368453554028,low,high,high,low,low
5,2,5,5,2,5,5,1,2,4,5,2,4,2,2,1,2,1,2,2,5,2,5,2,2,5,1,3,5,2,5,5,4,5,3,2,2,1,5,3,5,2,5,5,2,2,4,4,5,3,40,18,29,45,27,27.42970095760932,6.304876883726748,84.55011666031412,37.194794655194656,23.922307874891292,low,low,high,low,low
5,2,4,4,5,5,5,1,2,4,5,5,4,2,2,1,2,5,2,2,5,2,5,2,3,5,1,4,5,2,5,5,4,5,2,2,2,1,5,4,5,1,5,5,2,1,5,5,2,4,41,22,26,40,32,23.179010795387956,41.11702373882272,30.776359863336555,70.57756950620531,34.399379124845744,low,low,low,high,low
5,2,5,5,2,5,5,5,2,4,5,5,5,5,2,1,2,2,2,4,5,2,5,2,3,5,1,4,5,2,5,5,4,5,3,2,2,1,5,4,5,1,4,5,2,2,2,5,5,3,40,15,23,40,27,27.42970095760932,10.931204393400838,88.30895236181736,70.57756950620531,23.922307874891292,low,low,high,high,low
5,2,4,4,3,5,5,5,2,4,5,5,4,5,2,1,2,2,2,4,5,2,5,2,4,5,2,3,5,2,5,5,4,5,3,1,2,1,5,2,5,2,5,5,2,1,4,5,2,3,42,19,27,40,27,31.687186866284332,8.820583429606408,25.538415172833563,70.57756950620531,23.922307874891292,low,low,low,high,low
5,2,5,5,4,5,5,1,2,4,5,2,5,2,2,1,2,1,2,4,5,2,5,2,2,5,1,4,5,2,5,2,4,5,5,2,2,1,5,2,5,2,5,5,2,1,2,4,5,3,41,18,30,45,28,23.179010795387956,6.304876883726748,29.734837852504725,37.194794655194656,76.34765069075316,low,low,low,low,high
5,2,5,5,2,5,5,1,2,4,5,2,4,2,2,1,2,5,2,4,5,2,5,2,2,5,1,5,5,2,5,4,5,5,5,2,2,1,5,2,5,2,5,5,2,1,4,5,2,3,41,21,30,41,26,23.179010795387956,30.98663404708369,29.734837852504725,91.30045964853188,99.19879134202203,low,low,low,high,high
