EXT1,AGR1,CSN1,EST1,OPN1,EXT2,AGR2,CSN2,EST2,OPN2,EXT3,AGR3,CSN3,EST3,OPN3,EXT4,AGR4,CSN4,EST4,OPN4,EXT5,AGR5,CSN5,EST5,OPN5,EXT6,AGR6,CSN6,EST6,OPN6,EXT7,AGR7,CSN7,EST7,OPN7,EXT8,AGR8,CSN8,EST8,OPN8,EXT9,AGR9,CSN9,EST9,OPN9,EXT10,AGR10,CSN10,EST10,OPN10,EXT_Score,EST_Score,AGR_Score,CSN_Score,OPN_Score,EXT_position,EST_position,AGR_position,CSN_position,OPN_position,EXT_high_or_low,EST_high_or_low,AGR_high_or_low,CSN_high_or_low,OPN_high_or_low
1,4,2,2,5,5,4,2,5,4,2,1,2,2,5,4,5,2,5,4,2,4,2,2,5,2,4,2,2,5,2,4,2,4,4,4,4,2,4,4,1,4,2,2,4,4,5,2,4,5,19,36,37,28,37,96.9716577977251,99.6997067980117,67.33806671847192,55.48786072856311,79.89197717811061,high,high,high,high,high
1,4,2,4,4,5,4,2,5,4,2,1,2,2,5,5,5,5,5,5,2,4,2,2,5,4,5,2,2,5,1,4,2,4,4,5,4,2,2,4,1,4,2,1,5,4,4,2,4,5,14,37,37,25,36,20.67768365504791,72.51416026733875,67.33806671847192,62.72533070170514,47.73568682836604,low,high,high,high,low
1,4,2,2,4,4,4,2,5,4,2,1,2,2,5,5,4,2,5,5,2,4,2,2,5,5,5,2,2,4,1,4,2,2,4,5,4,2,2,4,1,4,2,2,4,4,4,2,1,5,14,43,36,28,36,20.67768365504791,82.91913751143704,42.497643648784006,55.48786072856311,47.73568682836604,low,high,low,high,low
1,4,2,4,5,4,4,2,5,4,2,1,2,4,5,5,4,5,5,4,2,4,2,2,5,2,5,2,1,5,1,4,2,2,4,4,4,2,4,4,1,4,2,2,5,4,4,2,2,5,18,37,36,25,38,13.51772458710916,72.51416026733875,42.497643648784006,62.72533070170514,30.8161494512681,low,high,low,high,low
1,4,2,2,4,4,4,2,5,4,2,1,2,2,5,5,5,2,5,4,2,4,2,2,5,4,4,2,2,5,1,4,2,2,5,5,4,2,2,4,1,4,2,1,4,4,4,2,2,5,15,43,36,28,37,68.10647851313007,82.91913751143704,42.497643648784006,55.48786072856311,79.89197717811061,high,high,low,high,high
1,4,2,4,4,5,4,2,5,4,2,1,2,2,5,4,5,2,5,4,2,4,2,2,5,4,5,2,2,5,1,4,2,2,4,5,4,2,2,5,1,4,2,2,5,5,4,2,2,5,14,40,37,28,38,20.67768365504791,78.62373330733222,67.33806671847192,55.48786072856311,30.8161494512681,low,high,high,high,low
1,4,2,4,4,4,4,2,5,4,2,1,2,2,5,5,4,2,5,5,2,4,2,2,4,4,5,2,2,5,2,4,2,4,4,4,4,2,2,5,1,4,2,2,4,5,4,2,2,5,16,38,36,28,35,49.78357024881296,3.351090914283969,42.497643648784006,55.48786072856311,84.2564222266214,low,low,low,high,high
1,4,2,4,5,5,4,2,5,4,2,1,2,2,5,5,4,2,5,5,2,4,2,2,5,5,5,2,2,5,1,4,2,2,4,5,4,2,2,5,1,4,2,2,4,5,5,2,4,5,12,38,37,28,37,85.53303766911806,3.351090914283969,67.33806671847192,55.48786072856311,79.89197717811061,high,low,high,high,high
1,4,2,2,4,2,4,2,5,4,2,1,2,2,5,4,4,5,5,4,2,4,2,2,5,5,4,2,2,5,1,4,2,2,5,5,4,2,4,4,1,4,2,1,4,4,5,2,2,5,17,41,36,25,37,56.8825645768269,80.03094526863389,42.497643648784006,62.72533070170514,79.89197717811061,high,high,low,high,high
1,4,2,2,4,4,4,2,5,4,2,1,2,2,5,5,4,2,5,4,2,4,2,2,5,4,5,2,4,5,2,4,2,4,4,4,4,2,4,5,1,4,2,2,4,5,4,2,2,5,16,36,36,28,37,49.78357024881296,99.6997067980117,42.497643648784006,55.48786072856311,79.89197717811061,low,high,low,high,high
1,4,2,2,4,4,4,2,5,4,2,1,2,2,5,5,4,5,5,4,2,4,2,4,5,4,4,2,2,5,1,4,2,4,4,4,4,2,2,5,1,4,2,4,4,4,4,2,2,5,16,36,35,25,37,49.78357024881296,99.6997067980117,69.95048953996736,62.72533070170514,79.89197717811061,low,high,high,high,high
1,4,2,4,5,2,4,2,5,4,2,1,2,2,5,5,5,5,5,5,2,4,2,2,5,5,5,2,2,5,1,4,2,2,5,5,4,2,4,4,1,4,2,2,4,5,4,2,2,5,15,38,37,25,37,68.10647851313007,3.351090914283969,67.33806671847192,62.72533070170514,79.89197717811061,high,low,high,high,high
1,4,2,4,5,5,4,2,4,4,2,1,2,2,5,5,4,2,5,4,2,4,2,2,5,4,5,2,2,5,1,4,2,4,4,5,4,2,4,4,1,4,2,1,5,5,4,2,2,5,13,36,36,28,38,90.09761252623504,99.6997067980117,42.497643648784006,55.48786072856311,30.8161494512681,high,high,low,high,low
1,4,2,4,4,4,4,2,5,4,2,1,2,2,5,5,4,5,5,4,2,4,2,4,5,4,4,2,4,5,1,4,2,2,4,5,4,2,2,5,1,4,2,2,4,5,4,2,2,5,14,36,35,25,37,20.67768365504791,99.6997067980117,69.95048953996736,62.72533070170514,79.89197717811061,low,high,high,high,high
1,4,2,4,5,5,4,2,5,4,2,1,2,2,5,5,4,5,5,5,2,4,2,2,5,5,4,2,4,5,1,4,2,2,4,5,4,2,2,4,1,4,2,2,5,5,4,2,4,5,12,36,35,25,37,85.53303766911806,99.6997067980117,69.95048953996736,62.72533070170514,79.89197717811061,high,high,high,high,high
1,4,2,4,4,4,4,2,4,4,2,1,2,2,5,5,5,2,5,5,2,4,2,4,5,5,4,2,2,5,1,4,2,2,5,5,4,2,4,4,1,4,2,1,4,5,4,2,4,5,13,34,36,28,36,90.09761252623504,27.09730031585448,42.497643648784006,55.48786072856311,47.73568682836604,high,low,low,high,low
1,4,2,4,5,4,4,2,5,4,2,1,2,2,5,4,4,2,5,5,2,4,2,2,5,4,5,2,2,5,1,4,2,2,4,4,4,2,2,4,1,4,2,4,4,5,4,2,2,5,16,38,36,28,36,49.78357024881296,3.351090914283969,42.497643648784006,55.48786072856311,47.73568682836604,low,low,low,high,low
1,4,2,2,4,4,4,2,5,4,2,1,2,2,5,4,5,2,5,5,2,4,2,2,5,4,5,2,2,5,1,4,2,4,5,4,4,2,2,4,2,4,2,2,5,5,4,2,4,5,17,38,37,28,37,56.8825645768269,3.351090914283969,67.33806671847192,55.48786072856311,79.89197717811061,high,low,high,high,high
1,4,2,2,5,5,4,2,5,4,2,1,2,2,5,4,5,2,5,5,2,4,2,2,4,4,5,2,2,5,1,4,2,4,5,5,4,2,4,5,1,4,2,2,5,5,4,2,2,5,14,38,37,28,38,20.67768365504791,3.351090914283969,67.33806671847192,55.48786072856311,30.8161494512681,low,low,high,high,low
1,4,2,2,5,4,4,2,5,4,2,1,2,2,5,5,4,2,5,4,2,4,2,2,5,4,4,2,2,5,1,4,2,2,4,5,4,2,2,4,1,4,2,2,4,5,5,2,4,5,14,40,36,28,37,20.67768365504791,78.62373330733222,42.497643648784006,55.48786072856311,79.89197717811061,low,high,low,high,high
