EXT1,AGR1,CSN1,EST1,OPN1,EXT2,AGR2,CSN2,EST2,OPN2,EXT3,AGR3,CSN3,EST3,OPN3,EXT4,AGR4,CSN4,EST4,OPN4,EXT5,AGR5,CSN5,EST5,OPN5,EXT6,AGR6,CSN6,EST6,OPN6,EXT7,AGR7,CSN7,EST7,OPN7,EXT8,AGR8,CSN8,EST8,OPN8,EXT9,AGR9,CSN9,EST9,OPN9,EXT10,AGR10,CSN10,EST10,OPN10,EXT_Score,EST_Score,AGR_Score,CSN_Score,OPN_Score,EXT_position,EST_position,AGR_position,CSN_position,OPN_position,EXT_high_or_low,EST_high_or_low,AGR_high_or_low,CSN_high_or_low,OPN_high_or_low
1,2,5,4,5,5,2,2,5,4,2,1,5,2,5,5,2,5,5,5,2,2,5,2,5,2,2,4,1,4,1,2,4,2,4,5,2,1,2,5,1,1,4,1,5,4,2,5,2,5,16,42,28,40,39,49.78357024881296,60.86211430445535,16.684345456354073,70.57756950620531,71.01555044068938,low,high,low,high,high
1,1,5,2,4,5,2,4,5,4,2,1,5,2,5,5,2,5,5,4,2,2,5,2,5,4,2,4,1,5,1,2,4,4,5,4,2,5,2,4,1,2,5,1,5,4,2,5,2,5,15,42,30,35,38,68.10647851313007,60.86211430445535,29.734837852504725,63.65201444637811,30.8161494512681,high,high,low,high,low
1,2,5,1,4,5,2,5,5,4,2,1,5,1,5,4,2,5,5,5,2,2,5,4,4,2,2,4,4,5,1,2,4,2,4,5,2,1,4,5,1,2,4,2,4,5,2,5,2,5,16,38,29,37,35,49.78357024881296,3.351090914283969,84.55011666031412,38.44590142622035,84.2564222266214,low,low,high,low,high
1,2,5,2,5,2,2,4,5,4,2,1,4,2,5,4,2,5,5,4,2,2,5,4,4,5,2,4,4,5,1,2,4,2,4,4,2,5,1,5,1,2,5,2,5,5,2,5,1,5,17,40,29,34,38,56.8825645768269,78.62373330733222,84.55011666031412,19.967478906101498,30.8161494512681,high,high,high,low,low
1,2,5,4,5,5,2,4,5,4,2,1,5,4,5,5,2,5,5,4,2,2,5,2,5,2,2,4,2,5,1,2,4,2,4,5,2,1,4,4,1,1,5,1,5,5,2,5,4,5,15,35,28,39,38,68.10647851313007,53.631637055925054,16.684345456354073,39.95918612564645,30.8161494512681,high,high,low,low,low
1,2,5,4,5,5,2,1,4,4,2,1,5,2,5,4,2,1,5,5,2,2,5,4,4,4,2,4,1,5,1,2,4,2,4,4,2,1,2,4,1,2,4,1,5,5,2,5,4,5,15,37,29,45,36,68.10647851313007,72.51416026733875,84.55011666031412,37.194794655194656,47.73568682836604,high,high,high,low,low
1,2,5,4,5,5,2,5,5,4,2,1,4,2,5,4,2,5,5,5,2,2,5,4,5,4,1,5,1,4,1,4,4,2,4,5,2,1,2,5,1,2,5,1,5,4,2,5,4,5,15,38,26,36,39,68.10647851313007,3.351090914283969,30.776359863336555,84.74601143852163,71.01555044068938,high,low,low,high,high
1,2,5,4,4,5,2,1,5,4,2,2,5,2,5,5,2,1,5,5,2,2,5,2,5,4,2,4,1,5,1,2,5,4,4,4,2,1,1,4,1,2,5,1,5,4,2,4,1,5,15,42,28,46,36,68.10647851313007,60.86211430445535,16.684345456354073,33.024077625152536,47.73568682836604,high,high,low,low,low
1,2,5,4,5,5,2,4,4,4,2,1,5,2,5,5,2,5,5,4,1,2,5,2,5,2,1,5,1,5,1,2,4,4,5,5,2,1,2,4,1,1,4,1,5,4,2,5,1,5,15,40,27,37,39,68.10647851313007,78.62373330733222,25.538415172833563,38.44590142622035,71.01555044068938,high,high,low,low,high
1,1,5,2,5,5,2,4,5,4,2,1,5,2,5,4,2,1,5,4,2,2,5,4,5,4,2,4,1,5,1,2,4,4,5,5,2,5,2,4,1,2,5,2,5,5,2,5,2,5,14,39,30,39,39,20.67768365504791,58.10382915690394,29.734837852504725,39.95918612564645,71.01555044068938,low,high,low,low,high
