EXT1,AGR1,CSN1,EST1,OPN1,EXT2,AGR2,CSN2,EST2,OPN2,EXT3,AGR3,CSN3,EST3,OPN3,EXT4,AGR4,CSN4,EST4,OPN4,EXT5,AGR5,CSN5,EST5,OPN5,EXT6,AGR6,CSN6,EST6,OPN6,EXT7,AGR7,CSN7,EST7,OPN7,EXT8,AGR8,CSN8,EST8,OPN8,EXT9,AGR9,CSN9,EST9,OPN9,EXT10,AGR10,CSN10,EST10,OPN10,EXT_Score,EST_Score,AGR_Score,CSN_Score,OPN_Score,EXT_position,EST_position,AGR_position,CSN_position,OPN_position,EXT_high_or_low,EST_high_or_low,AGR_high_or_low,CSN_high_or_low,OPN_high_or_low
1,2,2,4,5,5,2,2,4,4,2,1,2,2,5,4,2,5,5,4,2,2,2,4,5,2,1,4,2,5,1,2,2,2,4,2,2,2,2,4,1,2,2,1,4,4,1,2,4,5,20,36,27,23,37,10.625592781144464,99.6997067980117,25.538415172833563,22.402818363485764,79.89197717811061,low,high,low,low,high
1,2,2,2,5,5,2,2,5,4,2,1,2,2,5,5,2,5,5,4,2,2,2,2,5,2,2,2,1,5,1,2,2,2,4,4,2,2,2,5,1,2,2,2,5,5,2,2,2,5,16,43,29,25,39,49.78357024881296,82.91913751143704,84.55011666031412,62.72533070170514,71.01555044068938,low,high,high,high,high
1,2,2,4,5,5,2,5,5,4,2,1,2,2,5,4,2,5,5,5,2,2,2,2,5,2,2,2,2,5,1,2,2,2,4,5,2,2,4,5,1,2,2,2,5,4,2,2,4,5,17,36,29,22,38,56.8825645768269,99.6997067980117,84.55011666031412,88.29861100851832,30.8161494512681,high,high,high,high,low
1,2,2,2,5,5,2,4,5,4,2,1,3,2,5,4,2,4,5,4,2,1,2,2,5,2,2,5,2,5,1,2,2,4,4,4,2,2,2,4,1,2,2,2,5,4,2,2,2,5,18,40,30,22,38,13.51772458710916,78.62373330733222,29.734837852504725,88.29861100851832,30.8161494512681,low,high,low,high,low
1,2,2,4,5,4,2,2,5,4,2,1,4,2,5,4,2,4,5,5,2,2,2,2,5,2,1,2,2,5,1,1,2,2,5,5,2,2,2,5,1,2,2,2,5,5,2,2,2,5,17,40,29,28,39,56.8825645768269,78.62373330733222,84.55011666031412,55.48786072856311,71.01555044068938,high,high,high,high,high
1,2,2,4,5,2,2,4,5,4,2,1,2,2,5,5,2,5,5,4,1,2,2,4,5,2,2,2,1,5,1,2,2,2,4,5,2,2,2,5,1,2,2,1,5,5,2,2,4,5,17,38,29,23,39,56.8825645768269,3.351090914283969,84.55011666031412,22.402818363485764,71.01555044068938,high,low,high,low,high
1,2,2,4,5,5,2,2,5,4,2,5,2,2,5,5,2,5,5,5,2,2,2,4,5,2,2,2,1,5,1,2,2,2,4,5,2,2,4,4,1,1,2,2,5,4,1,2,4,5,16,35,23,25,37,49.78357024881296,53.631637055925054,88.30895236181736,62.72533070170514,79.89197717811061,low,high,high,high,high
1,2,2,2,4,2,2,2,5,4,2,1,4,2,5,4,2,5,5,4,2,2,2,2,5,2,2,2,2,5,1,2,2,2,4,5,2,5,4,4,1,1,2,2,5,5,2,2,2,5,19,40,28,24,37,96.9716577977251,78.62373330733222,16.684345456354073,75.94729258446176,79.89197717811061,high,high,low,high,high
1,2,2,4,5,2,2,5,5,4,2,1,2,2,5,5,2,5,5,4,1,2,2,2,5,2,2,2,4,5,1,2,2,4,4,5,2,2,2,4,1,1,2,2,5,5,2,2,2,5,17,36,28,22,38,56.8825645768269,99.6997067980117,16.684345456354073,88.29861100851832,30.8161494512681,high,high,low,high,low
1,2,2,4,5,2,2,5,5,4,2,1,2,2,5,5,2,4,5,5,2,2,2,4,5,2,2,2,4,5,1,2,2,4,5,2,2,5,2,5,1,1,2,2,4,4,2,2,4,5,22,32,28,20,38,89.78559912384115,94.62417059884316,16.684345456354073,68.203588745062,30.8161494512681,high,high,low,high,low
1,2,2,4,4,2,2,2,5,4,2,1,2,1,5,5,2,4,5,5,2,2,2,2,5,4,2,2,2,5,1,2,2,4,5,5,2,2,2,4,1,2,2,2,5,5,2,2,1,5,16,40,29,26,37,49.78357024881296,78.62373330733222,84.55011666031412,16.971441121751216,79.89197717811061,low,high,high,low,high
