EXT1,AGR1,CSN1,EST1,OPN1,EXT2,AGR2,CSN2,EST2,OPN2,EXT3,AGR3,CSN3,EST3,OPN3,EXT4,AGR4,CSN4,EST4,OPN4,EXT5,AGR5,CSN5,EST5,OPN5,EXT6,AGR6,CSN6,EST6,OPN6,EXT7,AGR7,CSN7,EST7,OPN7,EXT8,AGR8,CSN8,EST8,OPN8,EXT9,AGR9,CSN9,EST9,OPN9,EXT10,AGR10,CSN10,EST10,OPN10,EXT_Score,EST_Score,AGR_Score,CSN_Score,OPN_Score,EXT_position,EST_position,AGR_position,CSN_position,OPN_position,EXT_high_or_low,EST_high_or_low,AGR_high_or_low,CSN_high_or_low,OPN_high_or_low
1,2,2,2,2,5,2,4,4,4,2,2,2,4,2,5,2,5,5,2,2,1,2,4,2,2,1,5,2,1,1,2,2,2,3,4,2,2,1,1,1,2,2,2,3,5,2,2,2,2,16,38,28,20,26,49.78357024881296,3.351090914283969,16.684345456354073,68.203588745062,99.19879134202203,low,low,low,high,high
1,2,2,2,2,2,2,5,5,3,2,2,2,2,2,5,2,5,5,4,1,2,2,4,2,4,1,2,4,2,1,2,2,2,5,5,2,2,4,1,1,2,4,4,3,5,2,2,2,2,15,34,27,24,26,68.10647851313007,27.09730031585448,25.538415172833563,75.94729258446176,99.19879134202203,high,low,low,high,high
1,2,2,2,4,5,2,5,5,4,2,2,2,4,2,5,2,4,5,4,2,2,2,4,2,4,1,4,2,2,1,2,4,2,5,5,2,2,2,2,1,1,2,1,4,4,2,2,4,2,14,37,26,23,29,20.67768365504791,72.51416026733875,30.776359863336555,22.402818363485764,74.38180867314527,low,high,low,low,high
1,2,2,4,5,5,2,2,4,4,2,1,2,5,2,5,2,5,5,3,2,2,2,4,2,4,1,2,2,2,1,2,2,2,2,4,2,5,4,2,1,1,2,1,3,5,2,2,2,2,14,33,27,22,27,20.67768365504791,43.820548958428745,25.538415172833563,88.29861100851832,23.922307874891292,low,low,low,high,low
1,2,2,4,2,5,2,2,4,2,2,1,2,4,2,5,2,5,5,4,2,2,2,4,2,2,1,4,1,2,1,2,2,2,5,2,1,5,2,2,1,2,2,2,4,5,2,2,5,2,18,33,27,20,29,13.51772458710916,43.820548958428745,25.538415172833563,68.203588745062,74.38180867314527,low,low,low,high,high
1,2,2,2,2,5,2,5,4,2,1,1,2,2,2,5,2,5,5,4,1,2,2,5,2,2,1,2,4,2,1,2,2,4,2,2,2,2,1,1,1,2,2,2,5,5,2,2,5,2,16,32,28,22,26,49.78357024881296,94.62417059884316,16.684345456354073,88.29861100851832,99.19879134202203,low,high,low,high,high
1,2,2,4,2,4,2,2,5,4,2,1,2,2,2,5,2,5,5,4,2,2,2,2,2,5,2,4,2,2,1,2,2,2,4,5,2,5,2,2,1,1,2,2,4,5,1,2,5,2,13,37,27,20,26,90.09761252623504,72.51416026733875,25.538415172833563,68.203588745062,99.19879134202203,high,high,low,high,high
1,2,2,2,2,5,2,2,5,2,2,1,2,1,2,5,2,4,5,2,1,2,2,4,2,5,1,4,1,1,1,2,2,4,3,4,2,2,2,2,1,2,2,2,5,5,1,2,2,2,12,40,27,24,31,85.53303766911806,78.62373330733222,25.538415172833563,75.94729258446176,32.83113751931617,high,high,low,high,low
1,2,2,4,2,4,2,4,4,4,1,1,2,5,4,5,2,5,5,4,1,2,2,4,2,4,1,4,1,2,1,2,2,1,2,5,2,2,4,4,1,2,2,1,3,5,2,2,4,2,12,33,28,21,27,85.53303766911806,43.820548958428745,16.684345456354073,29.236778579807176,23.922307874891292,high,low,low,low,low
1,2,2,4,2,2,2,2,5,3,2,1,4,5,2,5,2,5,5,2,1,2,2,2,2,4,1,4,2,2,1,1,4,2,2,4,2,5,2,5,1,1,2,2,4,5,1,2,5,2,16,34,27,24,30,49.78357024881296,27.09730031585448,25.538415172833563,75.94729258446176,23.34368453554028,low,low,low,high,low
1,2,2,4,2,2,2,5,5,4,1,5,2,4,2,5,2,5,5,4,1,2,2,5,5,4,1,4,1,2,1,2,2,2,3,2,2,5,1,2,1,2,2,2,5,5,2,2,4,2,17,35,24,17,29,56.8825645768269,53.631637055925054,93.15569843037956,5.486925082312248,74.38180867314527,high,high,high,low,high
1,2,2,2,2,5,2,5,4,4,2,1,2,2,2,5,2,5,5,2,1,2,2,4,2,5,2,2,2,2,1,2,2,2,4,2,2,5,2,1,1,1,2,2,4,5,2,2,5,2,14,36,28,19,27,20.67768365504791,99.6997067980117,16.684345456354073,54.576639769299184,23.922307874891292,low,high,low,high,low
1,2,2,2,2,2,2,5,4,3,2,1,4,5,2,5,2,5,5,4,2,2,2,2,2,5,2,2,1,2,1,2,2,4,2,4,2,5,4,2,1,1,2,2,4,5,1,2,4,2,16,33,27,21,25,49.78357024881296,43.820548958428745,25.538415172833563,29.236778579807176,15.370796609217988,low,low,low,low,low
1,2,2,2,5,5,2,2,5,3,2,1,2,2,4,5,2,5,5,2,2,1,2,4,2,4,2,2,1,2,1,2,2,4,2,5,1,2,1,5,1,1,2,2,4,5,2,2,4,2,13,38,28,25,35,90.09761252623504,3.351090914283969,16.684345456354073,62.72533070170514,84.2564222266214,high,low,low,high,high
1,2,2,4,2,2,2,4,5,4,2,1,2,4,2,5,2,5,5,4,2,2,2,4,2,4,2,5,1,2,1,1,2,4,3,5,2,5,4,4,1,1,2,2,3,4,2,2,4,2,17,31,29,17,26,56.8825645768269,57.26086112941366,84.55011666031412,5.486925082312248,99.19879134202203,high,high,high,low,high
1,2,2,4,2,5,2,5,5,3,2,1,2,5,2,5,2,5,5,4,2,2,2,2,2,5,1,4,2,3,1,2,2,2,3,4,2,2,1,1,1,1,2,1,3,5,1,2,2,2,13,39,26,20,23,90.09761252623504,58.10382915690394,30.776359863336555,68.203588745062,47.45568237665967,high,high,low,high,low
1,2,2,4,4,5,2,2,5,4,2,5,2,2,2,4,2,5,5,2,1,2,2,4,2,5,1,4,1,1,1,2,2,1,4,4,2,5,2,2,1,1,2,2,5,5,2,2,5,2,13,37,23,20,32,90.09761252623504,72.51416026733875,88.30895236181736,68.203588745062,34.399379124845744,high,high,high,high,low
1,2,2,2,2,5,2,2,5,2,2,1,2,2,2,5,2,5,5,4,2,2,2,2,2,5,2,2,4,2,1,2,2,2,2,5,2,5,2,2,1,2,2,1,5,5,2,2,4,2,12,39,29,22,27,85.53303766911806,58.10382915690394,84.55011666031412,88.29861100851832,23.922307874891292,high,high,high,high,low
