EXT1,AGR1,CSN1,EST1,OPN1,EXT2,AGR2,CSN2,EST2,OPN2,EXT3,AGR3,CSN3,EST3,OPN3,EXT4,AGR4,CSN4,EST4,OPN4,EXT5,AGR5,CSN5,EST5,OPN5,EXT6,AGR6,CSN6,EST6,OPN6,EXT7,AGR7,CSN7,EST7,OPN7,EXT8,AGR8,CSN8,EST8,OPN8,EXT9,AGR9,CSN9,EST9,OPN9,EXT10,AGR10,CSN10,EST10,OPN10,EXT_Score,EST_Score,AGR_Score,CSN_Score,OPN_Score,EXT_position,EST_position,AGR_position,CSN_position,OPN_position,EXT_high_or_low,EST_high_or_low,AGR_high_or_low,CSN_high_or_low,OPN_high_or_low
1,4,4,5,4,4,4,4,2,4,2,1,5,5,5,4,5,1,2,4,2,4,4,5,5,5,4,4,5,5,1,4,4,2,5,5,4,2,2,4,1,4,4,5,5,5,4,4,5,5,14,18,36,38,38,20.67768365504791,6.304876883726748,42.497643648784006,11.2864545014926,30.8161494512681,low,low,low,low,low
1,4,4,5,5,5,4,4,2,4,2,1,5,5,5,5,5,2,2,5,1,4,4,2,4,4,5,4,5,5,1,4,4,5,4,5,4,2,2,4,1,4,5,2,5,5,4,5,5,5,12,21,37,39,36,85.53303766911806,30.98663404708369,67.33806671847192,39.95918612564645,47.73568682836604,high,low,high,low,low
1,4,4,5,5,5,4,5,2,4,2,1,5,5,5,5,4,2,2,4,1,4,4,5,5,4,4,4,5,5,1,4,4,2,4,5,4,2,2,4,1,4,4,5,4,5,5,4,5,5,12,18,36,36,37,85.53303766911806,6.304876883726748,42.497643648784006,84.74601143852163,79.89197717811061,high,low,low,high,high
1,4,4,5,5,4,4,4,2,4,2,1,5,5,5,5,4,1,2,5,1,4,4,2,4,4,4,4,4,5,1,4,4,5,5,4,4,1,2,4,1,4,4,5,5,5,4,4,5,5,14,19,35,39,37,20.67768365504791,8.820583429606408,69.95048953996736,39.95918612564645,79.89197717811061,low,low,high,low,high
1,4,4,5,4,5,3,4,2,4,2,1,4,4,5,5,4,5,2,4,2,4,4,5,5,4,4,4,5,5,1,4,4,2,4,5,4,2,5,5,1,4,4,5,5,4,4,4,5,5,14,16,34,33,38,20.67768365504791,46.41711503819899,63.54239610140829,73.79648807641964,30.8161494512681,low,low,high,high,low
1,4,4,5,5,4,4,4,2,4,2,1,4,4,5,4,4,1,2,5,1,4,5,2,5,4,5,4,4,5,1,4,4,5,4,4,4,2,4,4,1,4,5,5,5,5,4,5,5,5,15,18,36,40,37,68.10647851313007,6.304876883726748,42.497643648784006,70.57756950620531,79.89197717811061,high,low,low,high,high
1,4,5,5,5,5,2,5,2,4,2,1,4,5,5,4,4,5,2,4,2,4,4,5,4,5,5,4,5,5,1,4,4,2,4,5,4,2,2,4,1,4,5,5,5,5,5,5,5,5,13,18,35,35,37,90.09761252623504,6.304876883726748,69.95048953996736,63.65201444637811,79.89197717811061,high,low,high,high,high
1,4,5,5,5,5,4,4,2,4,2,1,4,5,5,5,4,1,2,4,2,4,4,5,5,4,5,4,5,5,1,4,4,5,3,5,4,1,5,5,1,4,5,5,5,5,5,4,4,5,13,13,37,40,38,90.09761252623504,32.33366918109286,67.33806671847192,70.57756950620531,30.8161494512681,high,low,high,high,low
1,4,4,5,4,4,4,4,2,4,2,1,5,5,5,5,4,5,2,4,2,4,4,5,5,4,5,4,5,4,1,4,4,5,4,5,4,1,2,5,1,4,4,5,4,5,4,4,5,5,14,15,36,35,38,20.67768365504791,10.931204393400838,42.497643648784006,63.65201444637811,30.8161494512681,low,low,low,high,low
1,4,4,5,5,5,2,4,2,4,2,1,4,5,5,5,4,1,2,4,2,4,4,2,5,5,5,4,5,5,1,4,4,2,3,5,4,2,5,4,1,4,4,2,5,5,4,5,5,5,12,21,34,38,37,85.53303766911806,30.98663404708369,63.54239610140829,11.2864545014926,79.89197717811061,high,low,high,low,high
1,4,4,5,5,4,3,4,2,4,2,1,4,5,5,4,4,1,5,4,2,4,4,5,5,5,5,4,5,5,1,4,4,2,3,5,4,2,2,5,1,4,4,5,4,4,4,5,5,5,15,21,35,38,37,68.10647851313007,30.98663404708369,69.95048953996736,11.2864545014926,79.89197717811061,high,low,high,low,high
1,4,4,5,5,5,4,5,2,4,2,1,5,5,5,4,4,1,2,5,2,4,4,2,4,5,4,4,5,4,1,4,4,2,4,4,4,1,2,5,1,4,4,5,5,5,4,5,5,5,14,21,35,39,38,20.67768365504791,30.98663404708369,69.95048953996736,39.95918612564645,30.8161494512681,low,low,high,low,low
1,4,4,5,5,4,4,4,2,4,2,1,5,5,5,5,4,1,2,5,1,4,4,5,5,4,4,4,5,5,1,4,4,2,3,5,4,2,5,4,1,4,4,5,5,5,4,4,5,5,13,15,35,38,36,90.09761252623504,10.931204393400838,69.95048953996736,11.2864545014926,47.73568682836604,high,low,high,low,low
1,4,4,5,4,5,4,4,2,4,2,1,5,5,5,5,4,1,2,4,1,4,4,2,5,5,5,4,5,5,1,4,4,2,4,5,4,1,5,5,1,4,4,2,4,5,4,5,4,5,11,22,36,40,37,2.7646869376889143,41.11702373882272,42.497643648784006,70.57756950620531,79.89197717811061,low,low,low,high,high
1,4,4,5,5,5,4,5,2,4,2,1,4,4,5,5,4,2,5,4,2,4,4,2,5,5,4,4,5,5,1,4,4,2,5,5,4,1,5,5,1,4,5,2,4,5,4,4,5,5,12,25,35,37,39,85.53303766911806,35.775960982566446,69.95048953996736,38.44590142622035,71.01555044068938,high,low,high,low,high
1,4,4,5,5,4,4,5,2,4,2,1,4,5,5,5,4,5,2,4,2,4,4,2,5,4,5,4,5,4,1,4,4,5,5,5,4,2,2,5,1,4,4,5,5,5,4,5,5,5,14,18,36,33,41,20.67768365504791,6.304876883726748,42.497643648784006,73.79648807641964,85.01508360245474,low,low,low,high,high
1,4,4,5,4,5,2,4,2,4,2,1,4,5,5,4,5,1,5,5,2,4,4,5,5,4,5,4,5,5,1,4,4,5,5,5,4,2,2,4,1,4,4,5,4,4,4,5,5,5,15,18,35,38,36,68.10647851313007,6.304876883726748,69.95048953996736,11.2864545014926,47.73568682836604,high,low,high,low,low
1,4,4,5,5,5,3,4,2,4,2,1,4,5,5,5,4,1,5,5,2,4,5,5,5,4,5,4,5,5,1,4,4,5,4,5,4,2,2,5,1,4,5,5,5,5,4,4,5,5,13,18,35,39,38,90.09761252623504,6.304876883726748,69.95048953996736,39.95918612564645,30.8161494512681,high,low,high,low,low
1,4,4,5,5,5,4,5,2,4,2,1,4,5,5,4,4,5,2,4,2,4,4,2,5,5,4,5,4,5,1,4,4,5,4,4,4,2,5,4,1,4,4,2,5,4,4,5,5,5,15,19,35,32,38,68.10647851313007,8.820583429606408,69.95048953996736,75.56111690555193,30.8161494512681,high,low,high,high,low
1,4,5,5,5,5,4,4,2,4,2,1,4,5,5,5,4,1,2,4,2,4,4,2,5,5,4,4,5,5,1,4,4,5,3,5,4,1,5,5,1,4,4,5,5,4,4,4,5,5,13,15,35,39,38,90.09761252623504,10.931204393400838,69.95048953996736,39.95918612564645,30.8161494512681,high,low,high,low,low
