EXT1,AGR1,CSN1,EST1,OPN1,EXT2,AGR2,CSN2,EST2,OPN2,EXT3,AGR3,CSN3,EST3,OPN3,EXT4,AGR4,CSN4,EST4,OPN4,EXT5,AGR5,CSN5,EST5,OPN5,EXT6,AGR6,CSN6,EST6,OPN6,EXT7,AGR7,CSN7,EST7,OPN7,EXT8,AGR8,CSN8,EST8,OPN8,EXT9,AGR9,CSN9,EST9,OPN9,EXT10,AGR10,CSN10,EST10,OPN10,EXT_Score,EST_Score,AGR_Score,CSN_Score,OPN_Score,EXT_position,EST_position,AGR_position,CSN_position,OPN_position,EXT_high_or_low,EST_high_or_low,AGR_high_or_low,CSN_high_or_low,OPN_high_or_low
1,5,5,5,5,5,4,5,2,4,2,1,5,5,5,5,4,5,5,5,1,5,5,5,5,5,5,1,5,5,1,4,4,2,4,5,5,1,2,5,1,5,4,4,5,5,4,5,4,5,11,23,36,40,38,2.7646869376889143,26.6900479740304,42.497643648784006,70.57756950620531,30.8161494512681,low,low,low,high,low
1,5,5,5,5,5,5,5,5,3,2,1,5,4,5,5,5,5,5,4,2,5,5,5,5,5,5,5,5,5,1,5,4,2,4,5,5,1,3,5,1,5,5,2,5,5,2,5,3,5,12,29,35,37,40,85.53303766911806,57.0615192334398,69.95048953996736,38.44590142622035,26.276393842068824,high,high,high,low,low
1,1,5,2,5,5,5,1,5,4,2,1,5,5,5,5,5,5,5,4,1,5,5,5,5,5,5,1,4,5,1,5,4,4,4,5,5,1,2,1,1,5,5,4,5,5,5,5,5,5,11,27,42,45,35,2.7646869376889143,98.45903986936408,16.87236110823851,37.194794655194656,84.2564222266214,low,high,low,low,high
1,4,4,4,5,5,4,5,5,4,2,1,5,5,5,5,4,5,5,5,2,5,5,4,5,5,5,1,5,4,1,5,5,2,5,5,4,1,5,5,1,5,5,5,5,5,4,5,5,5,12,23,35,41,40,85.53303766911806,26.6900479740304,69.95048953996736,91.30045964853188,26.276393842068824,high,low,high,high,low
1,1,2,5,5,5,4,5,2,5,2,1,5,4,5,5,5,5,5,5,1,5,5,2,5,5,5,4,4,5,1,4,4,4,4,5,5,1,5,1,1,4,5,5,5,5,5,5,5,5,11,21,41,35,33,2.7646869376889143,30.98663404708369,17.451969338379914,63.65201444637811,5.180525557423565,low,low,low,high,low
1,5,5,5,5,5,4,4,4,4,2,1,5,5,5,5,5,5,5,5,1,5,5,2,3,5,5,5,4,4,1,4,5,2,5,5,5,2,4,5,1,5,5,5,5,5,5,5,3,4,11,27,38,38,37,2.7646869376889143,98.45903986936408,31.89952932069128,11.2864545014926,79.89197717811061,low,high,low,low,high
1,4,5,5,5,5,5,5,5,4,1,1,5,4,5,5,4,5,5,5,1,5,5,5,3,5,5,4,5,5,1,5,4,2,4,5,2,1,2,5,1,4,5,5,5,5,2,5,5,5,10,25,31,38,36,9.353015390888382,35.775960982566446,72.65224195615069,11.2864545014926,47.73568682836604,low,low,high,low,low
1,5,5,4,4,5,4,5,2,2,2,1,5,4,4,5,4,5,5,4,1,5,5,5,5,5,5,5,4,5,1,5,5,4,4,5,5,5,4,1,1,4,5,5,5,5,5,5,5,5,11,20,35,34,35,2.7646869376889143,71.25704566249172,69.95048953996736,19.967478906101498,84.2564222266214,low,high,high,low,high
1,4,5,5,5,5,4,5,4,4,2,1,5,4,5,5,5,5,5,4,5,4,5,5,5,5,4,4,5,5,1,4,5,2,5,5,4,1,4,5,1,4,5,2,5,5,5,5,5,5,15,25,37,39,40,68.10647851313007,35.775960982566446,67.33806671847192,39.95918612564645,26.276393842068824,high,low,high,low,low
1,4,5,4,5,5,4,1,5,5,2,1,5,5,5,5,4,5,5,5,2,5,2,4,4,5,5,1,5,5,1,5,5,4,4,5,4,2,4,1,1,4,5,5,5,5,2,5,5,5,12,22,32,42,32,85.53303766911806,41.11702373882272,70.24063836681471,10.086562051566911,34.399379124845744,high,low,high,low,low
1,4,5,5,5,5,4,5,5,5,2,1,5,4,5,5,4,5,5,5,1,5,5,5,5,5,5,5,5,4,1,4,5,5,4,5,2,5,3,4,1,4,5,2,5,5,5,5,5,4,11,24,34,34,36,2.7646869376889143,55.88683998774796,63.54239610140829,19.967478906101498,47.73568682836604,low,high,high,low,low
1,4,5,4,5,5,4,5,5,4,1,1,5,5,5,5,4,5,5,5,1,5,5,2,4,5,5,5,4,5,1,5,5,5,5,5,2,5,4,5,1,5,4,5,5,5,4,5,5,5,10,24,33,33,38,9.353015390888382,55.88683998774796,64.5474771529959,73.79648807641964,30.8161494512681,low,high,high,high,low
1,5,5,5,5,5,4,5,3,2,2,1,4,4,5,5,5,1,5,5,1,5,2,5,5,5,5,5,5,5,1,4,4,2,5,5,2,5,3,5,1,4,5,4,5,5,5,5,5,5,11,23,34,33,41,2.7646869376889143,26.6900479740304,63.54239610140829,73.79648807641964,85.01508360245474,low,low,high,high,high
1,5,5,2,5,5,4,5,4,5,2,1,5,4,5,5,5,5,5,4,2,4,5,2,5,5,5,4,5,5,1,5,4,2,5,5,5,1,3,4,1,5,5,4,5,5,2,5,3,5,12,32,35,38,38,85.53303766911806,94.62417059884316,69.95048953996736,11.2864545014926,30.8161494512681,high,high,high,low,low
