EXT1,AGR1,CSN1,EST1,OPN1,EXT2,AGR2,CSN2,EST2,OPN2,EXT3,AGR3,CSN3,EST3,OPN3,EXT4,AGR4,CSN4,EST4,OPN4,EXT5,AGR5,CSN5,EST5,OPN5,EXT6,AGR6,CSN6,EST6,OPN6,EXT7,AGR7,CSN7,EST7,OPN7,EXT8,AGR8,CSN8,EST8,OPN8,EXT9,AGR9,CSN9,EST9,OPN9,EXT10,AGR10,CSN10,EST10,OPN10,EXT_Score,EST_Score,AGR_Score,CSN_Score,OPN_Score,EXT_position,EST_position,AGR_position,CSN_position,OPN_position,EXT_high_or_low,EST_high_or_low,AGR_high_or_low,CSN_high_or_low,OPN_high_or_low
5,5,5,5,5,5,5,5,5,5,5,1,4,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,2,5,5,4,5,5,5,5,2,5,1,5,5,5,5,5,4,30,25,34,36,37,0.3554470862498411,35.775960982566446,63.54239610140829,84.74601143852163,79.89197717811061,low,low,high,high,high
2,5,4,5,5,5,5,2,5,5,4,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,4,4,5,5,5,5,5,3,1,4,4,5,2,1,5,28,26,33,34,37,17.408831121761065,65.1757389881823,64.5474771529959,19.967478906101498,79.89197717811061,low,high,high,low,high
5,5,5,5,4,5,5,1,5,5,5,1,5,5,5,5,4,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,4,2,5,5,4,5,5,5,5,3,5,1,4,5,5,4,1,4,30,29,34,35,35,0.3554470862498411,57.0615192334398,63.54239610140829,63.65201444637811,84.2564222266214,low,high,high,high,high
5,5,5,5,5,4,5,5,5,5,5,5,4,5,5,2,4,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,1,4,5,5,5,5,5,4,3,5,1,5,5,5,5,5,5,31,26,31,33,37,69.54963898828078,65.1757389881823,72.65224195615069,73.79648807641964,79.89197717811061,high,high,high,high,high
5,5,4,5,5,5,4,5,5,5,5,1,5,5,3,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,4,5,5,4,4,5,5,5,5,5,3,1,4,5,5,4,1,5,31,26,36,28,35,69.54963898828078,65.1757389881823,42.497643648784006,55.48786072856311,84.2564222266214,high,high,low,high,high
5,5,5,5,5,5,4,5,5,5,5,1,5,5,3,2,5,5,5,5,5,5,4,5,5,5,4,5,5,5,5,5,5,5,4,5,5,5,5,4,5,5,5,1,5,4,5,4,5,4,34,22,36,32,33,85.44154131469132,41.11702373882272,42.497643648784006,75.56111690555193,5.180525557423565,high,low,low,high,low
5,5,5,5,4,5,5,5,5,5,5,1,4,5,5,5,4,5,5,5,5,5,5,5,5,5,4,1,5,5,5,5,5,2,5,5,4,5,5,5,5,4,5,1,4,5,5,5,5,4,30,25,34,37,35,0.3554470862498411,35.775960982566446,63.54239610140829,38.44590142622035,84.2564222266214,low,low,high,low,high
5,5,5,5,5,5,4,5,5,5,4,1,5,5,5,2,5,5,5,5,5,5,5,5,5,5,5,4,5,5,2,5,4,5,5,5,4,5,5,5,5,3,3,1,4,4,5,5,1,4,30,26,34,32,36,0.3554470862498411,65.1757389881823,63.54239610140829,75.56111690555193,47.73568682836604,low,high,high,high,low
5,5,5,5,5,5,4,5,5,5,5,1,4,5,5,2,4,1,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,4,4,5,5,5,5,4,3,5,1,5,4,5,5,1,5,34,26,34,38,37,85.44154131469132,65.1757389881823,63.54239610140829,11.2864545014926,79.89197717811061,high,high,high,low,high
5,5,5,5,5,5,4,2,5,5,4,1,5,5,5,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,5,5,5,4,5,5,1,4,5,5,2,1,5,31,26,36,33,37,69.54963898828078,65.1757389881823,42.497643648784006,73.79648807641964,79.89197717811061,high,high,low,high,high
5,5,4,5,5,5,4,5,5,5,5,5,5,5,5,1,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,1,5,5,5,5,5,5,5,4,5,1,4,4,5,4,5,5,35,26,32,35,37,98.82857089391642,65.1757389881823,70.24063836681471,63.65201444637811,79.89197717811061,high,high,high,high,high
5,5,5,5,5,5,4,5,5,5,5,5,4,5,5,2,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,4,5,4,5,4,5,5,5,5,2,5,1,4,4,5,2,5,5,34,22,29,28,36,85.44154131469132,41.11702373882272,84.55011666031412,55.48786072856311,47.73568682836604,high,low,high,high,low
