EXT1,AGR1,CSN1,EST1,OPN1,EXT2,AGR2,CSN2,EST2,OPN2,EXT3,AGR3,CSN3,EST3,OPN3,EXT4,AGR4,CSN4,EST4,OPN4,EXT5,AGR5,CSN5,EST5,OPN5,EXT6,AGR6,CSN6,EST6,OPN6,EXT7,AGR7,CSN7,EST7,OPN7,EXT8,AGR8,CSN8,EST8,OPN8,EXT9,AGR9,CSN9,EST9,OPN9,EXT10,AGR10,CSN10,EST10,OPN10,EXT_Score,EST_Score,AGR_Score,CSN_Score,OPN_Score,EXT_position,EST_position,AGR_position,CSN_position,OPN_position,EXT_high_or_low,EST_high_or_low,AGR_high_or_low,CSN_high_or_low,OPN_high_or_low
2,1,2,2,5,5,2,1,2,5,2,1,2,2,5,1,3,5,2,5,5,4,1,1,5,5,4,2,1,5,2,5,1,3,4,1,2,1,2,5,1,2,2,2,4,1,2,2,2,5,29,37,28,25,36,1.4695555483330232,72.51416026733875,16.684345456354073,62.72533070170514,47.73568682836604,low,high,low,high,low
5,1,1,2,5,4,2,2,1,5,2,1,5,2,5,1,2,5,2,5,5,2,1,2,5,5,2,2,1,5,2,5,1,5,5,2,2,1,1,5,2,4,2,2,4,2,2,2,2,5,32,34,29,26,37,72.08839197865544,27.09730031585448,84.55011666031412,16.971441121751216,79.89197717811061,high,low,high,low,high
2,1,2,2,5,5,4,2,1,5,2,1,4,2,5,1,2,1,2,5,5,5,1,2,5,5,2,1,1,5,2,5,1,2,5,1,2,1,1,4,1,2,1,1,5,2,3,2,1,5,28,39,27,30,37,17.408831121761065,58.10382915690394,25.538415172833563,96.12317438180868,79.89197717811061,low,high,low,high,high
2,1,2,2,5,5,3,1,2,5,2,1,4,2,5,1,2,1,2,5,5,5,1,5,5,5,2,2,1,5,2,5,2,5,5,2,2,1,2,5,2,3,2,1,4,2,2,2,1,5,28,33,26,32,37,17.408831121761065,43.820548958428745,30.776359863336555,75.56111690555193,79.89197717811061,low,low,low,high,high
2,1,1,1,5,5,2,1,1,5,2,1,3,2,5,1,2,2,2,5,4,5,1,2,5,5,2,2,1,5,2,5,1,2,4,1,2,1,1,5,1,2,2,1,4,2,2,2,2,5,27,39,24,28,36,19.23934914477008,58.10382915690394,93.15569843037956,55.48786072856311,47.73568682836604,low,high,high,high,low
2,1,2,2,5,5,2,1,2,5,2,1,4,2,5,1,3,2,2,5,5,5,1,2,5,5,2,1,1,5,5,5,2,3,4,2,2,1,2,4,2,2,1,2,5,2,2,2,1,5,31,37,25,31,36,69.54963898828078,72.51416026733875,97.12618716273646,85.8815905198352,47.73568682836604,high,high,high,high,low
2,1,2,2,5,5,3,5,2,5,2,1,3,2,5,1,3,2,1,5,5,5,1,1,5,5,5,2,1,5,2,5,2,3,4,2,2,1,1,4,2,2,2,2,4,2,2,2,1,5,28,38,29,26,35,17.408831121761065,3.351090914283969,84.55011666031412,16.971441121751216,84.2564222266214,low,low,high,low,high
2,1,1,2,5,5,4,2,1,5,2,1,4,2,5,2,2,2,2,5,2,5,1,5,5,5,5,2,1,5,2,5,1,2,4,1,2,1,1,4,1,2,2,1,4,2,2,2,1,5,24,36,29,28,35,90.69622914863086,99.6997067980117,84.55011666031412,55.48786072856311,84.2564222266214,high,high,high,high,high
2,1,1,2,5,5,4,2,2,5,2,1,4,2,5,1,2,1,5,5,5,5,1,2,5,5,2,5,1,5,2,5,1,2,4,1,2,1,2,5,1,2,2,1,4,2,2,2,1,5,28,42,26,26,36,17.408831121761065,60.86211430445535,30.776359863336555,16.971441121751216,47.73568682836604,low,high,low,low,low
2,1,2,2,5,5,4,2,2,5,2,1,4,2,5,1,2,1,2,5,5,2,1,2,5,5,2,5,1,5,3,5,2,5,4,1,2,1,1,4,1,2,2,2,4,2,2,2,1,5,29,36,29,28,35,1.4695555483330232,99.6997067980117,84.55011666031412,55.48786072856311,84.2564222266214,low,high,high,high,high
5,1,2,2,5,5,2,1,2,5,2,1,3,2,5,1,3,1,1,5,2,5,1,2,5,5,2,2,1,5,2,5,1,2,5,1,2,1,2,5,1,2,1,2,4,2,2,2,1,5,28,37,25,29,37,17.408831121761065,72.51416026733875,97.12618716273646,17.22022453540239,79.89197717811061,low,high,high,low,high
2,1,2,2,5,5,4,1,2,5,2,1,3,2,5,1,3,1,1,5,5,4,1,1,5,5,2,5,1,5,2,5,1,5,5,1,2,1,1,4,2,3,2,1,4,2,2,2,1,5,29,37,29,27,36,1.4695555483330232,72.51416026733875,84.55011666031412,26.729640583803864,47.73568682836604,low,high,high,low,low
2,1,1,2,5,5,2,2,2,5,2,1,4,1,5,1,3,1,2,5,5,5,1,2,5,5,5,2,1,5,2,5,2,5,4,1,2,1,2,4,2,2,2,2,4,2,2,2,2,5,29,35,28,30,35,1.4695555483330232,53.631637055925054,16.684345456354073,96.12317438180868,84.2564222266214,low,high,low,high,high
2,1,2,1,5,5,2,5,1,5,2,1,4,2,5,2,3,1,5,5,4,5,1,2,5,5,4,1,1,5,2,5,1,3,4,1,2,1,2,4,1,3,2,2,4,2,2,2,2,5,26,39,28,28,35,37.74308335820182,58.10382915690394,16.684345456354073,55.48786072856311,84.2564222266214,low,high,low,high,high
