EXT1,AGR1,CSN1,EST1,OPN1,EXT2,AGR2,CSN2,EST2,OPN2,EXT3,AGR3,CSN3,EST3,OPN3,EXT4,AGR4,CSN4,EST4,OPN4,EXT5,AGR5,CSN5,EST5,OPN5,EXT6,AGR6,CSN6,EST6,OPN6,EXT7,AGR7,CSN7,EST7,OPN7,EXT8,AGR8,CSN8,EST8,OPN8,EXT9,AGR9,CSN9,EST9,OPN9,EXT10,AGR10,CSN10,EST10,OPN10,EXT_Score,EST_Score,AGR_Score,CSN_Score,OPN_Score,EXT_position,EST_position,AGR_position,CSN_position,OPN_position,EXT_high_or_low,EST_high_or_low,AGR_high_or_low,CSN_high_or_low,OPN_high_or_low
5,5,2,4,4,5,5,2,5,3,5,1,2,4,4,1,5,1,4,4,5,4,2,2,2,5,5,5,4,3,5,5,2,2,3,1,4,4,4,4,5,4,2,4,2,1,5,2,4,4,42,29,37,24,31,31.68718686628433,57.0615192334398,67.33806671847192,75.94729258446176,32.83113751931617,low,high,high,high,low
5,4,2,4,4,5,5,2,5,4,5,1,4,4,3,1,5,2,5,5,5,4,2,2,2,5,5,4,2,5,5,5,2,3,5,1,4,2,2,5,5,5,2,4,2,1,5,2,1,2,42,36,39,28,27,31.68718686628433,99.6997067980117,61.20948528622405,55.48786072856311,23.92230787489129,low,high,high,high,low
5,5,2,3,4,5,5,5,5,4,5,1,2,5,5,2,5,2,4,2,5,4,2,5,4,5,5,2,4,5,5,5,2,3,4,5,4,4,4,5,5,4,2,4,4,5,5,2,5,4,33,24,37,23,37,16.75033313930985,55.88683998774796,67.33806671847192,22.402818363485764,79.89197717811061,low,high,high,low,high
5,4,2,3,2,5,5,2,5,2,5,1,2,4,2,1,4,5,5,2,5,4,2,4,3,5,4,4,4,1,5,5,2,5,2,5,5,5,3,2,5,5,2,4,2,1,5,2,1,2,38,30,38,20,28,31.573038023678745,26.384928807169217,31.89952932069128,68.203588745062,76.34765069075316,low,low,low,high,high
5,4,2,2,5,5,5,5,4,4,5,1,2,1,2,1,4,5,5,2,5,4,2,4,3,5,5,4,2,1,5,5,2,5,4,5,4,2,2,1,5,4,2,4,2,1,5,2,2,2,38,35,37,20,30,31.573038023678745,53.631637055925054,67.33806671847192,68.203588745062,23.34368453554028,low,high,high,high,low
5,4,2,4,4,5,5,2,4,3,5,1,3,2,4,1,5,1,4,4,5,4,2,4,2,5,5,4,4,3,5,5,2,4,3,5,4,2,3,4,5,4,2,4,2,1,5,2,4,2,38,27,38,28,29,31.573038023678745,98.45903986936408,31.89952932069128,55.48786072856311,74.38180867314527,low,high,low,high,high
5,5,2,4,4,5,5,4,5,2,5,1,2,5,3,1,5,2,5,2,5,4,2,1,4,5,5,4,4,1,5,5,2,5,3,1,5,2,4,4,5,5,2,4,2,1,5,2,2,5,42,29,39,24,38,31.68718686628433,57.0615192334398,61.20948528622405,75.94729258446176,30.8161494512681,low,high,high,high,low
5,4,2,4,5,5,5,4,5,4,5,1,2,5,3,1,5,4,4,4,5,4,2,2,5,5,5,4,4,5,5,5,2,5,3,5,4,2,3,4,5,5,2,4,5,5,5,2,4,4,34,26,39,22,34,85.44154131469132,65.1757389881823,61.20948528622405,88.29861100851832,47.69983680359604,high,high,high,high,low
5,4,2,4,5,5,5,2,5,4,5,1,2,4,2,1,4,2,5,4,5,4,2,4,3,5,5,2,4,1,5,5,2,4,4,5,4,5,2,2,5,4,2,3,2,1,5,2,2,4,38,31,37,25,31,31.573038023678745,57.26086112941366,67.33806671847192,62.72533070170514,32.83113751931617,low,high,high,high,low
5,4,2,2,3,5,5,2,5,2,5,1,2,2,4,1,5,5,4,2,5,4,2,2,4,5,5,4,4,2,5,5,2,3,5,5,5,2,4,5,5,4,2,2,2,1,5,2,2,4,38,36,39,23,39,31.573038023678745,99.6997067980117,61.20948528622405,22.402818363485764,71.01555044068938,low,high,high,low,high
