EXT1,AGR1,CSN1,EST1,OPN1,EXT2,AGR2,CSN2,EST2,OPN2,EXT3,AGR3,CSN3,EST3,OPN3,EXT4,AGR4,CSN4,EST4,OPN4,EXT5,AGR5,CSN5,EST5,OPN5,EXT6,AGR6,CSN6,EST6,OPN6,EXT7,AGR7,CSN7,EST7,OPN7,EXT8,AGR8,CSN8,EST8,OPN8,EXT9,AGR9,CSN9,EST9,OPN9,EXT10,AGR10,CSN10,EST10,OPN10,EXT_Score,EST_Score,AGR_Score,CSN_Score,OPN_Score,EXT_position,EST_position,AGR_position,CSN_position,OPN_position,EXT_high_or_low,EST_high_or_low,AGR_high_or_low,CSN_high_or_low,OPN_high_or_low
5,5,5,5,4,5,5,5,5,5,5,5,2,1,4,1,2,5,5,4,5,5,5,5,5,5,2,1,5,2,5,5,4,5,2,5,2,2,2,5,5,1,4,5,2,2,5,5,1,4,37,29,21,36,33,80.7216491799307,57.0615192334398,6.37559204247637,84.74601143852163,5.180525557423565,high,high,low,high,low
5,5,2,4,5,5,5,5,5,2,5,1,2,5,5,1,2,5,5,2,5,5,2,4,5,5,4,2,4,5,5,4,2,5,4,5,2,2,3,2,5,1,2,2,2,5,5,2,1,4,34,30,28,22,36,85.44154131469132,26.384928807169217,16.684345456354073,88.29861100851832,47.73568682836604,high,low,low,high,low
5,5,2,1,5,5,5,4,5,5,5,5,2,5,4,1,2,4,5,4,5,5,2,5,5,5,1,4,2,2,5,2,2,5,2,5,2,2,2,5,5,2,2,4,4,1,2,2,1,2,38,33,21,22,34,31.573038023678745,43.820548958428745,6.37559204247637,88.29861100851832,47.69983680359604,low,low,low,high,low
5,4,2,4,5,5,5,4,4,4,5,1,2,1,4,1,2,5,5,5,5,2,2,2,4,5,2,4,4,1,5,5,2,4,5,5,2,2,4,1,5,2,2,4,2,1,5,2,2,2,38,32,30,21,31,31.573038023678745,94.62417059884316,29.734837852504725,29.236778579807176,32.83113751931617,low,high,low,low,low
5,5,2,2,5,5,5,2,5,5,5,2,2,1,5,1,2,5,5,5,5,5,2,2,4,5,1,3,3,5,5,5,2,5,3,5,2,2,4,1,5,1,5,2,2,5,5,2,1,5,34,38,23,27,28,85.44154131469132,3.351090914283969,88.30895236181736,26.729640583803864,76.34765069075316,high,low,high,low,high
5,5,2,2,4,5,5,5,4,4,5,1,2,1,4,1,2,5,4,5,5,5,2,4,5,5,2,5,4,5,5,4,2,2,5,5,2,4,4,2,5,2,2,2,2,1,5,2,1,5,38,36,27,17,31,31.573038023678745,99.6997067980117,25.538415172833563,5.486925082312248,32.83113751931617,low,high,low,low,low
5,5,2,4,4,5,5,4,5,2,5,5,2,2,5,1,2,5,5,4,5,5,2,2,5,5,2,2,2,5,5,5,2,3,4,5,2,2,4,5,5,1,2,2,2,5,5,2,1,4,34,38,21,23,36,85.44154131469132,3.351090914283969,6.37559204247637,22.402818363485764,47.73568682836604,high,low,low,low,low
5,5,2,4,5,5,5,5,4,4,5,5,2,2,4,1,2,5,4,5,5,2,2,4,2,5,2,5,3,1,5,5,2,5,4,1,2,5,2,5,5,2,2,5,2,1,4,2,4,2,42,27,24,16,32,31.68718686628433,98.45903986936408,93.15569843037956,22.994146794032744,34.399379124845744,low,high,high,low,low
5,5,2,2,5,5,2,2,4,4,5,5,2,1,2,1,1,5,5,4,5,5,2,1,2,5,1,2,4,5,5,5,2,5,5,5,1,2,1,1,5,1,2,5,2,1,2,2,1,2,38,37,12,25,24,31.573038023678745,72.51416026733875,65.8953986887164,62.72533070170514,96.41095947075908,low,high,high,high,high
5,4,2,4,5,5,5,2,4,3,5,1,4,5,2,1,2,5,5,5,5,5,2,4,4,5,2,4,2,2,5,4,2,2,5,5,2,5,2,2,5,2,2,2,2,1,5,2,1,3,38,35,28,22,31,31.573038023678745,53.631637055925054,16.684345456354073,88.29861100851832,32.83113751931617,low,high,low,high,low
