EXT1,AGR1,CSN1,EST1,OPN1,EXT2,AGR2,CSN2,EST2,OPN2,EXT3,AGR3,CSN3,EST3,OPN3,EXT4,AGR4,CSN4,EST4,OPN4,EXT5,AGR5,CSN5,EST5,OPN5,EXT6,AGR6,CSN6,EST6,OPN6,EXT7,AGR7,CSN7,EST7,OPN7,EXT8,AGR8,CSN8,EST8,OPN8,EXT9,AGR9,CSN9,EST9,OPN9,EXT10,AGR10,CSN10,EST10,OPN10,EXT_Score,EST_Score,AGR_Score,CSN_Score,OPN_Score,EXT_position,EST_position,AGR_position,CSN_position,OPN_position,EXT_high_or_low,EST_high_or_low,AGR_high_or_low,CSN_high_or_low,OPN_high_or_low
5,4,5,5,5,5,5,5,2,4,5,1,4,4,5,1,4,1,2,5,5,4,5,5,5,5,4,5,5,5,5,5,4,5,5,2,4,5,5,5,5,4,4,2,3,1,5,4,2,5,41,19,36,34,37,23.17901079538796,8.820583429606408,42.497643648784006,19.967478906101498,79.89197717811061,low,low,low,low,high
5,5,4,4,4,5,5,1,2,2,5,1,3,2,5,1,5,5,2,4,5,4,2,2,5,5,4,2,2,5,5,5,4,5,5,5,4,1,5,4,5,4,4,2,4,1,5,4,2,5,38,28,36,36,39,31.573038023678745,96.961119466268,42.497643648784006,84.74601143852163,71.01555044068938,low,high,low,high,high
5,4,5,4,5,5,5,5,2,4,5,1,4,2,5,1,4,2,2,4,5,4,2,5,5,5,5,4,5,5,5,5,4,5,5,1,4,5,5,4,5,5,4,2,4,1,5,4,4,5,42,20,38,31,38,31.68718686628433,71.25704566249172,31.89952932069128,85.8815905198352,30.8161494512681,low,high,low,high,low
5,4,4,2,5,5,5,2,2,4,5,1,4,2,5,1,4,2,2,5,5,5,4,2,5,5,4,2,2,5,5,5,4,4,4,1,4,1,5,4,5,5,4,2,2,1,5,2,2,5,42,31,36,39,34,31.68718686628433,57.26086112941366,42.497643648784006,39.95918612564645,47.69983680359604,low,high,low,low,low
5,4,4,4,5,5,5,4,5,4,5,1,4,2,5,1,4,1,2,5,5,4,4,2,5,5,4,4,5,5,5,5,4,5,4,5,5,5,5,4,5,4,4,5,3,1,5,4,5,5,38,22,37,34,35,31.573038023678745,41.11702373882272,67.33806671847192,19.967478906101498,84.2564222266214,low,low,high,low,high
5,5,4,5,4,5,5,5,2,5,5,1,5,4,4,1,5,5,2,5,5,4,4,5,5,5,5,5,4,5,5,5,4,5,5,5,4,5,5,5,5,4,4,5,5,2,5,4,2,5,37,17,37,29,36,80.7216491799307,86.45115286391469,67.33806671847192,17.22022453540239,47.73568682836604,high,high,high,low,low
5,4,4,5,4,5,5,2,2,2,5,1,4,2,5,1,4,5,2,4,5,2,4,2,5,5,4,5,4,5,5,5,2,5,4,1,4,4,5,4,5,2,2,5,2,1,4,4,2,5,42,22,35,28,36,31.68718686628433,41.11702373882272,69.95048953996736,55.48786072856311,47.73568682836604,low,low,high,high,low
5,4,5,5,5,5,5,1,2,4,5,1,3,4,5,1,4,2,2,5,5,4,5,5,5,5,5,3,4,5,5,5,4,4,4,1,4,4,5,4,5,4,4,2,2,1,5,4,2,5,42,21,37,39,34,31.68718686628433,30.98663404708369,67.33806671847192,39.95918612564645,47.69983680359604,low,low,high,low,low
5,4,4,4,5,5,5,1,2,4,5,1,4,2,4,1,4,5,2,4,5,4,4,2,5,5,5,4,5,5,5,5,4,5,4,1,4,1,5,5,5,4,4,2,4,1,5,5,2,5,42,25,37,38,37,31.68718686628433,35.775960982566446,67.33806671847192,11.2864545014926,79.89197717811061,low,low,high,low,high
5,5,4,5,5,5,5,4,2,4,5,1,4,5,5,1,5,2,2,5,5,5,4,2,4,5,5,4,5,5,5,5,4,5,5,5,4,4,5,5,5,5,4,5,4,1,5,5,5,5,38,15,37,35,37,31.573038023678745,10.931204393400838,67.33806671847192,63.65201444637811,79.89197717811061,low,low,high,high,high
5,5,4,5,4,5,5,5,2,4,5,1,4,4,4,1,5,1,2,4,5,4,2,4,5,5,5,4,5,5,5,5,4,5,4,2,4,1,5,4,5,5,4,2,5,2,5,4,4,5,40,18,38,35,36,27.42970095760932,6.304876883726748,31.89952932069128,63.65201444637811,47.73568682836604,low,low,low,high,low
5,5,4,5,5,5,5,4,2,4,5,1,5,4,5,1,5,5,2,5,5,4,5,2,5,5,5,4,5,5,5,5,4,5,5,1,4,1,5,5,5,4,4,5,3,1,5,4,5,5,42,16,37,36,37,31.68718686628433,46.41711503819899,67.33806671847192,84.74601143852163,79.89197717811061,low,low,high,high,high
5,4,4,2,4,5,5,4,2,4,5,1,4,2,5,1,4,5,2,4,5,4,5,2,5,5,4,1,5,5,5,5,4,5,3,1,4,1,5,5,5,4,4,2,3,1,4,5,2,5,42,27,35,39,35,31.68718686628433,98.45903986936408,69.95048953996736,39.95918612564645,84.2564222266214,low,high,high,low,high
5,5,4,2,5,5,5,1,2,4,5,1,4,5,5,1,4,1,2,4,5,4,4,2,5,5,5,4,5,5,5,5,4,5,4,1,4,1,4,5,5,4,4,2,3,1,5,4,5,5,42,22,36,41,37,31.68718686628433,41.11702373882272,42.497643648784006,91.30045964853188,79.89197717811061,low,low,low,high,high
5,4,5,5,5,5,5,2,2,4,5,1,3,4,5,1,4,5,2,5,5,4,4,2,5,5,5,4,5,5,5,5,4,5,4,1,4,4,5,4,5,4,4,5,3,1,5,4,5,5,42,16,37,33,35,31.68718686628433,46.41711503819899,67.33806671847192,73.79648807641964,84.2564222266214,low,low,high,high,high
5,5,4,2,5,5,5,4,2,4,5,1,4,1,5,1,5,1,2,5,5,4,5,2,4,5,4,4,5,5,5,5,4,5,4,1,4,1,5,4,5,5,4,5,3,1,5,4,2,5,42,25,37,39,34,31.68718686628433,35.775960982566446,67.33806671847192,39.95918612564645,47.69983680359604,low,low,high,low,low
5,4,4,2,5,5,5,4,2,4,5,1,3,2,5,1,4,1,2,5,5,4,4,2,5,5,4,4,2,5,5,5,4,5,4,1,4,1,5,4,5,4,4,2,3,1,5,4,2,5,42,30,36,37,35,31.68718686628433,26.384928807169217,42.497643648784006,38.44590142622035,84.2564222266214,low,low,low,low,high
5,4,4,2,5,5,5,5,2,3,5,1,4,2,5,1,4,1,5,4,5,4,4,2,5,5,4,1,2,5,5,5,4,2,4,1,4,1,5,5,5,3,4,5,2,1,4,4,2,5,42,33,34,40,37,31.68718686628433,43.820548958428745,63.54239610140829,70.57756950620531,79.89197717811061,low,low,high,high,high
5,5,4,2,5,5,5,1,2,4,5,1,3,2,4,1,5,1,5,5,5,4,5,2,5,5,5,2,2,5,5,5,4,5,4,1,4,4,5,5,5,4,4,2,3,1,5,2,2,5,42,33,37,38,35,31.68718686628433,43.820548958428745,67.33806671847192,11.2864545014926,84.2564222266214,low,low,high,low,high
5,4,4,2,5,5,5,4,2,4,5,1,4,5,5,1,5,1,2,5,5,5,5,2,5,5,5,2,5,5,5,5,4,5,4,1,4,5,5,4,5,4,4,2,3,1,5,4,2,5,42,24,37,37,35,31.68718686628433,55.88683998774796,67.33806671847192,38.44590142622035,84.2564222266214,low,high,high,low,high
