EXT1,AGR1,CSN1,EST1,OPN1,EXT2,AGR2,CSN2,EST2,OPN2,EXT3,AGR3,CSN3,EST3,OPN3,EXT4,AGR4,CSN4,EST4,OPN4,EXT5,AGR5,CSN5,EST5,OPN5,EXT6,AGR6,CSN6,EST6,OPN6,EXT7,AGR7,CSN7,EST7,OPN7,EXT8,AGR8,CSN8,EST8,OPN8,EXT9,AGR9,CSN9,EST9,OPN9,EXT10,AGR10,CSN10,EST10,OPN10,EXT_Score,EST_Score,AGR_Score,CSN_Score,OPN_Score,EXT_position,EST_position,AGR_position,CSN_position,OPN_position,EXT_high_or_low,EST_high_or_low,AGR_high_or_low,CSN_high_or_low,OPN_high_or_low
5,4,2,5,5,5,5,4,2,3,5,1,2,5,4,1,5,5,5,2,5,4,2,5,2,5,5,4,5,5,5,5,2,5,5,5,5,4,5,1,5,4,2,5,4,1,5,2,5,2,38,15,39,19,31,31.573038023678745,10.931204393400838,61.20948528622405,54.576639769299184,32.83113751931617,low,low,high,high,low
5,5,2,5,4,5,5,4,2,3,5,1,2,4,5,1,5,4,5,3,5,4,2,5,5,5,4,4,5,5,5,4,2,5,4,5,4,4,5,4,5,4,2,4,4,5,5,2,5,2,34,17,37,20,35,85.44154131469132,86.45115286391469,67.33806671847192,68.203588745062,84.2564222266214,high,high,high,high,high
5,5,2,5,5,5,5,4,2,1,5,1,4,5,5,1,4,5,5,2,5,5,2,5,5,5,5,4,5,5,5,5,2,5,5,5,5,5,5,5,5,5,4,5,5,1,5,2,5,2,38,15,37,22,42,31.573038023678745,10.931204393400838,67.33806671847192,88.29861100851832,40.2672599648788,low,low,high,high,low
5,5,2,5,4,5,5,5,2,5,5,1,2,5,5,1,4,5,5,5,5,4,2,5,4,5,5,5,5,5,5,5,4,5,5,5,4,5,5,1,5,4,2,5,5,1,5,2,5,4,38,15,36,18,31,31.573038023678745,10.931204393400838,42.497643648784006,54.4445659143086,32.83113751931617,low,low,low,high,low
5,5,2,5,5,5,5,4,5,2,5,1,2,5,3,1,5,4,2,2,5,4,2,5,2,5,5,4,5,1,5,5,2,5,3,5,5,5,5,5,5,5,2,5,3,5,5,2,5,2,34,15,39,19,36,85.44154131469132,10.931204393400838,61.20948528622405,54.576639769299184,47.73568682836604,high,low,high,high,low
5,4,2,5,4,5,5,2,2,2,5,1,2,2,4,1,4,5,2,2,5,4,2,2,5,5,4,4,5,2,5,5,2,5,4,2,4,2,5,4,5,4,2,5,2,1,5,2,2,5,41,21,36,23,40,23.17901079538796,30.98663404708369,42.497643648784006,22.402818363485764,26.276393842068824,low,low,low,low,low
5,4,2,5,5,5,5,4,2,5,5,1,2,5,4,1,4,4,2,2,5,4,2,5,2,5,4,2,5,5,5,5,2,5,5,1,4,5,5,5,5,4,2,5,4,1,5,2,5,4,42,12,36,21,35,31.68718686628433,66.42861856263067,42.497643648784006,29.236778579807176,84.2564222266214,low,high,low,low,high
5,5,2,5,5,5,5,2,2,4,5,1,2,5,5,1,4,5,2,2,5,4,2,5,3,5,4,5,5,5,5,5,2,5,5,5,4,5,5,5,5,4,2,5,1,1,4,2,5,5,38,12,34,19,36,31.573038023678745,66.42861856263067,63.54239610140829,54.576639769299184,47.73568682836604,low,high,high,high,low
5,5,2,5,5,5,5,4,2,2,5,1,2,4,1,1,4,4,2,4,5,5,2,5,2,5,5,5,5,1,5,5,2,5,5,5,5,5,5,5,5,5,2,5,2,5,5,2,5,2,34,13,37,18,33,85.44154131469132,32.33366918109286,67.33806671847192,54.4445659143086,5.180525557423565,high,low,high,high,low
5,5,2,5,5,5,5,4,2,4,5,1,2,2,3,1,5,4,2,4,5,4,2,5,3,5,5,4,5,2,5,5,2,5,4,5,4,5,5,5,5,5,2,5,2,1,5,2,5,4,38,15,38,19,34,31.573038023678745,10.931204393400838,31.89952932069128,54.576639769299184,47.69983680359604,low,low,low,high,low
5,5,2,5,5,5,5,5,2,2,5,1,2,5,3,1,5,5,2,5,5,4,2,5,2,5,5,4,5,5,5,4,4,5,4,5,4,5,5,2,5,4,2,5,4,1,5,2,5,2,38,12,38,19,28,31.573038023678745,66.42861856263067,31.89952932069128,54.576639769299184,76.34765069075316,low,high,low,high,high
5,4,2,5,4,5,5,4,5,3,5,1,2,4,3,1,5,5,5,2,5,4,2,5,4,5,5,4,5,5,5,5,4,5,4,5,4,5,5,5,5,4,2,5,5,5,5,2,5,4,34,19,38,20,37,85.44154131469132,8.820583429606408,31.89952932069128,68.203588745062,79.89197717811061,high,low,low,high,high
5,5,2,5,5,5,5,4,2,4,5,1,4,5,2,1,5,5,5,4,5,5,2,5,4,5,5,4,5,2,5,5,2,5,3,5,4,5,5,1,5,4,2,5,2,5,5,2,5,2,34,15,36,20,27,85.44154131469132,10.931204393400838,42.497643648784006,68.203588745062,23.92230787489129,high,low,low,high,low
5,5,2,5,5,5,5,4,2,4,5,1,2,5,2,1,4,5,2,5,5,5,2,5,2,5,5,5,5,5,5,5,2,5,3,5,4,5,5,2,5,5,2,5,2,1,5,2,5,2,38,12,36,17,22,31.573038023678745,66.42861856263067,42.497643648784006,5.486925082312248,57.77605750186391,low,high,low,low,high
5,4,2,4,5,5,5,4,2,4,5,1,2,5,4,1,4,5,5,5,5,5,2,5,2,5,5,4,5,5,5,5,2,5,4,5,4,4,5,5,5,4,2,5,2,1,4,2,5,4,38,16,35,19,30,31.573038023678745,46.41711503819899,69.95048953996736,54.576639769299184,23.34368453554028,low,low,high,high,low
5,4,2,5,5,5,5,5,2,4,5,1,2,2,3,1,4,5,2,5,5,5,2,5,3,5,5,4,5,5,5,5,2,5,5,5,4,5,5,3,5,3,2,5,4,1,5,2,2,1,38,18,35,17,28,31.573038023678745,6.304876883726748,69.95048953996736,5.486925082312248,76.34765069075316,low,low,high,low,high
5,2,2,5,1,5,5,5,2,4,5,1,2,5,2,1,2,5,5,2,5,2,2,5,2,5,5,4,5,5,5,5,2,5,2,5,2,5,5,5,5,3,2,5,2,1,5,2,5,2,38,15,36,17,23,31.573038023678745,10.931204393400838,42.497643648784006,5.486925082312248,47.45568237665967,low,low,low,low,low
5,4,2,5,5,5,5,4,2,4,5,5,2,5,5,1,4,5,2,5,5,5,2,5,2,5,4,4,5,2,5,5,2,5,2,1,4,5,5,5,5,3,2,5,1,1,4,1,2,2,42,15,29,17,29,31.68718686628433,10.931204393400838,84.55011666031412,5.486925082312248,74.38180867314527,low,low,high,low,high
5,4,2,5,2,5,5,5,2,2,5,1,1,5,4,1,5,5,2,2,5,5,2,5,4,5,4,2,5,2,5,5,2,5,3,5,5,2,5,1,5,5,2,5,2,1,5,2,5,2,38,12,38,21,30,31.573038023678745,66.42861856263067,31.89952932069128,29.236778579807176,23.34368453554028,low,high,low,low,low
5,5,2,5,5,5,5,5,2,3,5,1,2,4,2,1,4,5,5,4,5,4,2,5,4,5,5,4,5,5,5,5,2,5,4,5,4,5,5,1,5,3,4,5,3,5,5,2,5,2,34,16,35,19,27,85.44154131469132,46.41711503819899,69.95048953996736,54.576639769299184,23.92230787489129,high,low,high,high,low
