EXT1,AGR1,CSN1,EST1,OPN1,EXT2,AGR2,CSN2,EST2,OPN2,EXT3,AGR3,CSN3,EST3,OPN3,EXT4,AGR4,CSN4,EST4,OPN4,EXT5,AGR5,CSN5,EST5,OPN5,EXT6,AGR6,CSN6,EST6,OPN6,EXT7,AGR7,CSN7,EST7,OPN7,EXT8,AGR8,CSN8,EST8,OPN8,EXT9,AGR9,CSN9,EST9,OPN9,EXT10,AGR10,CSN10,EST10,OPN10,EXT_Score,EST_Score,AGR_Score,CSN_Score,OPN_Score,EXT_position,EST_position,AGR_position,CSN_position,OPN_position,EXT_high_or_low,EST_high_or_low,AGR_high_or_low,CSN_high_or_low,OPN_high_or_low
1,5,4,5,4,5,4,4,5,4,4,1,5,4,3,5,5,1,4,4,2,4,4,4,4,4,5,1,1,5,1,5,4,4,4,5,5,5,4,4,1,4,5,1,5,5,5,4,4,4,15,30,37,39,33,68.10647851313007,26.384928807169217,67.33806671847192,39.95918612564645,5.180525557423565,high,low,high,low,low
1,5,5,3,4,4,4,1,4,4,4,1,5,5,5,4,5,1,4,4,2,5,5,2,5,4,5,4,4,5,1,5,4,2,4,5,4,5,2,4,1,5,4,2,5,4,4,5,4,4,18,32,35,41,36,13.51772458710916,94.62417059884316,69.95048953996736,91.30045964853188,47.73568682836604,low,high,high,high,low
1,4,4,2,4,5,4,5,4,4,4,1,5,4,5,5,4,1,4,4,2,5,5,1,4,4,5,5,5,5,1,4,5,1,4,5,4,1,5,4,1,4,4,1,5,5,5,4,2,4,15,35,36,39,35,68.10647851313007,53.631637055925054,42.497643648784006,39.95918612564645,84.2564222266214,high,high,low,low,high
1,4,4,2,5,5,4,4,5,4,4,1,4,4,4,5,5,1,5,4,2,4,4,2,4,4,5,5,2,5,1,4,4,2,4,5,4,1,1,4,1,4,4,1,5,5,5,4,2,4,15,42,38,37,35,68.10647851313007,60.86211430445535,31.89952932069128,38.44590142622035,84.2564222266214,high,high,low,low,high
1,5,4,2,5,4,5,5,4,4,4,1,5,4,5,4,5,1,2,4,4,4,5,2,4,4,4,4,1,5,2,5,4,2,4,4,4,1,1,5,1,2,4,2,5,5,5,4,5,4,21,35,34,39,37,70.36759078969529,53.631637055925054,63.54239610140829,39.95918612564645,79.89197717811061,high,high,high,low,high
1,5,4,1,5,5,4,5,5,4,4,1,4,2,5,5,5,1,5,4,2,4,4,1,4,4,5,4,1,5,1,5,4,1,2,5,4,5,1,5,1,4,4,1,5,4,5,4,5,4,16,45,36,33,35,49.78357024881296,39.54553199368488,42.497643648784006,73.79648807641964,84.2564222266214,low,low,low,high,high
1,5,4,2,4,5,4,5,5,4,4,1,5,5,5,5,5,1,5,4,2,4,2,4,4,5,4,4,5,5,1,4,5,2,4,5,4,5,4,5,1,4,4,2,5,4,4,4,2,4,15,32,35,33,36,68.10647851313007,94.62417059884316,69.95048953996736,73.79648807641964,47.73568682836604,high,high,high,high,low
1,5,5,1,5,3,5,4,4,4,4,1,5,5,4,3,5,1,5,4,4,4,5,4,5,5,5,1,4,5,2,5,4,4,4,3,5,5,5,5,1,4,4,1,5,3,5,5,2,4,25,31,38,41,37,39.38105523169063,57.26086112941366,31.89952932069128,91.30045964853188,79.89197717811061,low,high,low,high,high
1,5,4,1,4,4,5,4,5,4,4,1,4,5,4,5,5,1,5,5,2,5,4,1,4,5,5,5,1,5,1,5,4,1,4,5,5,5,1,4,1,5,4,1,5,4,5,4,4,4,16,43,38,33,33,49.78357024881296,82.91913751143704,31.89952932069128,73.79648807641964,5.180525557423565,low,high,low,high,low
1,5,4,4,5,4,5,2,2,4,4,1,4,4,3,5,5,5,2,5,2,5,4,5,4,4,5,4,4,5,1,5,4,4,4,5,4,1,4,5,1,4,4,4,5,4,5,4,2,4,17,21,36,36,34,56.8825645768269,30.98663404708369,42.497643648784006,84.74601143852163,47.69983680359604,high,low,low,high,low
