EXT1,AGR1,CSN1,EST1,OPN1,EXT2,AGR2,CSN2,EST2,OPN2,EXT3,AGR3,CSN3,EST3,OPN3,EXT4,AGR4,CSN4,EST4,OPN4,EXT5,AGR5,CSN5,EST5,OPN5,EXT6,AGR6,CSN6,EST6,OPN6,EXT7,AGR7,CSN7,EST7,OPN7,EXT8,AGR8,CSN8,EST8,OPN8,EXT9,AGR9,CSN9,EST9,OPN9,EXT10,AGR10,CSN10,EST10,OPN10,EXT_Score,EST_Score,AGR_Score,CSN_Score,OPN_Score,EXT_position,EST_position,AGR_position,CSN_position,OPN_position,EXT_high_or_low,EST_high_or_low,AGR_high_or_low,CSN_high_or_low,OPN_high_or_low
2,5,2,2,4,2,5,2,5,4,5,1,2,2,5,2,5,2,2,4,5,4,2,2,4,4,5,2,4,5,4,5,2,2,4,5,5,2,2,4,1,5,2,1,5,4,5,2,2,5,30,38,39,28,36,0.3554470862498411,3.351090914283969,61.20948528622405,55.48786072856311,47.73568682836604,low,low,high,high,low
1,5,2,5,5,4,5,2,5,5,5,1,2,4,5,5,5,2,2,4,5,4,2,5,4,5,5,4,4,5,1,5,2,5,2,5,5,2,2,4,1,5,2,5,5,4,5,2,5,4,20,20,39,26,33,10.625592781144464,71.25704566249172,61.20948528622405,16.971441121751216,5.180525557423565,low,high,high,low,low
5,4,2,3,5,4,5,2,4,4,4,1,2,4,5,2,5,2,3,4,5,4,2,5,4,4,5,2,4,5,4,5,2,2,4,5,4,2,4,4,2,5,2,4,4,4,4,2,3,5,31,26,38,28,36,69.54963898828078,65.1757389881823,31.89952932069128,55.48786072856311,47.73568682836604,high,high,low,high,low
2,5,2,4,4,4,5,2,5,4,5,1,4,2,5,2,5,2,5,4,2,4,2,2,5,4,5,4,4,5,5,4,2,3,5,5,4,2,4,4,2,5,2,4,5,5,5,2,4,5,26,31,39,28,38,37.74308335820182,57.26086112941366,61.20948528622405,55.48786072856311,30.8161494512681,low,high,high,high,low
2,4,2,4,4,4,4,2,5,4,4,1,2,2,5,4,5,2,5,4,3,4,2,2,4,4,5,2,1,5,4,4,2,3,4,4,5,2,4,4,5,5,2,2,4,3,5,2,3,5,29,37,40,28,35,1.4695555483330232,72.51416026733875,58.82614806257208,55.48786072856311,84.2564222266214,low,high,high,high,high
1,5,2,4,4,4,5,4,5,4,4,1,2,5,5,4,5,2,5,5,4,4,2,4,5,4,5,4,4,5,2,5,2,3,5,3,5,4,3,4,2,5,2,4,4,4,5,2,4,5,24,27,39,22,36,90.69622914863086,98.45903986936408,61.20948528622405,88.29861100851832,47.73568682836604,high,high,high,high,low
2,5,2,4,4,5,5,2,5,4,5,1,2,2,5,2,5,2,5,4,5,4,2,5,4,5,5,4,2,5,4,5,2,3,4,4,4,2,2,4,2,5,2,2,5,5,5,2,2,5,27,36,38,26,36,19.23934914477008,99.6997067980117,31.89952932069128,16.971441121751216,47.73568682836604,low,high,low,low,low
5,4,2,4,5,5,5,2,5,4,5,1,2,2,5,2,5,2,3,4,5,5,1,4,5,4,5,4,3,5,5,5,2,3,5,1,4,2,4,5,1,5,2,2,4,2,5,2,5,5,37,29,38,25,39,80.7216491799307,57.0615192334398,31.89952932069128,62.72533070170514,71.01555044068938,high,high,low,high,high
5,5,2,1,5,4,4,2,5,4,5,1,2,2,5,2,5,2,5,4,5,4,2,1,4,5,5,4,1,5,5,5,2,2,3,3,5,2,1,2,2,5,2,1,5,5,5,1,1,5,33,48,38,25,34,16.75033313930985,39.68420461697104,31.89952932069128,62.72533070170514,47.69983680359604,low,low,low,high,low
2,5,2,4,5,5,5,2,5,4,4,1,2,2,5,1,5,2,5,5,5,4,2,4,5,5,5,2,4,4,4,5,2,3,3,1,5,2,4,2,2,5,2,4,4,3,5,2,2,5,32,31,39,28,34,72.08839197865544,57.26086112941366,61.20948528622405,55.48786072856311,47.69983680359604,high,high,high,high,low
