EXT1,AGR1,CSN1,EST1,OPN1,EXT2,AGR2,CSN2,EST2,OPN2,EXT3,AGR3,CSN3,EST3,OPN3,EXT4,AGR4,CSN4,EST4,OPN4,EXT5,AGR5,CSN5,EST5,OPN5,EXT6,AGR6,CSN6,EST6,OPN6,EXT7,AGR7,CSN7,EST7,OPN7,EXT8,AGR8,CSN8,EST8,OPN8,EXT9,AGR9,CSN9,EST9,OPN9,EXT10,AGR10,CSN10,EST10,OPN10,EXT_Score,EST_Score,AGR_Score,CSN_Score,OPN_Score,EXT_position,EST_position,AGR_position,CSN_position,OPN_position,EXT_high_or_low,EST_high_or_low,AGR_high_or_low,CSN_high_or_low,OPN_high_or_low
1,4,5,1,4,5,2,5,2,5,2,1,5,1,1,5,2,5,5,4,1,5,5,1,4,5,1,4,1,5,1,2,5,2,4,5,2,5,1,5,1,2,5,1,4,5,2,5,1,2,11,46,23,35,28,2.7646869376889143,71.09296285681363,88.30895236181736,63.65201444637811,76.34765069075316,low,high,high,high,high
1,4,5,1,2,4,2,1,4,5,2,1,5,3,1,5,2,1,5,5,2,5,5,2,2,4,1,1,1,5,1,4,5,2,5,5,4,5,1,1,1,5,5,4,4,5,1,5,1,2,14,42,25,46,20,20.67768365504791,60.86211430445535,97.12618716273646,33.024077625152536,45.26282303186811,low,high,high,low,low
1,2,5,4,5,4,2,5,5,5,2,1,5,1,2,5,2,1,5,5,1,2,5,2,2,5,2,5,5,1,1,1,5,1,3,5,2,5,5,1,1,1,5,2,4,5,1,5,1,2,12,37,28,38,26,85.53303766911806,72.51416026733875,16.684345456354073,11.2864545014926,99.19879134202203,high,high,low,low,high
1,4,4,5,5,4,2,1,4,5,4,1,5,5,2,5,3,5,3,5,2,4,5,5,2,4,4,5,4,1,1,4,5,2,4,5,2,4,1,5,1,2,5,4,5,5,2,5,4,2,16,25,26,38,32,49.78357024881296,35.775960982566446,30.776359863336555,11.2864545014926,34.399379124845744,low,low,low,low,low
1,4,5,4,4,5,2,4,5,4,2,1,5,5,1,5,4,5,4,5,1,5,5,4,1,4,1,4,5,1,1,4,5,5,2,5,2,5,5,1,1,1,5,2,5,4,2,5,4,5,13,23,22,36,27,90.09761252623504,26.6900479740304,29.099681781785623,84.74601143852163,23.92230787489129,high,low,low,high,low
1,4,4,4,4,4,2,5,5,4,1,1,5,4,2,4,2,5,5,4,2,4,4,1,3,5,1,4,5,3,1,4,4,2,4,5,1,5,1,2,1,2,4,1,4,5,1,5,1,2,13,39,20,31,28,90.09761252623504,58.10382915690394,78.47127221298067,85.8815905198352,76.34765069075316,high,high,high,high,high
1,5,5,1,5,4,2,5,5,5,2,1,5,2,4,5,2,1,5,4,2,5,5,2,4,5,2,4,1,5,1,5,4,1,5,5,2,5,4,2,1,2,5,1,5,5,1,5,2,2,13,44,19,38,31,90.09761252623504,21.7977014618734,76.42575253043067,11.2864545014926,32.83113751931617,high,low,high,low,low
1,2,5,2,2,5,2,5,5,4,2,1,5,4,2,5,2,1,4,4,2,4,5,4,4,5,2,4,5,3,1,2,5,4,4,5,2,5,1,5,1,2,5,2,4,5,2,5,5,2,12,30,27,39,30,85.53303766911806,26.384928807169217,25.538415172833563,39.95918612564645,23.34368453554028,high,low,low,low,low
1,5,5,5,5,4,2,1,2,5,2,1,4,5,1,4,2,5,4,5,2,5,5,5,2,5,2,1,2,3,1,5,5,2,4,5,2,1,1,5,1,2,5,1,5,5,2,5,1,2,14,32,20,45,29,20.67768365504791,94.62417059884316,78.47127221298067,37.194794655194656,74.38180867314527,low,high,high,low,high
1,5,5,4,5,5,2,4,2,5,2,1,5,5,1,5,2,5,5,5,1,5,5,1,1,5,2,5,1,3,1,4,5,1,4,5,2,5,1,2,1,1,5,2,5,5,2,5,4,2,11,36,20,35,25,2.7646869376889143,99.6997067980117,78.47127221298067,63.65201444637811,15.370796609217988,low,high,high,high,low
