EXT1,AGR1,CSN1,EST1,OPN1,EXT2,AGR2,CSN2,EST2,OPN2,EXT3,AGR3,CSN3,EST3,OPN3,EXT4,AGR4,CSN4,EST4,OPN4,EXT5,AGR5,CSN5,EST5,OPN5,EXT6,AGR6,CSN6,EST6,OPN6,EXT7,AGR7,CSN7,EST7,OPN7,EXT8,AGR8,CSN8,EST8,OPN8,EXT9,AGR9,CSN9,EST9,OPN9,EXT10,AGR10,CSN10,EST10,OPN10,EXT_Score,EST_Score,AGR_Score,CSN_Score,OPN_Score,EXT_position,EST_position,AGR_position,CSN_position,OPN_position,EXT_high_or_low,EST_high_or_low,AGR_high_or_low,CSN_high_or_low,OPN_high_or_low
1,5,2,4,5,5,2,2,5,4,2,1,2,5,3,5,1,2,4,4,1,4,2,4,4,5,1,2,4,5,1,5,2,2,3,5,2,5,2,4,1,1,2,2,5,5,1,2,4,2,11,30,17,25,31,2.7646869376889143,26.384928807169217,6.154878016351157,62.72533070170514,32.83113751931617,low,low,low,high,low
1,4,2,4,4,5,2,5,5,4,1,1,5,5,2,5,1,4,5,4,1,5,2,2,5,5,1,4,1,1,1,4,2,2,2,5,1,5,1,5,1,1,2,1,4,5,1,2,2,2,10,40,17,21,33,9.353015390888382,78.62373330733222,6.154878016351157,29.236778579807176,5.180525557423565,low,high,low,low,low
1,5,2,1,4,5,2,2,5,4,2,1,2,4,2,5,2,5,5,4,1,5,2,1,2,5,1,4,1,1,1,2,2,1,2,5,2,2,1,4,1,2,2,5,5,5,1,2,5,2,11,39,21,23,30,2.7646869376889143,58.10382915690394,6.37559204247637,22.402818363485764,23.34368453554028,low,high,low,low,low
1,4,2,2,5,5,2,5,5,4,2,1,5,5,4,5,2,5,4,4,2,5,2,2,2,5,2,3,1,5,1,5,4,2,2,5,2,4,4,4,1,2,3,1,5,5,1,2,5,2,12,35,20,25,29,85.53303766911806,53.631637055925054,78.47127221298067,62.72533070170514,74.38180867314527,high,high,high,high,high
1,5,2,4,5,5,2,5,5,3,2,1,5,5,2,5,2,4,5,2,2,4,2,4,5,5,1,2,4,2,1,4,2,1,5,5,2,4,1,5,1,1,2,2,5,5,1,2,3,2,12,34,19,24,40,85.53303766911806,27.09730031585448,76.42575253043067,75.94729258446176,26.276393842068824,high,low,high,high,low
1,5,2,5,2,5,2,5,5,4,1,1,3,2,4,5,2,5,5,4,1,5,2,1,4,5,2,4,1,5,1,5,2,4,4,5,2,4,2,2,1,2,2,2,5,5,1,1,5,4,10,36,19,18,30,9.353015390888382,99.6997067980117,76.42575253043067,54.4445659143086,23.34368453554028,low,high,high,high,low
1,5,2,4,4,4,1,2,5,5,2,1,5,4,2,5,1,4,5,4,1,4,2,4,2,5,1,2,1,1,1,4,2,2,2,5,1,2,1,5,1,1,2,5,3,5,1,2,5,2,12,32,16,29,28,85.53303766911806,94.62417059884316,77.43575803597018,17.22022453540239,76.34765069075316,high,high,high,low,high
1,2,2,1,3,5,1,5,5,4,1,1,3,5,2,5,2,5,5,4,1,4,2,1,2,5,1,2,1,1,1,4,4,1,4,5,1,5,1,5,1,1,2,1,5,5,2,2,4,2,10,43,21,22,32,9.353015390888382,82.91913751143704,6.37559204247637,88.29861100851832,34.399379124845744,low,high,low,high,low
1,5,2,4,4,5,1,1,5,5,1,1,5,4,2,5,2,4,5,4,1,4,2,1,2,5,1,3,1,3,1,5,4,4,4,5,1,5,2,5,1,4,4,4,4,5,2,5,4,2,10,34,20,33,29,9.353015390888382,27.09730031585448,78.47127221298067,73.79648807641964,74.38180867314527,low,low,high,high,high
1,5,2,1,4,5,2,4,5,4,2,1,3,1,4,5,2,5,5,5,1,5,2,1,5,5,1,4,1,5,1,5,2,1,4,5,2,5,1,4,1,1,2,1,4,5,1,2,4,2,11,47,17,19,31,2.7646869376889143,42.2841193254286,6.154878016351157,54.576639769299184,32.83113751931617,low,low,low,high,low
1,5,2,1,2,5,2,4,5,3,2,1,5,5,2,5,2,5,5,4,1,5,2,2,2,5,2,4,1,1,1,2,4,1,3,5,2,2,1,4,1,2,4,2,5,5,2,2,1,2,11,44,23,28,30,2.7646869376889143,21.7977014618734,88.30895236181736,55.48786072856311,23.34368453554028,low,low,high,high,low
1,5,2,2,5,5,2,4,5,5,1,1,3,2,4,5,1,5,4,4,1,4,2,2,4,5,1,5,1,5,1,5,4,1,5,5,2,5,2,5,1,1,2,1,5,5,1,5,4,5,10,42,17,23,37,9.353015390888382,60.86211430445535,6.154878016351157,22.402818363485764,79.89197717811061,low,high,low,low,high
1,5,2,5,5,5,2,4,5,4,2,1,3,5,4,5,2,4,5,4,1,5,2,5,2,5,2,2,1,3,1,5,4,1,4,5,2,2,5,5,1,4,2,5,5,5,1,4,5,2,11,26,21,29,34,2.7646869376889143,65.1757389881823,6.37559204247637,17.22022453540239,47.69983680359604,low,high,low,low,low
1,4,2,1,5,5,2,5,5,4,1,5,3,5,4,5,2,4,5,4,2,5,2,5,4,5,1,4,1,1,1,4,2,2,3,5,2,4,2,2,1,1,2,4,4,4,1,5,3,2,12,35,15,23,33,85.53303766911806,53.631637055925054,43.93844038603779,22.402818363485764,5.180525557423565,high,high,low,low,low
