EXT1,AGR1,CSN1,EST1,OPN1,EXT2,AGR2,CSN2,EST2,OPN2,EXT3,AGR3,CSN3,EST3,OPN3,EXT4,AGR4,CSN4,EST4,OPN4,EXT5,AGR5,CSN5,EST5,OPN5,EXT6,AGR6,CSN6,EST6,OPN6,EXT7,AGR7,CSN7,EST7,OPN7,EXT8,AGR8,CSN8,EST8,OPN8,EXT9,AGR9,CSN9,EST9,OPN9,EXT10,AGR10,CSN10,EST10,OPN10,EXT_Score,EST_Score,AGR_Score,CSN_Score,OPN_Score,EXT_position,EST_position,AGR_position,CSN_position,OPN_position,EXT_high_or_low,EST_high_or_low,AGR_high_or_low,CSN_high_or_low,OPN_high_or_low
1,4,4,5,5,5,4,5,2,4,4,1,4,5,4,5,5,2,2,4,2,4,4,5,5,5,5,4,5,5,1,4,4,4,4,5,4,1,5,5,1,4,4,5,5,5,4,5,5,5,14,13,37,37,38,20.67768365504791,32.33366918109286,67.33806671847192,38.44590142622035,30.8161494512681,low,low,high,low,low
1,5,4,5,4,2,4,2,2,4,5,1,4,5,5,2,5,5,2,5,2,5,2,2,4,5,5,3,4,5,1,5,4,5,2,4,5,1,4,5,1,5,4,2,4,4,4,2,5,5,23,20,36,33,33,82.11605756095736,71.25704566249172,42.497643648784006,73.79648807641964,5.180525557423565,high,high,low,high,low
1,4,4,5,4,2,2,4,2,4,2,1,5,5,5,4,4,1,2,5,2,4,4,5,5,2,4,4,5,5,1,4,4,5,4,5,4,1,5,3,1,4,5,5,5,4,4,4,5,5,20,12,33,40,35,10.625592781144464,66.42861856263067,64.5474771529959,70.57756950620531,84.2564222266214,low,high,high,high,high
1,5,4,5,4,5,5,1,2,4,4,1,4,5,5,2,5,1,2,5,5,4,4,4,4,5,5,4,4,5,1,5,4,2,4,4,4,2,4,4,1,5,4,2,5,3,5,5,2,4,23,24,38,41,34,82.11605756095736,55.88683998774796,31.89952932069128,91.30045964853188,47.69983680359604,high,high,low,high,low
1,5,5,5,4,4,4,1,2,4,2,1,4,5,4,2,5,1,2,4,2,4,4,2,4,2,5,4,2,5,2,5,4,5,3,4,5,1,2,4,2,4,4,2,4,4,4,4,2,5,23,27,36,42,33,82.11605756095736,98.45903986936408,42.497643648784006,10.086562051566911,5.180525557423565,high,high,low,low,low
1,5,4,5,4,4,5,5,2,4,2,1,5,5,5,4,5,1,2,4,2,4,5,2,4,4,5,4,4,5,1,4,5,4,4,5,4,5,5,4,1,5,4,2,5,4,5,5,5,5,16,20,39,37,36,49.78357024881296,71.25704566249172,61.20948528622405,38.44590142622035,47.73568682836604,low,high,high,low,low
1,5,4,5,5,5,4,5,2,4,3,1,5,5,5,5,4,1,2,4,2,4,4,5,5,5,5,1,2,5,1,5,4,5,4,5,4,1,5,4,1,5,4,2,5,5,5,5,2,5,13,21,36,42,38,90.09761252623504,30.98663404708369,42.497643648784006,10.086562051566911,30.8161494512681,high,low,low,low,low
1,5,4,5,4,5,5,1,2,4,4,1,4,5,5,2,5,5,2,5,4,4,5,5,4,4,5,1,5,5,1,5,4,5,4,2,5,1,5,5,1,5,4,4,4,2,5,4,4,5,26,14,39,41,35,37.74308335820182,94.38897867809928,61.20948528622405,91.30045964853188,84.2564222266214,low,high,high,high,high
1,5,4,4,4,5,4,4,2,4,4,1,4,4,4,5,5,5,2,4,2,4,4,5,4,5,5,4,4,5,1,5,4,5,3,5,4,4,5,4,1,4,4,4,5,5,4,4,5,4,14,16,35,31,33,20.67768365504791,46.41711503819899,69.95048953996736,85.8815905198352,5.180525557423565,low,low,high,high,low
1,4,4,5,5,4,2,5,2,4,2,1,4,4,5,5,5,5,2,4,2,4,4,5,4,3,5,4,5,5,1,4,4,5,4,5,4,4,5,5,1,4,4,5,5,4,4,4,5,5,16,13,35,30,38,49.78357024881296,32.33366918109286,69.95048953996736,96.12317438180868,30.8161494512681,low,low,high,high,low
