EXT1,AGR1,CSN1,EST1,OPN1,EXT2,AGR2,CSN2,EST2,OPN2,EXT3,AGR3,CSN3,EST3,OPN3,EXT4,AGR4,CSN4,EST4,OPN4,EXT5,AGR5,CSN5,EST5,OPN5,EXT6,AGR6,CSN6,EST6,OPN6,EXT7,AGR7,CSN7,EST7,OPN7,EXT8,AGR8,CSN8,EST8,OPN8,EXT9,AGR9,CSN9,EST9,OPN9,EXT10,AGR10,CSN10,EST10,OPN10,EXT_Score,EST_Score,AGR_Score,CSN_Score,OPN_Score,EXT_position,EST_position,AGR_position,CSN_position,OPN_position,EXT_high_or_low,EST_high_or_low,AGR_high_or_low,CSN_high_or_low,OPN_high_or_low
2,2,5,5,4,2,2,4,2,4,2,1,4,5,5,4,2,1,2,4,2,2,4,5,5,4,1,4,5,5,2,2,4,5,5,4,2,5,5,5,2,2,4,5,4,4,1,5,5,5,22,12,27,36,38,89.78559912384115,66.42861856263067,25.538415172833563,84.74601143852163,30.8161494512681,high,high,low,high,low
1,2,4,5,5,2,1,4,2,4,2,5,4,2,5,5,2,5,2,5,1,5,4,5,5,5,1,4,5,5,1,2,4,5,4,1,2,1,5,5,1,1,4,5,4,4,1,4,5,5,19,15,18,34,37,96.9716577977251,10.931204393400838,71.09503112747343,19.967478906101498,79.89197717811061,high,low,high,low,high
1,4,5,5,5,4,2,5,2,4,2,5,5,5,5,5,2,5,2,4,2,5,5,2,4,4,4,4,4,5,1,4,5,5,4,4,2,5,5,5,1,1,4,5,5,5,1,5,4,4,15,17,18,34,37,68.10647851313007,86.45115286391469,71.09503112747343,19.967478906101498,79.89197717811061,high,high,high,low,high
1,2,4,5,5,3,2,5,2,4,1,2,4,2,5,4,2,2,2,4,2,5,4,5,5,5,1,4,5,5,1,2,4,5,4,5,2,5,5,4,1,1,4,5,5,5,1,4,5,5,14,15,22,32,38,20.67768365504791,10.931204393400838,29.099681781785623,75.56111690555193,30.8161494512681,low,low,low,high,low
1,1,4,5,5,5,2,4,2,4,2,1,4,5,5,1,2,5,2,5,2,1,5,5,4,5,2,4,5,5,1,4,4,5,3,1,2,5,5,4,1,2,4,5,5,5,1,4,4,5,20,13,28,31,35,10.625592781144464,32.33366918109286,16.684345456354073,85.8815905198352,84.2564222266214,low,low,low,high,high
1,2,4,5,5,5,2,4,2,4,2,1,5,5,5,5,2,5,2,4,2,5,4,5,5,5,2,4,5,5,1,4,4,5,3,5,2,5,5,5,1,2,4,5,5,5,2,4,5,5,12,12,24,31,38,85.53303766911806,66.42861856263067,93.15569843037956,85.8815905198352,30.8161494512681,high,high,high,high,low
1,2,4,5,5,4,2,1,2,4,2,1,4,4,5,5,2,5,2,4,2,2,5,5,5,4,1,4,5,5,1,2,4,5,4,1,2,1,5,4,1,2,4,5,5,5,2,5,5,5,18,13,28,39,38,13.51772458710916,32.33366918109286,16.684345456354073,39.95918612564645,30.8161494512681,low,low,low,low,low
1,2,4,5,4,4,2,2,2,4,1,5,5,4,5,2,2,1,2,4,1,2,4,5,5,5,2,4,5,5,1,2,4,5,3,2,2,1,5,4,1,2,4,5,5,4,1,4,4,5,18,14,24,41,36,13.51772458710916,94.38897867809928,93.15569843037956,91.30045964853188,47.73568682836604,low,high,high,high,low
1,2,4,5,4,2,2,4,2,4,2,1,5,5,5,4,3,5,2,5,2,5,5,5,5,4,5,4,5,5,1,5,4,5,4,4,4,5,5,5,1,2,4,4,5,4,1,4,5,5,19,13,28,32,37,96.9716577977251,32.33366918109286,16.684345456354073,75.56111690555193,79.89197717811061,high,low,low,high,high
1,5,4,5,5,4,2,4,2,4,2,1,5,2,5,5,2,5,2,5,2,5,4,5,5,5,2,4,5,5,1,5,4,5,4,1,2,1,5,5,1,2,4,5,5,5,2,4,5,5,17,15,20,35,38,56.8825645768269,10.931204393400838,78.47127221298067,63.65201444637811,30.8161494512681,high,low,high,high,low
1,1,4,5,5,4,2,4,2,4,2,1,5,5,5,4,4,5,2,4,2,5,4,5,4,4,4,4,5,5,1,4,4,5,5,4,2,4,5,5,1,2,4,5,5,5,2,4,5,5,16,12,29,32,39,49.78357024881296,66.42861856263067,84.55011666031412,75.56111690555193,71.01555044068938,low,high,high,high,high
1,4,4,5,5,5,2,5,2,5,2,1,4,5,5,5,2,5,2,5,2,5,4,2,5,5,2,4,5,5,1,5,4,5,4,2,2,5,5,5,1,2,4,5,5,4,2,4,5,5,16,15,21,29,37,49.78357024881296,10.931204393400838,6.37559204247637,17.22022453540239,79.89197717811061,low,low,low,low,high
1,2,4,5,5,3,2,5,2,4,1,2,5,5,5,2,2,5,2,4,2,2,4,2,5,4,1,4,5,5,1,1,4,5,4,1,2,1,5,5,1,1,4,5,5,4,1,4,5,5,22,15,26,34,39,89.78559912384115,10.931204393400838,30.776359863336555,19.967478906101498,71.01555044068938,high,low,low,low,high
1,5,4,5,5,5,2,5,2,4,2,1,4,5,5,5,2,2,2,4,2,2,2,5,5,4,2,4,5,5,2,2,4,5,4,4,2,5,5,5,1,3,4,4,5,5,1,5,4,5,15,14,26,31,39,68.10647851313007,94.38897867809928,30.776359863336555,85.8815905198352,71.01555044068938,high,high,low,high,high
1,2,4,5,4,2,2,5,2,4,2,2,4,4,5,2,2,5,2,5,2,2,2,5,4,4,2,4,5,5,1,4,4,5,4,2,2,1,5,5,1,1,4,5,4,4,1,4,5,4,23,13,24,31,34,82.11605756095736,32.33366918109286,93.15569843037956,85.8815905198352,47.69983680359604,high,low,high,high,low
