EXT1,AGR1,CSN1,EST1,OPN1,EXT2,AGR2,CSN2,EST2,OPN2,EXT3,AGR3,CSN3,EST3,OPN3,EXT4,AGR4,CSN4,EST4,OPN4,EXT5,AGR5,CSN5,EST5,OPN5,EXT6,AGR6,CSN6,EST6,OPN6,EXT7,AGR7,CSN7,EST7,OPN7,EXT8,AGR8,CSN8,EST8,OPN8,EXT9,AGR9,CSN9,EST9,OPN9,EXT10,AGR10,CSN10,EST10,OPN10,EXT_Score,EST_Score,AGR_Score,CSN_Score,OPN_Score,EXT_position,EST_position,AGR_position,CSN_position,OPN_position,EXT_high_or_low,EST_high_or_low,AGR_high_or_low,CSN_high_or_low,OPN_high_or_low
5,5,4,4,5,5,5,1,5,4,5,1,4,2,5,1,5,1,5,5,5,4,4,1,5,5,4,1,1,5,5,5,5,2,4,1,4,1,2,5,5,4,5,5,4,1,5,4,1,5,42,40,36,46,37,31.687186866284332,78.62373330733222,42.497643648784006,33.024077625152536,79.89197717811061,low,high,low,low,high
5,5,4,2,5,5,5,1,4,4,5,1,4,1,5,1,4,1,5,4,5,5,5,1,5,5,4,1,2,5,5,5,4,2,4,2,4,1,2,5,5,4,4,5,2,1,5,5,1,5,41,41,34,46,36,23.179010795387956,80.03094526863389,63.54239610140829,33.024077625152536,47.73568682836604,low,high,high,low,low
5,5,5,1,4,5,5,1,4,4,5,1,4,2,5,1,4,1,5,5,5,5,5,1,5,5,4,2,1,5,5,5,4,2,5,1,4,1,2,4,5,4,4,1,2,1,5,5,1,4,42,46,34,46,33,31.687186866284332,71.09296285681363,63.54239610140829,33.024077625152536,5.180525557423565,low,high,high,low,low
5,5,4,4,5,5,5,1,4,4,5,1,4,2,5,1,5,1,5,5,5,4,4,2,5,5,4,2,1,5,5,5,5,2,4,1,4,1,5,1,5,4,4,5,2,1,5,4,1,5,42,35,36,44,31,31.687186866284332,53.631637055925054,42.497643648784006,73.90206836914889,32.83113751931617,low,high,low,high,low
5,5,4,1,5,5,5,2,4,4,5,1,5,2,4,1,5,1,5,4,5,5,4,1,5,5,4,5,2,5,5,5,4,5,5,1,4,1,1,5,5,4,4,1,2,1,5,4,1,5,42,43,35,40,36,31.687186866284332,82.91913751143704,69.95048953996736,70.57756950620531,47.73568682836604,low,high,high,high,low
5,5,5,4,5,5,5,1,5,5,5,1,4,2,4,1,4,1,5,4,5,4,4,2,5,5,5,2,1,5,5,5,5,2,4,1,4,1,2,5,5,4,4,4,2,1,5,5,1,5,42,40,36,46,34,31.687186866284332,78.62373330733222,42.497643648784006,33.024077625152536,47.69983680359604,low,high,low,low,low
5,5,4,5,5,5,5,1,4,4,5,1,5,2,5,1,5,1,5,5,5,5,5,2,4,5,5,2,2,5,5,5,4,2,4,1,4,1,2,5,5,5,5,2,2,1,5,5,1,5,42,39,37,47,34,31.687186866284332,58.10382915690394,67.33806671847192,5.1590549381931785,47.69983680359604,low,high,high,low,low
5,5,4,4,5,5,5,1,5,5,5,1,4,2,5,1,4,1,5,4,5,4,4,2,5,5,5,1,1,5,5,5,4,2,5,1,4,1,2,2,5,5,4,1,2,1,5,4,1,5,42,43,37,44,33,31.687186866284332,82.91913751143704,67.33806671847192,73.90206836914889,5.180525557423565,low,high,high,high,low
5,5,4,2,4,5,5,1,4,4,5,1,5,2,4,1,5,1,5,4,5,4,5,1,5,5,5,2,4,5,5,5,4,2,4,1,4,1,1,2,5,5,4,2,3,1,5,4,1,4,42,42,38,45,31,31.687186866284332,60.86211430445535,31.89952932069128,37.194794655194656,32.83113751931617,low,high,low,low,low
5,5,5,2,4,5,5,1,5,4,5,1,4,2,4,1,4,1,5,5,5,5,5,1,5,5,5,1,1,5,5,5,4,2,4,1,4,1,1,5,5,4,4,1,2,1,5,4,1,4,42,47,35,46,32,31.687186866284332,42.2841193254286,69.95048953996736,33.024077625152536,34.399379124845744,low,low,high,low,low
5,5,4,1,4,5,5,2,4,5,5,1,4,2,5,1,5,1,5,4,5,5,5,1,4,5,5,2,4,5,5,5,4,2,4,1,5,1,2,5,5,5,4,1,4,1,5,4,1,5,42,43,38,43,35,31.687186866284332,82.91913751143704,31.89952932069128,91.02419778182896,84.2564222266214,low,high,low,high,high
5,5,4,2,4,5,5,1,5,4,5,1,4,2,4,1,4,1,5,4,5,5,4,1,5,5,4,2,2,5,5,5,4,2,5,1,4,1,2,4,5,4,4,1,3,1,5,4,1,5,42,45,34,43,35,31.687186866284332,39.54553199368488,63.54239610140829,91.02419778182896,84.2564222266214,low,low,high,high,high
5,5,4,2,5,5,5,2,5,4,5,1,4,2,5,1,5,1,5,4,5,4,5,1,5,5,4,2,2,5,5,5,5,2,4,1,4,5,5,1,5,4,4,1,3,1,5,5,1,5,42,42,36,41,33,31.687186866284332,60.86211430445535,42.497643648784006,91.30045964853188,5.180525557423565,low,high,low,high,low
5,5,4,2,5,5,5,1,5,4,5,1,4,1,4,1,5,1,5,5,5,4,5,5,5,5,4,2,4,5,5,5,4,2,4,1,5,5,5,5,5,5,4,4,3,1,5,4,1,5,42,34,38,40,35,31.687186866284332,27.09730031585448,31.89952932069128,70.57756950620531,84.2564222266214,low,low,low,high,high
5,5,4,4,5,5,5,1,4,4,5,1,5,2,4,1,5,1,5,4,5,4,5,1,4,5,5,5,1,4,5,5,4,2,5,1,5,1,2,4,5,4,4,2,2,1,5,4,1,5,42,42,38,42,35,31.687186866284332,60.86211430445535,31.89952932069128,10.086562051566911,84.2564222266214,low,high,low,low,high
