EXT1,AGR1,CSN1,EST1,OPN1,EXT2,AGR2,CSN2,EST2,OPN2,EXT3,AGR3,CSN3,EST3,OPN3,EXT4,AGR4,CSN4,EST4,OPN4,EXT5,AGR5,CSN5,EST5,OPN5,EXT6,AGR6,CSN6,EST6,OPN6,EXT7,AGR7,CSN7,EST7,OPN7,EXT8,AGR8,CSN8,EST8,OPN8,EXT9,AGR9,CSN9,EST9,OPN9,EXT10,AGR10,CSN10,EST10,OPN10,EXT_Score,EST_Score,AGR_Score,CSN_Score,OPN_Score,EXT_position,EST_position,AGR_position,CSN_position,OPN_position,EXT_high_or_low,EST_high_or_low,AGR_high_or_low,CSN_high_or_low,OPN_high_or_low
5,1,2,2,5,5,5,5,5,2,5,1,2,2,4,1,2,5,5,2,5,2,2,2,5,5,5,2,2,5,5,5,2,2,5,1,4,1,2,2,5,2,2,2,2,1,5,1,2,5,42,42,38,22,37,31.687186866284332,60.86211430445535,31.89952932069128,88.29861100851832,79.89197717811061,low,high,low,high,high
5,5,2,2,4,5,5,2,5,5,5,5,2,2,5,1,3,5,5,5,5,5,5,2,4,5,5,2,1,5,5,5,2,2,4,2,5,1,2,5,5,5,2,2,2,1,5,2,1,5,41,44,32,29,32,23.179010795387956,21.7977014618734,70.24063836681471,17.22022453540239,34.399379124845744,low,low,high,low,low
5,5,2,2,5,5,5,5,5,5,5,1,5,2,3,1,2,2,5,2,5,2,2,2,5,5,2,2,4,5,5,5,2,2,5,1,5,1,2,5,5,5,4,2,2,1,5,2,1,5,42,41,35,31,36,31.687186866284332,80.03094526863389,69.95048953996736,85.8815905198352,47.73568682836604,low,high,high,high,low
5,5,2,4,5,5,5,5,5,5,5,5,5,2,4,1,5,5,5,5,5,2,2,2,5,5,2,2,2,5,5,5,2,2,5,1,4,2,2,1,5,2,2,4,2,1,5,2,1,5,42,39,30,25,30,31.687186866284332,58.10382915690394,29.734837852504725,62.72533070170514,23.34368453554028,low,high,low,high,low
5,5,2,2,4,5,5,2,4,1,5,1,2,2,5,1,5,2,5,5,5,2,2,2,5,5,2,2,1,5,5,5,4,3,5,1,5,2,2,2,5,2,2,1,2,1,5,2,2,5,42,42,35,30,35,31.687186866284332,60.86211430445535,69.95048953996736,96.12317438180868,84.2564222266214,low,high,high,high,high
5,2,2,4,5,5,5,2,5,2,5,5,2,2,5,1,1,5,5,5,5,1,5,5,5,5,2,5,2,5,5,5,2,5,5,1,5,5,2,5,5,1,2,2,2,1,5,2,1,5,42,35,30,22,38,31.687186866284332,53.631637055925054,29.734837852504725,88.29861100851832,30.8161494512681,low,high,low,high,low
5,1,2,2,5,5,5,2,4,1,5,1,5,2,3,1,5,2,5,1,5,2,2,5,5,5,2,2,1,5,5,5,2,2,5,1,5,1,1,1,5,1,2,2,2,1,5,5,1,5,42,41,38,35,37,31.687186866284332,80.03094526863389,31.89952932069128,63.65201444637811,79.89197717811061,low,high,low,high,high
5,2,2,2,4,5,5,2,5,2,5,1,3,1,3,1,2,5,5,1,5,5,2,5,5,5,1,2,2,5,5,5,2,5,4,1,2,2,2,1,5,2,2,1,2,1,4,2,2,5,42,38,27,26,34,31.687186866284332,3.351090914283969,25.538415172833563,16.971441121751216,47.69983680359604,low,low,low,low,low
5,2,2,4,5,5,5,5,4,1,5,1,2,1,3,1,3,4,5,1,5,2,2,1,5,5,5,3,2,1,5,5,4,2,4,1,4,1,2,5,5,2,4,2,2,1,4,5,1,5,42,42,37,30,44,31.687186866284332,60.86211430445535,67.33806671847192,96.12317438180868,77.01215650702572,low,high,high,high,high
5,2,2,4,5,5,5,2,4,5,5,1,2,2,4,1,2,5,5,1,5,2,2,1,5,5,2,2,2,1,5,5,2,3,5,1,4,1,2,5,5,2,2,5,2,1,5,1,1,5,42,37,34,25,42,31.687186866284332,72.51416026733875,63.54239610140829,62.72533070170514,40.2672599648788,low,high,high,high,low
