EXT1,AGR1,CSN1,EST1,OPN1,EXT2,AGR2,CSN2,EST2,OPN2,EXT3,AGR3,CSN3,EST3,OPN3,EXT4,AGR4,CSN4,EST4,OPN4,EXT5,AGR5,CSN5,EST5,OPN5,EXT6,AGR6,CSN6,EST6,OPN6,EXT7,AGR7,CSN7,EST7,OPN7,EXT8,AGR8,CSN8,EST8,OPN8,EXT9,AGR9,CSN9,EST9,OPN9,EXT10,AGR10,CSN10,EST10,OPN10,EXT_Score,EST_Score,AGR_Score,CSN_Score,OPN_Score,EXT_position,EST_position,AGR_position,CSN_position,OPN_position,EXT_high_or_low,EST_high_or_low,AGR_high_or_low,CSN_high_or_low,OPN_high_or_low
5,5,5,1,5,5,5,1,5,4,5,1,5,1,5,1,5,1,5,4,5,5,5,1,5,5,5,1,1,5,5,5,4,1,5,2,4,1,1,4,5,5,5,1,5,1,5,5,1,5,41,50,37,49,39,23.17901079538796,65.36385312914578,67.33806671847192,42.85840914530192,71.01555044068938,low,high,high,low,high
5,5,5,1,5,5,5,2,5,5,5,1,5,1,5,1,5,1,5,5,5,5,5,1,5,5,5,1,1,5,5,5,4,2,5,1,4,1,1,5,5,5,4,1,5,1,5,4,1,5,42,49,37,46,38,31.68718686628433,98.008255354605,67.33806671847192,33.024077625152536,30.8161494512681,low,high,high,low,low
5,5,5,1,5,5,5,1,5,4,5,1,5,2,5,1,5,1,5,5,5,2,5,1,5,5,5,1,1,5,5,5,5,1,5,1,5,1,1,5,5,5,5,1,5,1,5,5,1,5,42,49,41,50,39,31.68718686628433,98.008255354605,17.451969338379914,46.39465952817822,71.01555044068938,low,high,low,low,high
5,4,5,1,5,5,5,1,5,4,5,1,5,1,5,1,5,1,5,5,5,4,5,1,5,5,5,5,1,5,5,5,4,1,5,2,5,1,1,5,5,4,5,1,5,1,5,5,1,5,41,50,39,45,39,23.17901079538796,65.36385312914578,61.20948528622405,37.194794655194656,71.01555044068938,low,high,high,low,high
5,4,5,1,5,5,5,1,5,4,5,1,5,2,5,1,5,1,5,5,5,5,5,1,5,5,5,2,1,5,5,5,4,1,5,1,4,1,1,5,5,5,4,1,5,1,5,5,5,5,42,45,38,47,39,31.68718686628433,39.54553199368488,31.89952932069128,5.1590549381931785,71.01555044068938,low,low,low,low,high
5,4,5,1,5,5,5,1,5,5,5,1,5,1,5,1,5,1,5,5,5,5,5,1,5,5,5,4,1,5,5,5,5,1,5,1,5,1,5,5,5,5,5,1,4,1,5,5,1,5,42,46,39,47,37,31.68718686628433,71.09296285681363,61.20948528622405,5.1590549381931785,79.89197717811061,low,high,high,low,high
5,5,5,1,5,5,5,2,5,5,5,1,5,1,5,1,5,1,5,4,5,4,5,1,5,5,5,4,1,5,5,5,5,2,5,2,5,1,1,5,5,5,5,1,5,1,5,5,1,5,41,49,39,46,39,23.17901079538796,98.008255354605,61.20948528622405,33.024077625152536,71.01555044068938,low,high,high,low,high
5,5,5,1,5,5,5,1,5,5,5,1,5,1,5,1,5,5,5,5,5,5,5,1,5,5,5,4,1,5,5,5,5,1,5,1,5,1,1,5,5,4,5,1,5,1,5,4,1,5,42,50,37,42,38,31.68718686628433,65.36385312914578,67.33806671847192,10.086562051566911,30.8161494512681,low,high,high,low,low
5,5,5,1,5,5,5,5,5,4,5,1,5,1,5,1,5,1,5,5,5,5,5,1,5,5,5,4,1,5,5,5,5,1,5,2,4,1,1,5,5,4,4,1,5,1,5,5,1,5,41,50,36,42,39,23.17901079538796,65.36385312914578,42.497643648784006,10.086562051566911,71.01555044068938,low,high,low,low,high
5,4,5,1,5,5,5,1,5,4,5,1,5,1,5,1,5,5,5,4,5,5,5,1,5,5,5,4,1,5,5,5,5,1,5,1,5,1,1,5,5,5,5,1,5,1,5,5,1,5,42,50,39,43,40,31.68718686628433,65.36385312914578,61.20948528622405,91.02419778182896,26.276393842068824,low,high,high,high,low
5,4,5,1,5,5,5,5,5,4,5,1,5,2,5,1,5,1,5,5,5,2,5,1,5,5,5,1,1,5,5,5,4,1,5,1,5,1,1,4,5,5,4,1,5,1,5,5,1,5,42,49,42,44,38,31.68718686628433,98.008255354605,16.87236110823851,73.90206836914889,30.8161494512681,low,high,low,high,low
5,5,5,1,5,5,5,2,5,4,5,1,5,1,5,1,5,5,5,5,5,4,5,1,5,5,5,5,1,5,5,5,5,1,5,1,4,1,5,5,5,5,5,1,5,1,5,5,1,5,42,46,38,41,39,31.68718686628433,71.09296285681363,31.89952932069128,91.30045964853188,71.01555044068938,low,high,low,high,high
5,5,5,1,5,5,5,5,5,4,5,1,5,1,5,1,5,5,5,5,5,2,5,1,5,5,5,4,1,5,5,5,4,1,5,2,4,1,1,5,5,4,5,1,5,1,5,5,1,5,41,50,39,38,39,23.17901079538796,65.36385312914578,61.20948528622405,11.2864545014926,71.01555044068938,low,high,high,low,high
5,5,5,1,5,5,5,2,5,4,5,1,5,1,5,1,5,1,5,5,5,5,5,1,5,5,5,5,1,5,5,5,5,1,5,2,5,1,5,4,5,5,5,1,4,1,5,5,1,5,41,46,38,45,37,23.17901079538796,71.09296285681363,31.89952932069128,37.194794655194656,79.89197717811061,low,high,low,low,high
5,4,5,1,5,5,5,1,5,5,5,1,5,5,5,1,5,5,5,5,5,4,5,1,5,5,5,1,1,5,5,5,5,1,5,1,4,1,1,5,5,5,5,1,5,1,5,4,5,5,42,42,39,45,38,31.68718686628433,60.86211430445535,61.20948528622405,37.194794655194656,30.8161494512681,low,high,high,low,low
5,5,5,1,5,5,5,5,5,4,5,1,5,1,5,1,5,1,5,5,5,5,5,1,5,5,5,1,1,5,5,5,5,2,5,1,5,1,1,5,5,5,5,1,5,1,5,5,5,5,42,45,38,46,39,31.68718686628433,39.54553199368488,31.89952932069128,33.024077625152536,71.01555044068938,low,low,low,low,high
5,5,5,1,5,5,5,2,5,4,5,1,5,1,5,1,5,1,5,4,5,5,5,1,5,5,5,2,1,5,5,5,4,1,5,1,5,1,1,5,5,5,5,1,5,1,5,5,5,5,42,46,38,47,40,31.68718686628433,71.09296285681363,31.89952932069128,5.1590549381931785,26.276393842068824,low,high,low,low,low
5,5,5,1,5,5,5,1,5,4,5,1,5,1,5,1,5,1,5,5,5,4,5,1,5,5,5,4,1,5,5,5,5,1,5,1,5,1,1,4,5,5,5,1,5,1,5,5,1,5,42,50,39,47,38,31.68718686628433,65.36385312914578,61.20948528622405,5.1590549381931785,30.8161494512681,low,high,high,low,low
5,4,5,1,5,5,5,2,5,4,5,1,5,2,5,1,5,1,5,5,5,4,5,1,5,5,5,4,1,5,5,5,5,1,5,1,5,1,1,5,5,5,5,1,5,1,5,5,1,5,42,49,40,46,39,31.68718686628433,98.008255354605,58.82614806257208,33.024077625152536,71.01555044068938,low,high,high,low,high
5,4,5,1,5,5,5,1,5,5,5,1,5,2,5,1,5,1,5,5,5,4,5,1,5,5,5,1,1,5,5,5,4,1,5,1,4,1,1,5,5,5,5,1,5,1,5,5,5,5,42,45,39,49,38,31.68718686628433,39.54553199368488,61.20948528622405,42.85840914530192,30.8161494512681,low,low,high,low,low
