EXT1,AGR1,CSN1,EST1,OPN1,EXT2,AGR2,CSN2,EST2,OPN2,EXT3,AGR3,CSN3,EST3,OPN3,EXT4,AGR4,CSN4,EST4,OPN4,EXT5,AGR5,CSN5,EST5,OPN5,EXT6,AGR6,CSN6,EST6,OPN6,EXT7,AGR7,CSN7,EST7,OPN7,EXT8,AGR8,CSN8,EST8,OPN8,EXT9,AGR9,CSN9,EST9,OPN9,EXT10,AGR10,CSN10,EST10,OPN10,EXT_Score,EST_Score,AGR_Score,CSN_Score,OPN_Score,EXT_position,EST_position,AGR_position,CSN_position,OPN_position,EXT_high_or_low,EST_high_or_low,AGR_high_or_low,CSN_high_or_low,OPN_high_or_low
5,2,5,1,5,5,5,2,5,4,5,2,5,1,5,1,2,1,5,4,5,2,4,2,5,5,2,2,1,5,5,2,5,2,5,2,2,1,1,5,5,2,5,1,5,2,2,5,1,5,40,48,31,47,40,27.42970095760932,39.68420461697104,72.65224195615069,5.1590549381931785,26.276393842068824,low,low,high,low,low
5,2,5,1,5,5,2,1,5,4,5,2,5,2,5,1,2,2,5,4,5,2,5,1,5,5,2,1,2,5,5,2,5,5,5,2,2,1,1,5,5,2,5,1,4,1,2,5,5,5,41,40,28,49,39,23.179010795387956,78.62373330733222,16.684345456354073,42.85840914530192,71.01555044068938,low,high,low,low,high
5,2,5,1,5,5,5,2,5,4,5,2,5,2,5,1,2,1,5,4,5,2,4,1,5,5,1,2,1,5,5,2,5,2,5,2,2,1,5,5,5,2,5,2,4,2,2,5,1,5,40,43,30,47,39,27.42970095760932,82.91913751143704,29.734837852504725,5.1590549381931785,71.01555044068938,low,high,low,low,high
5,2,5,5,5,5,4,2,5,5,5,2,5,2,5,1,2,1,5,5,5,2,5,1,5,5,2,1,1,5,5,2,5,2,5,1,2,1,1,5,5,2,5,2,5,1,2,5,1,5,42,43,30,49,38,31.687186866284332,82.91913751143704,29.734837852504725,42.85840914530192,30.8161494512681,low,high,low,low,low
5,2,5,1,5,5,2,2,4,4,5,2,5,2,5,1,2,5,5,5,5,2,5,1,5,5,2,1,1,5,5,2,4,2,5,2,2,1,1,5,5,2,5,1,5,2,2,5,1,5,40,47,28,44,39,27.42970095760932,42.2841193254286,16.684345456354073,73.90206836914889,71.01555044068938,low,low,low,high,high
5,2,5,1,5,5,5,2,5,4,5,2,5,1,5,1,2,2,5,5,5,2,4,1,5,5,2,2,1,5,5,2,4,5,5,1,2,1,1,5,5,2,5,2,5,1,2,5,1,5,42,45,31,45,39,31.687186866284332,39.54553199368488,72.65224195615069,37.194794655194656,71.01555044068938,low,low,high,low,high
5,2,5,1,5,5,5,2,5,4,5,2,5,2,5,1,2,5,5,5,5,2,4,1,5,5,2,1,1,5,5,2,5,2,5,2,2,1,1,5,5,2,5,1,5,2,2,5,1,5,40,48,31,44,39,27.42970095760932,39.68420461697104,72.65224195615069,73.90206836914889,71.01555044068938,low,low,high,high,high
5,2,5,1,5,5,5,1,4,4,5,2,5,1,5,1,2,5,5,5,5,2,5,1,5,5,1,2,1,5,5,2,5,1,5,1,2,1,5,5,5,2,5,1,4,1,2,5,5,5,42,41,30,45,38,31.687186866284332,80.03094526863389,29.734837852504725,37.194794655194656,30.8161494512681,low,high,low,low,low
5,2,5,2,5,5,5,2,5,5,5,2,5,2,5,1,2,5,5,5,5,2,5,2,5,5,1,2,2,5,5,2,4,2,5,2,2,1,1,5,5,2,5,2,5,1,2,5,2,5,41,43,30,43,38,23.179010795387956,82.91913751143704,29.734837852504725,91.02419778182896,30.8161494512681,low,high,low,high,low
5,2,5,1,5,5,5,5,5,4,5,2,5,1,5,1,2,1,5,5,5,2,5,1,5,5,1,2,1,5,5,2,5,5,5,1,2,1,1,5,5,2,4,2,5,1,2,5,1,5,42,45,30,44,39,31.687186866284332,39.54553199368488,29.734837852504725,73.90206836914889,71.01555044068938,low,low,low,high,high
