EXT1,AGR1,CSN1,EST1,OPN1,EXT2,AGR2,CSN2,EST2,OPN2,EXT3,AGR3,CSN3,EST3,OPN3,EXT4,AGR4,CSN4,EST4,OPN4,EXT5,AGR5,CSN5,EST5,OPN5,EXT6,AGR6,CSN6,EST6,OPN6,EXT7,AGR7,CSN7,EST7,OPN7,EXT8,AGR8,CSN8,EST8,OPN8,EXT9,AGR9,CSN9,EST9,OPN9,EXT10,AGR10,CSN10,EST10,OPN10,EXT_Score,EST_Score,AGR_Score,CSN_Score,OPN_Score,EXT_position,EST_position,AGR_position,CSN_position,OPN_position,EXT_high_or_low,EST_high_or_low,AGR_high_or_low,CSN_high_or_low,OPN_high_or_low
5,5,5,2,5,5,5,2,2,5,5,1,5,2,5,1,5,1,2,4,5,1,4,2,5,5,5,2,2,5,5,5,4,2,5,2,4,1,2,5,5,3,4,2,4,2,5,5,2,5,40,36,39,45,38,27.42970095760932,99.6997067980117,61.20948528622405,37.194794655194656,30.8161494512681,low,high,high,low,low
5,4,5,2,5,5,5,2,2,4,5,1,4,2,5,1,4,2,2,5,5,2,4,2,5,5,5,2,2,5,5,5,4,5,5,2,4,1,2,5,5,4,4,2,4,1,5,5,2,5,41,33,39,43,38,23.17901079538796,43.820548958428745,61.20948528622405,91.02419778182896,30.8161494512681,low,low,high,high,low
5,4,5,2,5,5,5,2,2,4,5,1,5,2,5,1,5,2,5,5,5,2,4,2,5,5,5,2,2,5,5,5,4,2,5,1,4,1,2,5,5,4,4,2,4,1,4,4,2,5,42,39,39,43,38,31.68718686628433,58.10382915690394,61.20948528622405,91.02419778182896,30.8161494512681,low,high,high,high,low
5,2,4,2,5,5,5,2,2,4,5,1,5,2,5,1,4,5,2,4,5,1,5,2,5,5,5,2,2,5,5,5,4,5,5,1,4,1,2,5,5,5,4,2,4,1,4,5,2,5,42,33,42,41,39,31.68718686628433,43.820548958428745,16.87236110823851,91.30045964853188,71.01555044068938,low,low,low,high,high
5,5,4,2,5,5,5,2,2,4,5,1,5,2,5,1,4,2,2,5,5,2,4,2,5,5,5,2,2,5,5,5,4,5,5,1,4,1,2,5,5,4,4,2,4,1,5,5,2,5,42,33,38,43,38,31.68718686628433,43.820548958428745,31.89952932069128,91.02419778182896,30.8161494512681,low,low,low,high,low
5,4,5,2,5,5,5,2,2,4,5,1,5,2,5,1,5,5,2,5,5,2,4,2,5,5,5,2,2,5,5,5,4,2,5,1,4,1,2,5,5,3,4,2,4,1,5,5,2,5,42,36,39,41,38,31.68718686628433,99.6997067980117,61.20948528622405,91.30045964853188,30.8161494512681,low,high,high,high,low
5,4,4,2,5,5,5,5,2,4,5,1,5,2,5,1,4,1,2,5,5,1,4,2,5,5,5,2,2,5,5,4,4,5,5,2,4,1,2,5,5,4,4,2,4,2,4,5,2,5,40,33,40,41,38,27.42970095760932,43.820548958428745,58.82614806257208,91.30045964853188,30.8161494512681,low,low,high,high,low
5,2,4,2,5,5,5,2,2,4,5,1,4,2,5,1,4,5,5,4,5,2,4,2,5,5,4,4,2,5,5,5,4,2,5,1,4,1,2,5,5,5,4,2,4,1,5,5,2,5,42,39,41,37,39,31.68718686628433,58.10382915690394,17.451969338379914,38.44590142622035,71.01555044068938,low,high,low,low,high
5,5,5,2,5,5,5,5,2,4,5,1,5,2,5,1,4,5,5,5,5,2,4,2,5,5,5,1,2,5,5,5,4,2,5,2,4,1,2,5,5,5,4,2,4,1,5,5,2,5,41,39,39,39,38,23.17901079538796,58.10382915690394,61.20948528622405,39.95918612564645,30.8161494512681,low,high,high,low,low
5,4,4,2,5,5,5,2,2,4,5,1,5,2,5,1,5,1,2,5,5,2,4,2,5,5,5,2,2,5,5,5,4,2,5,2,4,1,2,5,5,3,4,2,4,1,5,5,2,5,41,36,39,44,38,23.17901079538796,99.6997067980117,61.20948528622405,73.90206836914889,30.8161494512681,low,high,high,high,low
5,4,5,2,5,5,5,2,2,4,5,1,5,2,5,1,4,2,2,5,5,2,5,2,5,5,5,1,2,5,5,4,4,2,5,1,4,1,2,5,5,5,4,2,4,2,4,5,2,5,41,36,40,46,38,23.17901079538796,99.6997067980117,58.82614806257208,33.024077625152536,30.8161494512681,low,high,high,low,low
