EXT1,AGR1,CSN1,EST1,OPN1,EXT2,AGR2,CSN2,EST2,OPN2,EXT3,AGR3,CSN3,EST3,OPN3,EXT4,AGR4,CSN4,EST4,OPN4,EXT5,AGR5,CSN5,EST5,OPN5,EXT6,AGR6,CSN6,EST6,OPN6,EXT7,AGR7,CSN7,EST7,OPN7,EXT8,AGR8,CSN8,EST8,OPN8,EXT9,AGR9,CSN9,EST9,OPN9,EXT10,AGR10,CSN10,EST10,OPN10,EXT_Score,EST_Score,AGR_Score,CSN_Score,OPN_Score,EXT_position,EST_position,AGR_position,CSN_position,OPN_position,EXT_high_or_low,EST_high_or_low,AGR_high_or_low,CSN_high_or_low,OPN_high_or_low
5,4,5,5,2,5,5,2,1,4,5,2,5,2,2,2,2,5,1,2,5,5,5,5,2,4,2,4,5,1,5,2,5,5,2,2,2,1,5,2,5,2,5,5,2,1,2,5,2,2,41,16,26,42,25,23.179010795387956,46.41711503819899,30.776359863336555,10.086562051566911,15.370796609217988,low,low,low,low,low
5,4,5,5,2,5,5,5,2,4,5,2,5,2,2,1,2,2,5,2,5,2,5,2,2,5,1,2,5,1,5,2,5,5,5,2,2,2,5,2,5,2,5,5,2,2,2,5,2,2,40,24,28,43,28,27.42970095760932,55.88683998774796,16.684345456354073,91.02419778182896,76.34765069075316,low,high,low,high,high
5,5,5,5,2,5,5,2,1,4,5,2,5,2,2,2,2,2,2,2,5,2,5,5,2,5,2,1,5,2,5,2,4,5,2,2,2,1,5,1,5,2,5,5,2,2,2,5,2,2,39,17,28,47,23,87.37084388397592,86.45115286391469,16.684345456354073,5.1590549381931785,47.45568237665967,high,high,low,low,low
5,2,5,5,2,5,5,2,2,4,5,5,5,2,2,2,2,2,5,2,5,2,5,2,2,5,1,2,5,1,5,1,4,5,4,2,2,2,5,2,5,2,5,5,2,2,2,5,2,2,39,24,28,45,27,87.37084388397592,55.88683998774796,16.684345456354073,37.194794655194656,23.922307874891292,high,high,low,low,low
5,4,5,5,2,5,5,2,1,2,5,2,5,2,2,1,2,5,5,2,5,2,5,5,2,5,2,2,5,2,5,2,5,5,5,1,2,2,5,2,5,2,5,5,2,1,2,5,2,2,42,20,29,43,29,31.687186866284332,71.25704566249172,84.55011666031412,91.02419778182896,74.38180867314527,low,high,high,high,high
5,5,5,5,2,5,5,5,2,5,5,2,5,2,2,2,2,2,2,2,5,2,5,5,2,5,2,2,5,2,5,2,4,5,3,2,2,1,5,2,5,2,5,5,2,2,2,5,2,2,39,18,28,43,24,87.37084388397592,6.304876883726748,16.684345456354073,91.02419778182896,96.41095947075908,high,low,low,high,high
5,2,5,5,2,5,5,5,2,4,5,5,5,5,2,1,2,5,5,2,5,2,5,5,2,4,1,2,5,1,5,2,5,5,5,2,2,2,5,2,5,1,5,5,2,2,2,5,2,2,41,18,26,40,28,23.179010795387956,6.304876883726748,30.776359863336555,70.57756950620531,76.34765069075316,low,low,low,high,high
5,2,5,5,2,5,5,2,2,4,5,2,5,2,2,2,2,5,5,2,5,2,5,2,2,5,2,2,5,1,5,1,5,5,3,2,2,2,5,1,5,2,5,5,2,2,2,5,2,2,39,24,32,43,25,87.37084388397592,55.88683998774796,70.24063836681471,91.02419778182896,15.370796609217988,high,high,high,high,low
5,5,5,5,2,5,5,2,2,4,5,2,5,2,2,1,2,2,5,2,5,2,5,2,2,5,2,2,5,1,5,2,5,5,2,2,2,2,5,2,5,2,5,5,2,2,2,5,2,2,40,24,28,46,25,27.42970095760932,55.88683998774796,16.684345456354073,33.024077625152536,15.370796609217988,low,high,low,low,low
5,2,5,5,2,5,5,2,2,5,5,5,5,2,2,1,2,5,5,2,5,5,5,5,2,5,1,1,5,2,5,2,5,5,3,2,2,1,5,2,5,2,5,5,2,1,2,5,2,2,41,21,24,45,24,23.179010795387956,30.98663404708369,93.15569843037956,37.194794655194656,96.41095947075908,low,low,high,low,high
