EXT1,AGR1,CSN1,EST1,OPN1,EXT2,AGR2,CSN2,EST2,OPN2,EXT3,AGR3,CSN3,EST3,OPN3,EXT4,AGR4,CSN4,EST4,OPN4,EXT5,AGR5,CSN5,EST5,OPN5,EXT6,AGR6,CSN6,EST6,OPN6,EXT7,AGR7,CSN7,EST7,OPN7,EXT8,AGR8,CSN8,EST8,OPN8,EXT9,AGR9,CSN9,EST9,OPN9,EXT10,AGR10,CSN10,EST10,OPN10,EXT_Score,EST_Score,AGR_Score,CSN_Score,OPN_Score,EXT_position,EST_position,AGR_position,CSN_position,OPN_position,EXT_high_or_low,EST_high_or_low,AGR_high_or_low,CSN_high_or_low,OPN_high_or_low
5,4,2,5,1,5,5,5,2,4,5,5,2,2,2,2,2,5,2,2,5,2,2,5,2,5,2,2,5,5,5,2,2,5,2,5,2,5,5,2,5,2,2,5,2,2,2,2,2,2,36,18,26,19,20,59.521087004267535,6.304876883726748,30.776359863336555,54.576639769299184,45.26282303186811,high,low,low,high,low
5,4,5,5,2,5,5,5,2,5,5,5,2,2,2,1,2,5,2,2,5,2,2,5,2,5,2,2,5,5,5,2,2,5,2,5,2,5,5,1,5,2,2,5,2,2,2,2,2,2,37,18,26,22,19,80.7216491799307,6.304876883726748,30.776359863336555,88.29861100851832,28.65520056808501,high,low,low,high,low
5,5,2,5,2,5,5,5,5,4,5,5,2,2,2,1,2,5,2,4,5,2,2,5,2,5,2,2,5,5,5,2,2,5,2,2,2,5,5,2,5,1,2,5,2,2,2,2,2,2,40,21,24,19,19,27.42970095760932,30.98663404708369,93.15569843037956,54.576639769299184,28.65520056808501,low,low,high,high,low
5,5,2,5,2,5,5,5,2,4,5,5,2,2,2,1,2,5,5,2,5,4,2,5,1,5,2,2,5,5,5,2,2,5,3,2,2,5,5,4,5,2,2,5,2,2,2,2,2,2,40,21,23,19,23,27.42970095760932,30.98663404708369,88.30895236181736,54.576639769299184,47.45568237665967,low,low,high,high,low
5,5,2,5,1,5,5,5,2,4,5,5,2,2,2,1,2,5,2,2,5,5,2,5,2,5,1,2,5,5,5,2,2,5,5,2,2,5,5,2,5,2,2,5,2,2,2,2,2,2,40,18,21,19,23,27.42970095760932,6.304876883726748,6.37559204247637,54.576639769299184,47.45568237665967,low,low,low,high,low
5,5,2,5,2,5,5,4,2,4,5,5,2,2,2,1,2,5,2,2,5,2,2,5,2,5,2,4,5,5,5,2,2,5,2,2,2,5,5,1,5,2,2,5,2,5,2,2,2,2,37,18,25,18,20,80.7216491799307,6.304876883726748,97.12618716273646,54.4445659143086,45.26282303186811,high,low,high,high,low
5,4,2,5,2,5,5,5,2,4,5,5,2,2,1,1,2,5,2,4,5,2,2,5,2,5,2,2,5,5,5,2,2,5,2,2,2,5,5,1,5,1,2,5,2,2,2,2,2,2,40,18,25,19,17,27.42970095760932,6.304876883726748,97.12618716273646,54.576639769299184,45.80845252974124,low,low,high,high,low
5,4,2,5,2,5,5,5,2,5,5,5,2,2,2,1,2,5,1,2,5,5,2,5,2,5,2,2,5,5,5,2,2,5,2,5,2,5,5,2,5,1,2,5,2,2,2,2,2,2,37,17,22,19,20,80.7216491799307,86.45115286391469,29.099681781785623,54.576639769299184,45.26282303186811,high,high,low,high,low
5,4,2,5,2,5,5,5,2,4,5,5,2,2,2,1,2,5,5,4,5,5,2,5,2,5,2,4,5,5,5,2,2,5,2,2,2,4,5,1,5,1,2,5,2,2,2,2,5,2,40,18,22,18,18,27.42970095760932,6.304876883726748,29.099681781785623,54.4445659143086,24.09899728268631,low,low,low,high,low
5,5,2,5,2,5,5,5,2,4,5,5,1,2,2,1,2,5,2,2,5,2,2,5,2,5,2,2,5,5,5,2,2,5,2,2,2,5,5,2,5,2,2,5,2,2,2,2,2,4,40,18,25,18,23,27.42970095760932,6.304876883726748,97.12618716273646,54.4445659143086,47.45568237665967,low,low,high,high,low
