EXT1,AGR1,CSN1,EST1,OPN1,EXT2,AGR2,CSN2,EST2,OPN2,EXT3,AGR3,CSN3,EST3,OPN3,EXT4,AGR4,CSN4,EST4,OPN4,EXT5,AGR5,CSN5,EST5,OPN5,EXT6,AGR6,CSN6,EST6,OPN6,EXT7,AGR7,CSN7,EST7,OPN7,EXT8,AGR8,CSN8,EST8,OPN8,EXT9,AGR9,CSN9,EST9,OPN9,EXT10,AGR10,CSN10,EST10,OPN10,EXT_Score,EST_Score,AGR_Score,CSN_Score,OPN_Score,EXT_position,EST_position,AGR_position,CSN_position,OPN_position,EXT_high_or_low,EST_high_or_low,AGR_high_or_low,CSN_high_or_low,OPN_high_or_low
1,2,5,1,5,1,2,1,5,4,1,2,5,2,5,2,2,1,5,4,2,2,5,2,5,4,1,1,1,5,1,2,5,1,4,2,2,1,1,5,1,2,5,1,5,1,2,5,1,5,26,48,27,50,39,37.74308335820182,39.68420461697104,25.538415172833563,46.39465952817822,71.01555044068938,low,low,low,low,high
1,2,5,1,5,1,2,1,5,4,1,2,5,2,5,2,2,1,5,5,2,2,5,2,5,5,2,1,1,5,1,2,5,1,5,1,2,1,2,5,1,1,5,1,5,5,1,5,1,5,22,47,26,50,39,89.78559912384115,42.2841193254286,30.776359863336555,46.39465952817822,71.01555044068938,high,low,low,low,high
1,2,5,1,5,1,2,1,4,4,1,1,5,2,5,2,2,5,4,4,1,2,5,1,5,2,2,1,1,5,1,2,5,1,4,1,2,5,1,5,1,2,5,1,5,2,2,5,1,5,27,47,29,42,39,19.23934914477008,42.2841193254286,84.55011666031412,10.086562051566911,71.01555044068938,low,low,high,low,high
1,2,5,1,5,2,2,2,5,5,2,2,5,1,5,1,2,1,5,5,1,4,5,1,5,2,1,2,1,5,1,2,5,1,5,1,2,1,1,5,1,2,5,1,5,2,2,5,2,5,28,49,25,48,38,17.408831121761065,98.008255354605,97.12618716273646,42.61967161771267,30.8161494512681,low,high,high,low,low
1,2,5,2,5,1,2,5,5,4,1,2,5,2,5,1,2,1,5,5,1,2,5,1,5,2,1,1,1,5,1,1,5,2,5,1,2,2,1,5,1,1,5,2,5,2,1,5,2,5,28,45,26,45,39,17.408831121761065,39.54553199368488,30.776359863336555,37.194794655194656,71.01555044068938,low,low,low,low,high
1,2,5,1,5,1,2,2,5,5,2,1,5,2,5,1,2,5,5,4,1,2,5,2,5,2,1,2,1,5,1,2,5,2,5,1,2,1,1,5,1,2,4,1,5,1,2,5,1,5,30,47,28,43,39,0.3554470862498411,42.2841193254286,16.684345456354073,91.02419778182896,71.01555044068938,low,low,low,high,high
1,2,5,2,5,2,2,1,5,4,2,1,5,2,5,1,2,1,5,5,2,2,5,1,5,2,1,4,1,5,1,2,5,1,4,2,2,1,1,5,1,1,4,2,5,2,1,5,2,5,28,46,26,46,38,17.408831121761065,71.09296285681363,30.776359863336555,33.024077625152536,30.8161494512681,low,high,low,low,low
1,2,5,2,5,1,2,1,5,4,1,2,5,5,5,1,2,1,5,5,2,2,5,1,5,4,1,2,1,5,1,2,5,1,5,1,2,1,1,5,1,1,5,1,5,4,2,5,2,5,25,44,26,49,39,39.38105523169063,21.7977014618734,30.776359863336555,42.85840914530192,71.01555044068938,low,low,low,low,high
1,2,5,1,5,1,2,2,5,5,2,2,5,2,5,1,2,1,5,5,1,2,5,1,5,2,1,1,1,5,1,2,5,1,5,1,2,5,1,5,1,2,4,1,5,2,1,5,2,5,29,48,26,44,38,1.4695555483330232,39.68420461697104,30.776359863336555,73.90206836914889,30.8161494512681,low,low,low,high,low
1,2,5,1,5,1,2,1,4,4,1,2,5,5,5,2,2,1,5,5,1,2,5,1,5,4,1,4,1,5,1,2,5,2,5,1,2,1,1,5,1,2,5,1,5,5,2,5,2,5,22,43,27,47,39,89.78559912384115,82.91913751143704,25.538415172833563,5.1590549381931785,71.01555044068938,high,high,low,low,high
