EXT1,AGR1,CSN1,EST1,OPN1,EXT2,AGR2,CSN2,EST2,OPN2,EXT3,AGR3,CSN3,EST3,OPN3,EXT4,AGR4,CSN4,EST4,OPN4,EXT5,AGR5,CSN5,EST5,OPN5,EXT6,AGR6,CSN6,EST6,OPN6,EXT7,AGR7,CSN7,EST7,OPN7,EXT8,AGR8,CSN8,EST8,OPN8,EXT9,AGR9,CSN9,EST9,OPN9,EXT10,AGR10,CSN10,EST10,OPN10,EXT_Score,EST_Score,AGR_Score,CSN_Score,OPN_Score,EXT_position,EST_position,AGR_position,CSN_position,OPN_position,EXT_high_or_low,EST_high_or_low,AGR_high_or_low,CSN_high_or_low,OPN_high_or_low
1,2,2,5,2,2,4,4,2,4,2,1,2,2,2,5,4,5,2,2,2,1,2,2,2,5,4,4,2,1,1,4,2,5,2,4,4,5,5,1,1,2,2,5,2,5,4,2,5,2,16,21,38,18,24,49.78357024881296,30.98663404708369,31.89952932069128,54.4445659143086,96.41095947075908,low,low,low,high,high
1,1,2,5,2,1,4,5,2,4,2,1,2,2,2,5,4,5,2,4,1,2,2,2,2,2,4,4,5,1,1,4,2,5,2,2,4,5,5,2,1,2,2,5,2,1,4,2,2,2,25,21,38,17,23,39.38105523169063,30.98663404708369,31.89952932069128,5.486925082312248,47.45568237665967,low,low,low,low,low
1,2,2,5,2,1,4,5,2,5,2,1,2,2,2,5,4,5,2,2,2,2,2,2,2,4,4,2,2,2,1,4,2,2,2,4,4,5,5,2,1,2,2,5,2,2,4,2,2,2,21,27,37,19,23,70.36759078969529,98.45903986936408,67.33806671847192,54.576639769299184,47.45568237665967,high,high,high,high,low
1,4,2,2,2,1,4,5,2,4,2,2,2,2,2,4,4,5,2,2,2,1,2,5,2,2,4,4,5,2,1,5,2,2,2,2,4,5,5,2,1,2,2,5,3,2,4,2,2,2,26,24,34,17,25,37.74308335820182,55.88683998774796,63.54239610140829,5.486925082312248,15.370796609217988,low,high,high,low,low
1,2,2,5,2,2,4,4,2,5,2,1,2,5,2,4,4,5,2,2,2,1,2,2,2,2,4,4,5,2,1,4,2,2,2,5,4,5,5,2,1,2,2,5,2,2,4,2,5,2,22,18,38,18,23,89.78559912384115,6.304876883726748,31.89952932069128,54.4445659143086,47.45568237665967,high,low,low,high,low
1,4,2,5,2,1,4,5,2,5,2,2,2,2,2,2,4,2,2,2,2,2,2,5,2,2,4,2,5,1,1,4,2,5,2,1,4,5,5,2,1,5,2,5,2,5,4,2,5,2,26,15,37,22,24,37.74308335820182,10.931204393400838,67.33806671847192,88.29861100851832,96.41095947075908,low,low,high,high,high
1,4,2,5,2,1,4,4,2,4,2,1,2,5,2,5,4,5,2,2,2,2,2,5,2,2,4,4,5,2,1,4,2,2,3,4,4,5,5,2,2,5,2,5,2,2,4,2,2,2,24,18,38,18,25,90.69622914863086,6.304876883726748,31.89952932069128,54.4445659143086,15.370796609217988,high,low,low,high,low
1,2,2,5,4,1,4,2,2,5,2,1,2,2,2,1,4,2,2,2,1,2,2,5,2,2,4,4,2,2,1,4,2,5,2,5,4,5,5,1,1,3,2,5,2,2,4,2,5,2,25,18,38,23,24,39.38105523169063,6.304876883726748,31.89952932069128,22.402818363485764,96.41095947075908,low,low,low,low,high
1,2,2,5,2,1,4,5,2,5,2,1,2,2,4,2,4,5,2,4,1,2,2,2,2,2,4,5,5,2,1,4,2,5,2,1,4,5,5,2,1,2,2,5,2,4,4,2,2,2,26,21,37,16,23,37.74308335820182,30.98663404708369,67.33806671847192,22.994146794032744,47.45568237665967,low,low,high,low,low
1,1,2,2,2,1,4,2,2,4,2,2,2,5,2,2,4,2,2,4,2,1,2,2,2,5,4,2,2,2,1,4,2,2,2,2,4,5,5,2,1,2,2,5,2,1,4,2,2,2,26,27,38,25,22,37.74308335820182,98.45903986936408,31.89952932069128,62.72533070170514,57.77605750186391,low,high,low,high,high
1,2,2,5,2,2,4,2,2,4,2,2,2,5,2,1,4,5,2,2,2,2,2,2,2,2,4,4,5,2,1,4,2,5,2,2,4,5,5,1,1,2,2,5,2,2,4,2,5,2,28,15,36,20,23,17.408831121761065,10.931204393400838,42.497643648784006,68.203588745062,47.45568237665967,low,low,low,high,low
1,4,2,5,2,2,4,4,2,4,2,1,2,2,2,2,4,2,2,4,2,2,2,5,2,2,4,2,2,1,1,4,2,5,2,4,4,5,5,2,1,5,2,5,2,2,4,2,5,2,25,18,38,23,23,39.38105523169063,6.304876883726748,31.89952932069128,22.402818363485764,47.45568237665967,low,low,low,low,low
1,2,2,5,2,1,4,5,2,4,2,1,2,5,2,5,4,2,2,4,2,1,2,2,2,5,4,4,5,2,1,4,2,2,2,4,4,5,5,1,1,5,2,5,2,1,4,2,5,2,21,18,41,20,21,70.36759078969529,6.304876883726748,17.451969338379914,68.203588745062,23.64161399963165,high,low,low,high,low
1,4,2,5,2,1,4,5,2,4,2,1,2,2,2,2,4,5,2,2,2,2,2,5,2,4,4,4,5,1,1,4,2,5,3,4,4,5,5,2,1,5,2,5,2,2,4,2,5,2,24,15,38,17,26,90.69622914863086,10.931204393400838,31.89952932069128,5.486925082312248,99.19879134202203,high,low,low,low,high
1,4,2,2,2,1,4,4,2,4,1,2,2,2,4,1,4,5,2,2,2,2,2,2,2,2,4,5,5,2,1,4,2,2,2,4,4,5,5,2,1,5,2,5,2,1,4,2,5,2,27,24,37,17,26,19.23934914477008,55.88683998774796,67.33806671847192,5.486925082312248,99.19879134202203,low,high,high,low,high
