EXT1,AGR1,CSN1,EST1,OPN1,EXT2,AGR2,CSN2,EST2,OPN2,EXT3,AGR3,CSN3,EST3,OPN3,EXT4,AGR4,CSN4,EST4,OPN4,EXT5,AGR5,CSN5,EST5,OPN5,EXT6,AGR6,CSN6,EST6,OPN6,EXT7,AGR7,CSN7,EST7,OPN7,EXT8,AGR8,CSN8,EST8,OPN8,EXT9,AGR9,CSN9,EST9,OPN9,EXT10,AGR10,CSN10,EST10,OPN10,EXT_Score,EST_Score,AGR_Score,CSN_Score,OPN_Score,EXT_position,EST_position,AGR_position,CSN_position,OPN_position,EXT_high_or_low,EST_high_or_low,AGR_high_or_low,CSN_high_or_low,OPN_high_or_low
1,1,2,5,4,5,1,5,4,2,2,1,5,5,5,5,4,5,5,2,2,5,2,1,5,5,4,2,4,4,1,4,4,1,4,5,5,5,5,1,1,5,4,4,5,5,2,5,2,5,12,30,34,29,39,85.53303766911806,26.384928807169217,63.54239610140829,17.22022453540239,71.01555044068938,high,low,high,low,high
1,2,5,5,5,5,2,5,4,2,1,1,4,5,5,5,4,5,5,4,2,2,2,2,5,5,5,4,5,5,1,5,5,2,3,5,5,2,1,1,1,4,4,2,5,5,1,5,5,5,11,30,35,33,36,2.7646869376889143,26.384928807169217,69.95048953996736,73.79648807641964,47.73568682836604,low,low,high,high,low
1,1,4,2,5,5,2,2,4,5,2,1,5,4,5,5,4,5,4,5,1,5,2,2,4,5,5,5,4,5,1,5,4,2,5,5,4,2,2,5,1,5,4,1,4,5,1,5,5,4,11,34,33,34,35,2.7646869376889143,27.09730031585448,64.5474771529959,19.967478906101498,84.2564222266214,low,low,high,low,high
1,2,5,2,5,5,2,2,4,4,2,1,4,4,5,5,4,5,5,5,1,2,5,2,5,5,5,5,1,5,1,2,4,2,4,5,4,2,2,5,1,2,4,2,5,5,2,4,2,4,11,40,36,36,37,2.7646869376889143,78.62373330733222,42.497643648784006,84.74601143852163,79.89197717811061,low,high,low,high,high
1,5,4,2,5,4,2,5,5,2,2,1,5,5,5,5,4,5,5,5,1,5,5,2,5,5,4,5,4,5,1,5,4,2,4,5,4,5,5,5,1,2,4,1,5,5,2,5,5,4,12,32,26,31,39,85.53303766911806,94.62417059884316,30.776359863336555,85.8815905198352,71.01555044068938,high,high,low,high,high
1,2,5,5,4,4,2,2,5,5,2,1,5,5,5,5,4,5,2,2,2,5,2,2,5,5,4,5,2,5,1,2,4,2,5,5,4,5,5,5,1,5,5,1,5,5,2,5,4,5,13,29,35,33,40,90.09761252623504,57.0615192334398,69.95048953996736,73.79648807641964,26.276393842068824,high,high,high,high,low
1,1,2,2,5,5,2,5,4,5,2,1,5,2,3,5,4,5,5,2,2,2,2,2,5,5,4,5,4,5,1,2,4,2,5,5,4,5,5,5,1,4,4,4,5,5,2,5,5,4,12,31,38,26,38,85.53303766911806,57.26086112941366,31.89952932069128,16.971441121751216,30.8161494512681,high,high,low,low,low
1,1,2,5,5,5,2,5,4,3,2,1,5,5,3,5,4,5,5,5,2,2,1,5,5,4,5,2,1,5,1,2,4,2,4,5,4,5,2,5,1,2,5,5,5,5,2,5,5,3,13,27,37,29,35,90.09761252623504,98.45903986936408,67.33806671847192,17.22022453540239,84.2564222266214,high,high,high,low,high
1,2,2,5,5,5,1,2,2,5,2,1,4,4,3,5,4,1,5,2,2,4,1,1,4,5,4,3,2,5,1,4,4,2,5,5,2,1,2,5,1,2,4,5,4,5,2,5,5,2,12,29,28,37,34,85.53303766911806,57.0615192334398,16.684345456354073,38.44590142622035,47.69983680359604,high,high,low,low,low
1,1,2,1,5,5,2,5,2,3,2,1,4,5,3,5,4,1,4,5,1,2,1,2,5,5,5,3,4,5,1,5,5,5,5,5,4,5,5,5,1,5,4,5,5,5,2,4,5,2,11,22,37,30,35,2.7646869376889143,41.11702373882272,67.33806671847192,96.12317438180868,84.2564222266214,low,low,high,high,high
1,1,5,2,5,5,2,5,4,5,1,1,4,4,3,5,4,1,5,2,1,5,5,2,5,5,5,5,4,5,1,5,4,2,4,5,4,2,5,5,1,4,4,5,4,5,2,4,5,5,10,28,33,37,37,9.353015390888382,96.961119466268,64.5474771529959,38.44590142622035,79.89197717811061,low,high,high,low,high
1,1,4,2,4,4,2,5,4,5,2,1,5,4,5,5,4,5,5,5,2,5,1,5,4,5,5,2,5,5,1,4,4,5,4,5,2,2,4,5,1,5,4,2,5,5,2,5,5,2,13,25,33,33,32,90.09761252623504,35.775960982566446,64.5474771529959,73.79648807641964,34.399379124845744,high,low,high,high,low
1,1,5,5,5,5,2,5,4,5,2,1,5,5,3,5,4,2,4,2,2,5,5,5,3,5,5,3,5,5,1,4,4,4,5,5,5,2,2,2,1,3,4,5,5,5,2,5,4,4,12,21,34,40,33,85.53303766911806,30.98663404708369,63.54239610140829,70.57756950620531,5.180525557423565,high,low,high,high,low
1,2,2,4,4,5,2,5,3,2,1,1,4,4,5,5,5,5,5,5,2,5,2,5,3,5,5,2,5,5,1,4,5,1,5,5,5,1,2,2,1,4,4,1,5,5,2,5,4,5,11,30,35,33,35,2.7646869376889143,26.384928807169217,69.95048953996736,73.79648807641964,84.2564222266214,low,low,high,high,high
1,1,2,1,5,5,2,5,3,5,2,1,5,5,3,5,4,1,5,2,1,5,2,1,5,5,5,2,5,2,1,5,4,5,4,5,4,1,5,5,1,5,4,2,4,5,2,5,5,5,11,27,34,37,40,2.7646869376889143,98.45903986936408,63.54239610140829,38.44590142622035,26.276393842068824,low,high,high,low,low
1,5,2,4,5,5,2,2,4,4,2,1,5,4,5,5,5,5,5,5,1,5,2,5,3,5,5,5,5,5,1,4,4,5,4,5,4,5,5,2,1,2,4,2,5,5,2,5,4,5,11,23,29,29,33,2.7646869376889143,26.6900479740304,84.55011666031412,17.22022453540239,5.180525557423565,low,low,high,low,low
